ENST00000592379 	ENST00000422514 ENST00000582736 ENST00000475608 ENST00000471152 ENST00000438478 	133 	619 21 6 6 19 	138 	619 21 6 6 19 	48 	51 51 51 51 51 
ENST00000367048 ENST00000472052 	ENST00000544255 ENST00000420894 ENST00000392168 	3071 1541 	1285 1574 1783 	3071 1541 	1285 1574 1783 	47 47 	52 52 52 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 	208 	89 48 67 	208 	89 48 67 	53 	53 53 53 
ENST00000267205 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000426059 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	1345 	400 401 401 401 505 401 406 400 401 406 401 401 401 401 	1345 	400 401 401 401 505 401 406 400 401 406 401 401 401 401 	53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000510019 	468 	191 	468 	191 	52 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	359 	655 664 668 550 	359 	655 664 668 550 	53 	53 53 53 53 
ENST00000592379 	ENST00000475608 	149 	11 	149 	11 	53 	53 
ENST00000508814 	ENST00000510210 ENST00000512493 	275 	220 230 	275 	220 230 	53 	52 52 
ENST00000441159 ENST00000309733 ENST00000506474 ENST00000518152 ENST00000519167 	ENST00000392385 	5430 6655 184 452 242 	951 	5430 6655 184 452 242 	952 	31 31 31 31 31 	51 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	231 56 	443 	231 56 	53 	52 52 
ENST00000393892 	ENST00000577172 ENST00000316603 	4056 	1342 1342 	4056 	1342 1342 	52 	53 53 
ENST00000419851 ENST00000594575 	ENST00000432178 ENST00000496121 ENST00000470450 ENST00000286788 ENST00000542732 ENST00000540844 	230 56 	118 971 1517 1650 1512 1424 	230 56 	118 971 1517 1650 1512 1424 	53 53 	50 50 50 50 50 50 
ENST00000508814 	ENST00000510019 	307 	255 	307 	255 	53 	52 
ENST00000604922 	ENST00000487100 ENST00000382175 	327 	263 137 	327 	263 137 	53 	52 52 
ENST00000592379 	ENST00000475608 	143 	17 	143 	17 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	155 	1091 1108 	155 	50 50 	53 
ENST00000361681 	ENST00000361567 	483 	1729 	483 	1729 	42 	52 
ENST00000380615 ENST00000218075 ENST00000443437 ENST00000523629 ENST00000396218 ENST00000265814 ENST00000423218 ENST00000315757 ENST00000440097 ENST00000375710 ENST00000559153 ENST00000559291 ENST00000358005 ENST00000416810 ENST00000418132 ENST00000264645 ENST00000394072 ENST00000254051 ENST00000407847 ENST00000563727 ENST00000514871 ENST00000342056 ENST00000370398 ENST00000355194 ENST00000374798 ENST00000487798 ENST00000352511 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 ENST00000341901 ENST00000392378 ENST00000358186 ENST00000392379 ENST00000452796 ENST00000342350 	ENST00000590854 ENST00000282041 	4198 2296 2265 3045 2920 2674 4610 4598 456 704 574 588 836 656 57 52 1573 3466 6 1886 1986 5421 5075 5313 1457 1424 11411 2308 1461 2219 2984 3034 2326 2567 2442 2658 1045 1034 	1396 7654 	4198 2300 2269 3045 2920 2674 4610 4598 456 704 574 588 836 656 57 52 1573 3466 6 1888 1988 5421 5075 5313 1457 1424 11411 2308 1461 2219 2984 3034 2326 2567 2442 2658 1045 1034 	1400 7658 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	48 48 
ENST00000508814 	ENST00000510019 	306 	255 	306 	255 	53 	52 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000529576 ENST00000524397 ENST00000534380 ENST00000528382 	1194 789 1197 	166 794 862 214 	1194 789 1197 	166 794 862 214 	52 52 52 	53 53 53 53 
ENST00000514253 	ENST00000511844 	495 	136 	495 	136 	53 	53 
ENST00000368841 ENST00000458013 ENST00000368843 	ENST00000315678 	3493 2830 3607 	2056 	3514 2851 3628 	2056 	32 32 32 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3460 	814 347 370 365 371 372 570 370 402 370 347 	3460 	814 347 370 365 371 372 570 370 402 370 347 	53 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000321521 ENST00000582452 ENST00000456523 ENST00000355520 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000392385 ENST00000409562 ENST00000392857 	7800 321 5104 7188 1351 1227 6783 1032 1032 	1115 2886 5459 	7800 321 5104 7188 1351 1227 6783 1032 1032 	1115 2886 5459 	53 53 53 53 53 53 53 53 53 	51 51 51 
ENST00000460059 	ENST00000430432 ENST00000447620 	266 	490 506 	267 	490 506 	52 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	202 153 	1152 1169 	202 153 	53 53 	52 52 
ENST00000609923 	ENST00000402297 ENST00000397226 	2556 	678 1068 	2556 	678 1068 	31 	53 53 
ENST00000513414 ENST00000281631 ENST00000513738 ENST00000503665 ENST00000503707 ENST00000514067 ENST00000503046 ENST00000503193 	ENST00000577843 ENST00000578332 ENST00000583315 	311 134 105 105 105 93 91 68 	748 748 748 	311 134 105 105 105 93 91 68 	748 748 748 	53 53 53 53 53 53 53 53 	52 52 52 
ENST00000449131 	ENST00000517577 	3742 	238 	3742 	238 	53 	53 
ENST00000367048 ENST00000472052 	ENST00000544255 ENST00000420894 ENST00000392168 	3007 1477 	1255 1544 1753 	3007 1477 	1255 1544 1753 	53 53 	51 51 51 
ENST00000314675 	ENST00000319041 	2089 	630 	2089 	630 	53 	53 
ENST00000314675 	ENST00000319041 	2086 	631 	2087 	631 	52 	47 
ENST00000467228 ENST00000479162 ENST00000574474 ENST00000477990 ENST00000558383 ENST00000262126 ENST00000383440 ENST00000360803 ENST00000272252 ENST00000372873 ENST00000394810 ENST00000501515 ENST00000470730 ENST00000409158 ENST00000234115 ENST00000409612 ENST00000409279 ENST00000403716 ENST00000527818 ENST00000594204 ENST00000391743 ENST00000327473 ENST00000536716 ENST00000573669 ENST00000574314 ENST00000607840 ENST00000576928 ENST00000489074 ENST00000510256 	ENST00000506690 	2392 2004 3622 2758 6416 10283 10231 3342 1888 2934 3734 317 2027 2052 1928 1985 2263 2028 1655 437 2382 1325 1356 2465 2382 2346 2465 541 541 	1085 	2392 2004 3622 2758 6416 10283 10231 3342 1888 2934 3734 317 2027 2052 1928 1985 2263 2028 1655 437 2382 1325 1356 2465 2382 2346 2465 541 541 	1102 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	36 
ENST00000536084 	ENST00000400479 	2183 	994 	2183 	994 	51 	52 
ENST00000592379 	ENST00000582736 	41 	57 	41 	57 	53 	53 
ENST00000472531 	ENST00000577961 ENST00000584307 ENST00000314574 	765 	3154 3239 3201 	765 	3154 3239 3201 	52 	53 53 53 
ENST00000314675 	ENST00000319041 	2117 	633 	2117 	633 	53 	53 
ENST00000592379 	ENST00000475608 	82 	11 	83 	11 	52 	53 
ENST00000262848 ENST00000481439 ENST00000370205 	ENST00000538010 ENST00000372136 ENST00000356311 ENST00000355797 	3909 457 1535 	976 1941 1648 932 	3909 457 1535 	976 1941 1648 932 	39 39 39 	31 31 31 31 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3077 2978 2732 	326 	3077 2978 2732 	326 	52 52 52 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	467 	116 75 	467 	116 75 	53 	53 53 
ENST00000381998 	ENST00000366844 ENST00000358675 	2368 	4432 3564 	2371 	4432 3564 	32 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	78 76 218 215 	3744 	78 76 218 215 	53 	53 53 53 53 
ENST00000223459 	ENST00000418390 	2137 	4064 	2144 	4064 	31 	53 
ENST00000361681 ENST00000506002 ENST00000604233 	ENST00000361567 	29 29 27 	1745 	29 29 27 	1745 	53 53 53 	53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 	1295 	640 581 353 	1295 	640 581 353 	53 	33 33 33 
ENST00000514253 	ENST00000511844 	492 	75 	492 	75 	53 	53 
ENST00000316436 ENST00000575357 	ENST00000474556 ENST00000336089 ENST00000429673 ENST00000576212 	1133 1133 	1629 1894 1588 1629 	1133 1133 	1629 1894 1588 1629 	53 53 	52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3470 	814 347 370 365 371 372 570 370 402 370 347 	3470 	814 347 370 365 371 372 570 370 402 370 347 	51 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000592379 	ENST00000582736 	41 	98 	41 	98 	53 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	369 	682 691 695 577 	369 	682 691 695 577 	53 	53 53 53 53 
ENST00000565245 	ENST00000277982 ENST00000371246 	2235 	1420 1583 	2235 	1425 1588 	52 	31 31 
ENST00000514253 	ENST00000511844 	498 	37 	498 	37 	53 	53 
ENST00000429418 ENST00000598588 	ENST00000369774 ENST00000355946 	279 278 	8626 8405 	297 296 	8626 8405 	33 33 	53 53 
ENST00000514253 	ENST00000511844 	516 	78 	516 	78 	39 	53 
ENST00000485692 	ENST00000290271 	559 	3182 	564 	3182 	31 	52 
ENST00000429754 ENST00000457533 ENST00000458060 ENST00000413460 ENST00000420073 ENST00000454587 ENST00000425509 ENST00000418496 	ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000445610 ENST00000450871 ENST00000471639 ENST00000469883 ENST00000437866 	51 51 51 51 51 59 51 51 	327 242 261 355 311 242 261 273 327 242 261 399 	51 51 51 51 51 59 51 51 	327 242 261 355 311 242 261 273 327 242 261 399 	38 38 38 38 38 38 38 38 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3471 	827 360 383 378 384 385 383 360 	3471 	827 360 383 378 384 385 383 360 	50 	52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	402 	74 17 	402 	74 17 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4142 	105 307 107 107 	4142 	105 307 107 107 	53 	52 52 52 52 
ENST00000473325 	ENST00000436693 	3123 	4568 	3123 	4568 	53 	50 
ENST00000292174 	ENST00000526143 	4368 	5347 	4368 	5347 	31 	53 
ENST00000316436 ENST00000575357 	ENST00000464258 ENST00000573661 	1437 1437 	842 842 	1437 1437 	842 842 	34 34 	53 53 
ENST00000592379 	ENST00000582736 	41 	58 	41 	58 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000429775 	460 	233 58 	460 	233 58 	53 	53 53 
ENST00000514253 	ENST00000510019 	485 	225 	485 	225 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 ENST00000394290 	3773 	82 80 222 219 221 	3773 	82 80 222 219 221 	53 	53 53 53 53 53 
ENST00000547992 	ENST00000552713 ENST00000549606 ENST00000553237 ENST00000540325 	1561 	475 363 851 851 	1561 	475 363 851 851 	51 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3407 	780 331 164 197 195 336 336 368 336 	3407 	780 331 164 197 195 336 336 368 336 	53 	53 53 53 53 53 53 53 53 53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1945 2077 2524 	249 	1946 2078 2525 	249 	52 52 52 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	87 30 	376 	87 30 	53 	50 50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3476 	828 361 384 379 385 386 384 361 	3476 	828 361 384 379 385 386 384 361 	53 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3755 	96 94 236 	3755 	96 94 236 	52 	53 53 53 
ENST00000514253 	ENST00000510019 	443 	199 	443 	199 	53 	52 
ENST00000514253 	ENST00000511844 	495 	57 	495 	57 	53 	51 
ENST00000593264 	ENST00000270139 ENST00000442357 ENST00000436724 ENST00000372405 ENST00000607778 ENST00000380155 ENST00000469540 ENST00000263805 ENST00000565380 ENST00000565500 ENST00000565611 ENST00000514641 ENST00000545279 ENST00000545620 ENST00000569584 ENST00000496783 ENST00000493260 ENST00000303941 ENST00000330619 ENST00000391709 ENST00000414645 ENST00000484210 ENST00000286688 ENST00000582596 ENST00000333003 ENST00000465517 ENST00000335727 ENST00000301923 ENST00000454349 ENST00000519675 ENST00000607738 ENST00000559376 ENST00000466753 ENST00000567998 ENST00000467691 ENST00000489048 ENST00000359651 ENST00000469929 	59 	2041 1789 1911 1705 1220 3827 820 7280 4795 3853 4818 3080 3076 3001 1671 1440 2642 2428 3425 3416 4964 777 1993 820 3063 750 15215 13241 15562 3578 1857 1238 678 6022 43 2460 897 75 	59 	2041 1789 1911 1705 1220 3827 820 7280 4795 3853 4818 3080 3076 3001 1671 1440 2642 2428 3425 3416 4964 777 1993 820 3063 750 15215 13241 15562 3578 1857 1238 678 6022 43 2460 897 75 	36 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000592379 	ENST00000582736 	41 	105 	41 	105 	53 	53 
ENST00000469528 ENST00000495588 	ENST00000605528 ENST00000480942 ENST00000460492 ENST00000601238 ENST00000393266 	142 18 	244 246 227 227 228 	142 18 	244 246 227 227 228 	53 53 	53 53 53 53 53 
ENST00000366559 ENST00000366557 	ENST00000478849 	4208 3835 	761 	4208 3835 	761 	53 53 	53 
ENST00000480304 	ENST00000330374 ENST00000535479 ENST00000261407 ENST00000593628 	1978 	3466 2567 1933 1961 	1997 	3480 2581 1947 1975 	34 	38 38 38 38 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	613 622 626 508 	359 	613 622 626 508 	44 	53 53 53 53 
ENST00000606788 ENST00000372484 ENST00000354880 ENST00000191018 ENST00000372459 ENST00000484855 	ENST00000372420 ENST00000372431 ENST00000354050 ENST00000477313 ENST00000542937 	2946 2039 1710 1788 1896 2073 	1456 1669 1518 2184 2184 	2946 2039 1710 1788 1896 2073 	1456 1669 1518 2184 2184 	53 53 53 53 53 53 	53 53 53 53 53 
ENST00000449131 	ENST00000229239 ENST00000396856 ENST00000492719 ENST00000396861 ENST00000474249 ENST00000466588 ENST00000396859 ENST00000466525 ENST00000396858 ENST00000405405 	3348 	831 226 355 316 217 244 244 206 304 165 	3348 	831 226 355 316 217 244 244 206 304 165 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000319763 	ENST00000515591 	1972 	194 	1972 	194 	33 	53 
ENST00000514253 	ENST00000510019 	470 	199 	471 	199 	51 	52 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	234 232 220 204 	95 	237 235 223 207 	95 	50 50 50 50 	52 
ENST00000592379 	ENST00000582736 	41 	95 	41 	95 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3489 	789 322 340 173 206 204 345 545 345 377 345 322 	3489 	789 322 340 173 206 204 345 545 345 377 345 322 	49 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000526743 	ENST00000528784 	1460 	811 	1460 	811 	53 	52 
ENST00000598513 ENST00000333952 ENST00000508631 	ENST00000238831 ENST00000294161 ENST00000513247 ENST00000296490 ENST00000487402 ENST00000510409 ENST00000587380 ENST00000484647 	2763 2778 330 	9822 1621 1621 3548 4127 663 915 564 	2766 2781 333 	9822 1621 1621 3548 4127 663 915 564 	32 32 32 	50 50 50 50 50 50 50 50 
ENST00000503768 ENST00000503874 ENST00000436901 	ENST00000559697 	1056 884 397 	150 	1056 884 397 	150 	37 37 37 	52 
ENST00000569248 ENST00000565813 	ENST00000570037 ENST00000562111 	1736 185 	802 755 	1736 185 	802 755 	52 52 	53 53 
ENST00000569248 ENST00000565813 	ENST00000570037 ENST00000562111 	1736 185 	802 755 	1736 185 	802 755 	52 52 	53 53 
ENST00000343110 ENST00000467228 ENST00000599719 ENST00000601309 ENST00000377957 ENST00000508504 ENST00000378679 ENST00000319854 ENST00000371655 ENST00000238831 ENST00000366221 ENST00000567425 ENST00000564372 ENST00000565289 ENST00000563014 ENST00000496462 ENST00000395337 ENST00000307792 ENST00000491289 ENST00000587928 ENST00000589173 ENST00000269391 ENST00000319945 ENST00000377837 ENST00000470730 ENST00000338352 ENST00000305188 ENST00000227155 ENST00000524750 ENST00000560440 ENST00000527818 ENST00000325722 ENST00000373266 ENST00000369936 ENST00000438197 ENST00000416379 ENST00000339375 ENST00000450876 ENST00000345589 ENST00000574773 ENST00000399387 ENST00000317872 ENST00000489074 ENST00000510256 ENST00000605787 ENST00000413484 	ENST00000261233 ENST00000378621 ENST00000361740 ENST00000396303 ENST00000578895 ENST00000600106 	2629 2337 97 88 3490 131 3498 2848 1518 4117 740 2213 2347 3236 1962 1374 4284 6189 4098 1460 349 2802 2671 920 1972 1253 3607 1407 529 2470 1600 3893 2096 2782 1448 2213 2347 3236 1962 2491 638 2272 486 486 385 425 	3354 8085 2371 2355 831 8085 	2629 2337 97 88 3490 131 3498 2848 1518 4117 740 2213 2347 3236 1962 1374 4284 6189 4098 1460 349 2802 2671 920 1972 1253 3607 1407 529 2470 1600 3893 2096 2782 1448 2213 2347 3236 1962 2491 638 2272 486 486 385 425 	3354 8085 2371 2355 831 8085 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	495 	88 	495 	88 	53 	52 
ENST00000514253 	ENST00000511844 	498 	81 	498 	81 	53 	52 
ENST00000603027 ENST00000603706 	ENST00000487278 	4837 505 	407 	4837 505 	407 	53 53 	53 
ENST00000237163 	ENST00000283977 	7520 	2108 	7520 	2108 	53 	47 
ENST00000570780 ENST00000391950 	ENST00000441206 	1100 1117 	148 	1100 1117 	148 	53 53 	51 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1248 843 1251 	241 	1248 843 1251 	241 	53 53 53 	43 
ENST00000514253 	ENST00000510019 ENST00000511844 	473 	109 68 	473 	109 68 	53 	53 53 
ENST00000314675 	ENST00000339438 ENST00000438362 ENST00000358528 ENST00000261443 ENST00000530886 ENST00000369530 ENST00000534699 ENST00000483030 	2073 	2057 2221 2131 1661 1902 2224 1762 202 	2073 	2057 2221 2131 1661 1902 2224 1762 202 	53 	52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3483 	798 331 349 215 213 554 354 386 354 331 	3483 	798 331 349 215 213 554 354 386 354 331 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000548283 	ENST00000381774 ENST00000433677 ENST00000261660 ENST00000539677 	2235 	486 320 320 313 	2235 	486 320 320 313 	53 	44 44 44 44 
ENST00000449131 	ENST00000517577 	3760 	226 	3760 	226 	33 	52 
