ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	426 426 	1778 1778 	426 426 	1778 1778 	53 53 	34 34 
ENST00000604922 	ENST00000519121 	186 	312 	186 	329 	53 	33 
ENST00000454671 	ENST00000507437 	472 	567 	472 	567 	53 	52 
ENST00000601871 	ENST00000400137 	1445 	1177 	1445 	1177 	51 	41 
ENST00000449131 	ENST00000492727 ENST00000450676 	4143 	77 79 	4143 	77 79 	53 	53 53 
ENST00000545213 	ENST00000331434 ENST00000530455 	1217 	2478 2477 	1217 	2478 2477 	53 	52 52 
ENST00000314675 	ENST00000319041 	2088 	479 	2088 	479 	53 	53 
ENST00000595499 	ENST00000579042 	242 	95 	242 	96 	53 	31 
ENST00000366144 	ENST00000309311 	26 	2420 	47 	2420 	32 	53 
ENST00000591910 ENST00000436545 	ENST00000609438 	195 254 	10786 	198 257 	10803 	31 31 	36 
ENST00000394232 ENST00000330276 ENST00000377705 ENST00000367357 	ENST00000382856 ENST00000382852 	9725 9649 4510 1277 	1145 1145 	9736 9660 4521 1288 	1161 1161 	39 39 39 39 	31 31 
ENST00000545786 	ENST00000353704 	3366 	1754 	3366 	1754 	53 	51 
ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	412 412 	1768 1768 	412 412 	1768 1768 	53 53 	44 44 
ENST00000592379 	ENST00000475608 	54 	4 	71 	6 	36 	51 
ENST00000520509 	ENST00000523998 	2920 	317 	2923 	317 	50 	50 
ENST00000374316 ENST00000605930 	ENST00000374231 ENST00000607484 	8510 7669 	182 225 	8518 7677 	182 225 	45 45 	53 53 
ENST00000604922 	ENST00000398190 	327 	317 	327 	317 	53 	53 
ENST00000450253 	ENST00000555870 	10742 	6635 	10742 	6638 	38 	43 
ENST00000562824 ENST00000563088 ENST00000564436 ENST00000570037 ENST00000562111 	ENST00000569248 ENST00000565813 	803 870 468 788 741 	1615 64 	803 870 468 788 741 	1615 64 	53 53 53 53 53 	53 53 
ENST00000292174 	ENST00000526143 	4306 	5353 	4310 	5353 	49 	53 
ENST00000559989 	ENST00000557956 ENST00000558470 	3089 	456 326 	3089 	456 326 	53 	52 52 
ENST00000449131 	ENST00000225964 ENST00000476387 	3577 	1883 113 	3577 	1883 113 	52 	53 53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000483598 ENST00000424633 ENST00000454660 ENST00000432393 ENST00000599500 	75 75 75 	119 238 238 238 238 	75 75 75 	119 238 238 238 238 	52 52 52 	53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	251 261 	278 	251 261 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	70 13 	376 	70 13 	53 	53 53 
ENST00000508814 	ENST00000510019 	301 	247 	301 	247 	53 	52 
ENST00000449592 	ENST00000546227 	4925 	1146 	4926 	1146 	52 	53 
ENST00000519846 ENST00000518592 ENST00000325897 	ENST00000253039 ENST00000460032 	3265 2505 3111 	1500 80 	3265 2505 3111 	1500 80 	53 53 53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3475 	784 335 168 201 199 340 540 340 372 340 	3475 	784 335 168 201 199 340 540 340 372 340 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	109 68 	484 	109 68 	53 	53 53 
ENST00000341976 ENST00000467567 	ENST00000374324 	3461 1797 	1524 	3470 1806 	1524 	34 34 	49 
ENST00000592661 	ENST00000297268 ENST00000497316 ENST00000481570 	402 	2920 846 532 	402 	2920 846 532 	53 	52 52 52 
ENST00000508814 	ENST00000510019 	298 	250 	298 	250 	52 	52 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 	1968 567 309 	566 	1969 568 310 	566 	51 51 51 	51 
ENST00000502891 	ENST00000587604 	423 	359 	423 	374 	53 	38 
ENST00000300850 	ENST00000280606 ENST00000533518 	6734 	1652 1847 	6734 	1652 1847 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	249 200 	1116 1133 	249 200 	53 53 	52 52 
ENST00000604922 	ENST00000257770 ENST00000416334 ENST00000437581 ENST00000369651 	197 	969 214 7 951 	197 	969 214 7 951 	53 	52 52 52 52 
ENST00000449131 	ENST00000492727 	4177 	81 	4177 	81 	53 	53 
ENST00000407045 	ENST00000296674 	34 	3338 	34 	3338 	33 	52 
ENST00000407045 	ENST00000296674 	12 	3356 	21 	3356 	44 	52 
ENST00000560723 	ENST00000559556 	419 	836 	419 	836 	52 	50 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	82 84 	4144 	82 84 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2320 2221 1975 	245 	2320 2221 1975 	245 	52 52 52 	52 
ENST00000598026 	ENST00000382247 ENST00000536863 	527 	3732 2267 	546 	3732 2267 	34 	53 53 
ENST00000458008 ENST00000427587 ENST00000585436 	ENST00000506370 ENST00000515248 ENST00000533887 ENST00000532875 ENST00000482834 ENST00000502317 ENST00000546233 ENST00000482043 	1758 1880 1556 	652 598 603 274 634 610 299 614 	1758 1880 1556 	652 598 603 274 634 610 299 614 	53 53 53 	53 53 53 53 53 53 53 53 
ENST00000445125 	ENST00000343815 ENST00000361546 ENST00000495676 ENST00000271877 ENST00000428931 	38 	2032 1968 261 2059 2093 	40 	2032 1968 261 2059 2093 	33 	53 53 53 53 53 
ENST00000595651 ENST00000607648 	ENST00000369807 ENST00000369808 ENST00000014935 ENST00000309585 ENST00000369809 ENST00000393638 	1914 1874 	1500 2056 2042 1642 1878 1535 	1915 1875 	1500 2056 2042 1642 1878 1535 	52 52 	53 53 53 53 53 53 
ENST00000449131 	ENST00000223095 ENST00000445463 	3741 	1185 1131 	3741 	1185 1131 	52 	53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4165 	92 94 	4165 	92 94 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	88 86 228 	3744 	88 86 228 	53 	53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	244 254 	278 	244 254 	53 	53 53 
ENST00000503790 ENST00000505697 ENST00000511363 ENST00000507812 ENST00000503888 ENST00000510303 ENST00000502524 ENST00000515175 ENST00000513414 ENST00000510040 ENST00000281631 ENST00000513738 ENST00000503665 ENST00000503707 ENST00000514067 ENST00000503046 ENST00000503193 ENST00000503750 ENST00000514342 	ENST00000538264 ENST00000577843 ENST00000578332 ENST00000583315 	170 170 170 168 96 79 88 309 323 178 146 117 117 117 105 103 80 170 170 	760 760 760 760 	170 170 170 168 96 79 88 309 323 178 146 117 117 117 105 103 80 170 170 	760 760 760 760 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	46 46 46 46 
ENST00000539903 ENST00000485920 	ENST00000468078 	2687 2682 	353 	2687 2682 	353 	53 53 	53 
ENST00000371199 ENST00000355640 	ENST00000498165 ENST00000334464 ENST00000299353 ENST00000369880 ENST00000573951 ENST00000593019 ENST00000562435 ENST00000289488 ENST00000324866 ENST00000571800 ENST00000569997 ENST00000549737 	5807 5814 	5754 5753 2130 1864 1641 591 6051 1605 1675 759 1466 179 	5807 5814 	5754 5753 2130 1864 1641 591 6051 1605 1675 759 1466 179 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1286 1453 1250 1274 1181 606 1376 1286 	450 	1286 1453 1250 1274 1181 606 1376 1286 	450 	53 53 53 53 53 53 53 53 	53 
ENST00000461125 	ENST00000476781 	378 	1295 	378 	1295 	53 	53 
ENST00000514253 	ENST00000511844 	498 	135 	498 	135 	44 	53 
ENST00000237837 	ENST00000379341 ENST00000439422 	1222 	703 210 	1240 	703 210 	34 	53 53 
ENST00000476192 ENST00000489060 ENST00000497426 ENST00000474698 	ENST00000493254 	5104 2087 5104 5103 	1587 	5111 2094 5111 5110 	1587 	44 44 44 44 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000481001 ENST00000438585 ENST00000441576 ENST00000460505 ENST00000341949 ENST00000498498 ENST00000498794 ENST00000440857 ENST00000313778 ENST00000472331 ENST00000467457 ENST00000484831 ENST00000395462 	ENST00000452875 	534 505 1555 1735 1588 954 2839 1868 1822 928 1477 1665 1533 	3778 	534 505 1555 1735 1588 954 2839 1868 1822 928 1477 1665 1533 	3778 	53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000459839 ENST00000492555 	7840 2074 583 	1579 1944 	7841 2075 584 	1579 1944 	51 51 51 	53 53 
ENST00000592379 	ENST00000582736 	41 	127 	41 	127 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3470 	798 331 349 215 213 554 354 386 354 331 	3470 	798 331 349 215 213 554 354 386 354 331 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000245539 ENST00000579002 ENST00000581993 ENST00000584678 	ENST00000577542 	1292 1567 627 578 	1375 	1292 1567 627 578 	1375 	52 52 52 52 	50 
ENST00000514253 	ENST00000511844 	496 	101 	496 	101 	53 	53 
ENST00000361681 ENST00000506002 	ENST00000361567 	405 405 	1710 	405 405 	1710 	53 53 	53 
ENST00000538183 	ENST00000610020 	9210 	6594 	9210 	6603 	53 	42 
ENST00000393892 	ENST00000577172 ENST00000316603 	4085 	1350 1350 	4085 	1350 1350 	52 	52 52 
ENST00000563480 ENST00000395589 	ENST00000519737 	432 432 	1048 	432 432 	1048 	53 53 	53 
ENST00000550127 	ENST00000553023 	263 	295 	263 	295 	38 	53 
ENST00000314675 	ENST00000319041 	2110 	626 	2110 	626 	53 	52 
ENST00000551193 	ENST00000548909 ENST00000551467 ENST00000548098 	328 	451 573 139 	328 	451 573 139 	53 	53 53 53 
ENST00000453518 ENST00000429656 ENST00000445820 ENST00000417944 ENST00000451967 ENST00000428199 ENST00000580020 	ENST00000383323 ENST00000400395 ENST00000434884 ENST00000469544 ENST00000400394 ENST00000494871 ENST00000448362 ENST00000479527 ENST00000495614 ENST00000383487 ENST00000383483 ENST00000458668 ENST00000485321 ENST00000400341 ENST00000461937 ENST00000449884 ENST00000470176 ENST00000464623 	187 187 187 187 187 187 187 	18 18 25 37 62 5 1 62 22 18 18 22 37 83 5 1 62 22 	187 187 187 187 187 187 187 	18 18 25 37 62 5 1 62 22 18 18 22 37 83 5 1 62 22 	53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	367 	82 25 	367 	82 25 	53 	51 51 
ENST00000572705 ENST00000399759 ENST00000571088 ENST00000399756 ENST00000174621 	ENST00000357037 	3319 3245 3258 3571 3328 	2185 	3320 3246 3259 3572 3329 	2185 	52 52 52 52 52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2983 2884 2638 	223 	2983 2884 2638 	223 	53 53 53 	53 
ENST00000514253 	ENST00000511844 	494 	137 	494 	137 	53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	473 	104 63 	473 	104 63 	53 	51 51 
ENST00000313005 	ENST00000531452 ENST00000300650 	5782 	2578 2541 	5782 	2578 2541 	52 	51 51 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3019 2920 2674 	285 	3019 2920 2674 	285 	52 52 52 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	372 	617 626 630 512 	372 	617 626 630 512 	51 	52 52 52 52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4165 	92 94 	4165 	92 94 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4151 	102 304 104 104 	4151 	102 304 104 104 	50 	53 53 53 53 
ENST00000520509 	ENST00000523998 	2908 	287 	2908 	287 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	161 120 	463 	161 120 	53 	52 52 
ENST00000514253 	ENST00000511844 	498 	109 	498 	109 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4162 	107 109 	4162 	107 109 	52 	52 52 
ENST00000449131 	ENST00000498161 ENST00000599364 	4129 	41 41 	4129 	41 41 	51 	53 53 
ENST00000257904 	ENST00000549052 ENST00000546922 	1876 	1035 628 	1876 	1035 628 	51 	53 53 
ENST00000449131 	ENST00000517577 	3743 	242 	3743 	242 	52 	53 
ENST00000411432 	ENST00000395148 ENST00000371059 ENST00000526284 	1907 	3788 2888 1045 	1907 	3788 2888 1045 	52 	53 53 53 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	279 1899 	3096 3080 	281 1901 	3096 3080 	36 36 	53 53 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 ENST00000485724 	2232 	443 482 340 1569 455 	2232 	443 482 340 1569 455 	53 	53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	77 20 	351 	77 20 	53 	52 52 
ENST00000380821 ENST00000242351 ENST00000464606 ENST00000464497 ENST00000436083 ENST00000432564 ENST00000593250 ENST00000393218 ENST00000554080 	ENST00000272402 	4843 3346 3418 657 1932 1671 932 239 187 	2887 	4843 3346 3418 657 1932 1671 932 239 187 	2906 	53 53 53 53 53 53 53 53 53 	34 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000450676 	4159 	113 111 113 	4159 	113 111 113 	52 	53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	279 	242 252 	279 	242 252 	53 	53 53 
ENST00000450479 	ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 	133 	494 462 158 155 153 153 175 151 151 151 151 151 151 175 	133 	494 462 158 155 153 153 175 151 151 151 151 151 151 175 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	291 	1116 1133 	291 	53 53 	45 
ENST00000361681 	ENST00000361567 	469 	1693 	469 	1693 	53 	53 
ENST00000430252 ENST00000540275 	ENST00000599232 	431 431 	60 	431 431 	60 	53 53 	53 
ENST00000361681 	ENST00000361567 	488 	1738 	488 	1738 	37 	52 
ENST00000261942 	ENST00000372731 ENST00000372739 ENST00000461855 ENST00000358161 	974 	4105 4105 568 4108 	974 	4105 4105 568 4108 	53 	53 53 53 53 
ENST00000526743 	ENST00000334256 	1653 	3435 	1654 	3435 	49 	53 
ENST00000267202 	ENST00000381359 ENST00000249786 ENST00000486144 ENST00000409960 ENST00000409646 ENST00000445816 ENST00000339624 ENST00000409291 ENST00000409617 ENST00000448830 ENST00000594896 	2498 	927 533 45 45 45 38 28 28 21 21 31 	2498 	927 533 45 45 45 38 28 28 21 21 31 	52 	41 41 41 41 41 41 41 41 41 41 41 
ENST00000592379 	ENST00000475608 	141 	6 	141 	6 	53 	52 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000525054 	3720 	1473 1590 413 	3720 	1473 1590 413 	51 	53 53 53 
ENST00000571623 ENST00000557667 ENST00000532485 	ENST00000520547 ENST00000336452 ENST00000336458 ENST00000576930 ENST00000573542 ENST00000419711 ENST00000571955 ENST00000416016 	4650 2480 4650 	761 850 1113 1041 902 873 968 938 	4658 2488 4658 	761 850 1113 1041 902 873 968 938 	31 31 31 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3759 	82 80 222 219 	3759 	82 80 222 219 	52 	53 53 53 53 
ENST00000514253 	ENST00000511844 	505 	104 	505 	104 	50 	53 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000586722 ENST00000458297 ENST00000550977 	3253 763 751 	1391 1309 1631 	3253 763 751 	1391 1309 1631 	53 53 53 	53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	79 22 	363 	79 22 	53 	51 51 
ENST00000355209 ENST00000396504 	ENST00000446607 	2860 2581 	1911 	2860 2581 	1911 	53 53 	52 
ENST00000514253 	ENST00000510019 ENST00000429775 	463 	235 60 	463 	235 60 	53 	53 53 
ENST00000335185 	ENST00000525054 	3730 	480 	3730 	480 	53 	53 
ENST00000482786 ENST00000420164 ENST00000306465 ENST00000412717 	ENST00000473428 	665 396 871 678 	703 	665 396 871 678 	703 	53 53 53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3054 2955 2709 	325 	3054 2955 2709 	325 	53 53 53 	51 
ENST00000595971 	ENST00000305943 ENST00000482739 ENST00000484293 	741 	1048 498 230 	741 	1048 498 230 	52 	53 53 53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1264 859 1267 	227 	1264 859 1267 	227 	53 53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	101 99 241 	3744 	101 99 241 	53 	53 53 53 
ENST00000361681 	ENST00000361567 	490 	1523 	490 	1523 	35 	53 
ENST00000309424 ENST00000589804 	ENST00000588738 ENST00000589165 ENST00000013807 ENST00000592410 ENST00000587888 ENST00000589381 	2030 1554 	309 1298 938 170 459 641 	2030 1554 	309 1298 938 170 459 641 	51 51 	53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000599364 	4169 	41 41 	4169 	41 41 	53 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2982 2883 2637 	209 	2982 2883 2637 	209 	53 53 53 	52 
ENST00000355520 ENST00000261200 	ENST00000409562 ENST00000462119 ENST00000264663 ENST00000229465 ENST00000602666 	7007 6602 	3128 1036 5839 1277 2656 	7007 6602 	3128 1036 5839 1277 2656 	51 51 	53 53 53 53 53 
ENST00000514253 	ENST00000511844 	509 	137 	509 	137 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	87 30 	376 	87 30 	53 	50 50 
ENST00000551193 	ENST00000548909 ENST00000551467 ENST00000548098 	315 	439 561 127 	315 	459 581 147 	52 	32 32 32 
ENST00000562514 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000568503 	426 2740 1893 2651 3416 3466 	1405 	427 2741 1894 2652 3417 3467 	1405 	50 50 50 50 50 50 	53 
ENST00000373191 	ENST00000477110 	4089 	2649 	4089 	2661 	53 	38 
ENST00000309733 ENST00000489060 ENST00000506474 ENST00000518152 ENST00000519167 	ENST00000610020 	6659 1703 188 456 246 	8595 	6659 1703 188 456 246 	8597 	33 33 33 33 33 	50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3489 	792 325 343 209 207 548 348 380 348 325 	3489 	792 325 343 209 207 548 348 380 348 325 	49 	53 53 53 53 53 53 53 53 53 53 
ENST00000466509 	ENST00000354371 ENST00000392008 ENST00000409334 ENST00000409629 ENST00000465362 	629 	1415 910 735 775 404 	632 	1415 910 735 775 404 	43 	45 45 45 45 45 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	98 96 238 	3744 	98 96 238 	53 	53 53 53 
ENST00000526743 	ENST00000528784 	1451 	817 	1451 	817 	53 	53 
ENST00000534482 	ENST00000527544 	809 	685 	809 	685 	52 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	468 	164 123 	468 	164 123 	52 	52 52 
ENST00000305626 ENST00000477789 ENST00000596409 ENST00000422989 ENST00000599548 ENST00000377031 ENST00000486911 ENST00000474629 ENST00000460683 ENST00000505907 ENST00000575801 ENST00000336868 ENST00000532572 ENST00000556696 ENST00000520762 	ENST00000498451 ENST00000379565 ENST00000433891 ENST00000493260 ENST00000411406 ENST00000253233 ENST00000429587 ENST00000366329 ENST00000315251 ENST00000488606 ENST00000462067 ENST00000478047 ENST00000502732 ENST00000408940 ENST00000587113 ENST00000426548 ENST00000439464 	1948 543 1855 6221 535 943 353 6600 7122 3256 1951 2306 3862 346 164 	1467 3980 424 2685 389 1418 1059 942 5112 1247 734 511 9872 9560 1336 5750 3533 	1950 545 1857 6223 537 945 355 6602 7124 3258 1953 2308 3864 348 166 	1467 3980 424 2685 389 1418 1059 942 5112 1247 734 511 9872 9560 1336 5750 3533 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3490 	784 335 168 201 199 340 540 340 372 340 	3490 	784 335 168 201 199 340 540 340 372 340 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	85 28 	365 	85 28 	53 	52 52 
ENST00000419932 	ENST00000455385 ENST00000011473 	226 	1604 1582 	226 	1604 1582 	52 	51 51 
ENST00000515098 ENST00000513162 	ENST00000514354 ENST00000511078 ENST00000510363 	3273 4031 	79 91 81 	3273 4031 	79 91 81 	53 53 	52 52 52 
ENST00000561048 ENST00000555126 	ENST00000311832 	979 52 	856 	979 52 	875 	36 36 	34 
ENST00000463943 	ENST00000335179 ENST00000545072 	367 	79 22 	368 	79 22 	52 	51 51 
ENST00000316005 	ENST00000273375 	2577 	2544 	2591 	2547 	39 	31 
ENST00000419932 	ENST00000421473 ENST00000413547 ENST00000419551 ENST00000454620 ENST00000383564 ENST00000400531 ENST00000400534 ENST00000400530 ENST00000419792 ENST00000436335 ENST00000425136 ENST00000444441 ENST00000436628 ENST00000437490 ENST00000426754 ENST00000425102 ENST00000432462 ENST00000427480 ENST00000424734 ENST00000420618 ENST00000422650 ENST00000454454 ENST00000412136 ENST00000446385 ENST00000327892 ENST00000330914 ENST00000396389 ENST00000396384 ENST00000422674 ENST00000435546 ENST00000420400 ENST00000453350 	237 	1961 1923 2194 2114 1962 1924 2195 2115 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 	237 	1961 1923 2194 2114 1962 1924 2195 2115 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 1961 1923 2194 2114 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000395082 	ENST00000544269 	239 	5 	239 	5 	46 	38 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3489 	825 358 381 376 382 383 381 358 	3490 	825 358 381 376 382 383 381 358 	48 	53 53 53 53 53 53 53 53 
ENST00000361354 	ENST00000218388 ENST00000456754 ENST00000377017 ENST00000377018 	6646 	379 284 113 544 	6646 	379 284 113 544 	53 	53 53 53 53 
ENST00000372037 ENST00000464848 ENST00000411857 	ENST00000508504 ENST00000569762 ENST00000475966 ENST00000252444 ENST00000571346 ENST00000606041 ENST00000605787 	4290 2704 4756 	160 808 191 3986 621 191 414 	4290 2704 4756 	160 808 191 3986 621 191 414 	52 52 52 	53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	293 	1109 1126 	293 	53 53 	52 
ENST00000356415 	ENST00000452777 	6 	2 	6 	2 	34 	53 
ENST00000526743 	ENST00000528784 	1451 	816 	1456 	816 	48 	53 
