ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3483 	813 346 369 364 370 371 569 369 401 369 346 	3483 	813 346 369 364 370 371 569 369 401 369 346 	51 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000335185 	ENST00000525054 	3719 	493 	3719 	493 	52 	50 
ENST00000527958 ENST00000493328 	ENST00000424491 ENST00000512183 ENST00000338148 ENST00000465432 ENST00000409841 	2155 2702 	1147 583 619 328 449 	2155 2702 	1147 583 619 328 449 	53 53 	52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	77 20 	384 	77 20 	33 	52 52 
ENST00000565480 	ENST00000413459 	295 	1993 	295 	1993 	53 	53 
ENST00000314675 	ENST00000319041 	2110 	593 	2114 	593 	49 	52 
ENST00000449131 	ENST00000532456 ENST00000533195 ENST00000533618 ENST00000533713 ENST00000529235 ENST00000527702 ENST00000534001 ENST00000528499 ENST00000263574 ENST00000345598 ENST00000338167 ENST00000278756 ENST00000543137 	3498 	565 439 379 319 296 190 179 364 352 342 337 355 355 	3498 	565 439 379 319 296 190 179 364 352 342 337 355 355 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	369 	84 27 	369 	84 27 	53 	53 53 
ENST00000353047 ENST00000434271 ENST00000511176 	ENST00000358869 	3443 3427 20 	2528 	3462 3446 39 	2528 	32 32 32 	53 
ENST00000467961 	ENST00000409549 	1249 	2833 	1249 	2833 	52 	53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	279 	194 204 249 	279 	194 204 249 	53 	50 50 50 
ENST00000526743 	ENST00000527394 	1056 	1525 	1056 	1525 	53 	53 
ENST00000589181 ENST00000592641 ENST00000253109 	ENST00000593131 	1488 1691 1812 	362 	1488 1691 1812 	362 	53 53 53 	53 
ENST00000463943 	ENST00000507623 ENST00000380638 	395 	61 61 	395 	61 61 	53 	53 53 
ENST00000590045 	ENST00000411744 	2594 	1872 	2595 	1872 	52 	52 
ENST00000309733 ENST00000489060 	ENST00000429412 ENST00000546113 	7431 2475 	1591 1591 	7431 2475 	1597 1597 	53 53 	47 47 
ENST00000314675 	ENST00000319041 	2071 	571 	2071 	571 	53 	52 
ENST00000449131 	ENST00000532601 ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3348 	417 797 330 348 214 212 353 385 353 330 	3348 	417 797 330 348 214 212 353 385 353 330 	52 	50 50 50 50 50 50 50 50 50 50 
ENST00000355568 	ENST00000476192 ENST00000497426 	2558 	7136 7136 	2558 	7138 7138 	52 	51 51 
ENST00000514253 	ENST00000510019 	484 	189 	484 	189 	53 	51 
ENST00000361681 	ENST00000361567 	443 	1717 	443 	1717 	52 	53 
ENST00000420470 	ENST00000460470 ENST00000466265 	4468 	369 51 	4468 	369 51 	53 	53 53 
ENST00000341459 	ENST00000559057 	1782 	548 	1782 	548 	53 	53 
ENST00000449131 	ENST00000530019 ENST00000492727 	3759 	319 111 	3759 	319 111 	52 	53 53 
ENST00000350119 ENST00000564233 	ENST00000567705 	1913 3598 	799 	1913 3598 	799 	53 53 	53 
ENST00000496262 ENST00000568692 ENST00000371435 ENST00000395961 ENST00000392679 ENST00000314668 ENST00000481324 ENST00000358897 ENST00000417793 ENST00000475127 ENST00000461790 	ENST00000258439 ENST00000474465 ENST00000464772 	561 376 1974 2257 2097 2403 2083 4836 4728 391 649 	3415 551 205 	561 376 1974 2257 2097 2403 2083 4836 4728 391 649 	3415 551 205 	34 34 34 34 34 34 34 34 34 34 34 	52 52 52 
ENST00000361681 ENST00000506002 	ENST00000361567 	434 434 	1637 	434 434 	1644 	53 53 	45 
ENST00000461730 	ENST00000317881 ENST00000475354 ENST00000460013 	415 	332 93 212 	418 	332 93 212 	37 	53 53 53 
ENST00000560723 	ENST00000559556 	409 	859 	409 	859 	53 	51 
ENST00000355209 ENST00000396504 	ENST00000441802 	1573 1294 	7577 	1573 1294 	7577 	53 53 	52 
ENST00000415111 	ENST00000444822 	141 	652 	141 	652 	52 	53 
ENST00000570630 ENST00000448504 	ENST00000590402 ENST00000591744 	3639 3639 	473 534 	3658 3658 	473 534 	34 34 	52 52 
ENST00000403627 ENST00000405159 	ENST00000580271 ENST00000577238 ENST00000582672 	1761 1828 	275 381 160 	1761 1828 	275 381 160 	53 53 	52 52 52 
ENST00000403627 ENST00000405159 	ENST00000580271 ENST00000577238 ENST00000582672 	1761 1828 	275 381 160 	1761 1828 	278 384 163 	53 53 	42 42 42 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	208 90 88 230 208 	3744 	208 90 88 230 208 	53 	53 53 53 53 53 
ENST00000392385 ENST00000551944 ENST00000409562 ENST00000604604 ENST00000261200 ENST00000295025 ENST00000600751 	ENST00000369238 	1070 3222 2841 1194 7373 8820 2516 	3853 	1070 3222 2841 1194 7373 8820 2516 	3853 	53 53 53 53 53 53 53 	34 
ENST00000336356 ENST00000510733 	ENST00000477853 	3286 3360 	5961 	3297 3371 	5961 	31 31 	53 
ENST00000508814 ENST00000514253 	ENST00000211372 ENST00000481330 ENST00000434122 ENST00000477273 ENST00000439602 ENST00000474626 ENST00000454021 ENST00000473242 ENST00000457341 ENST00000490380 ENST00000440980 	275 206 	82 4 82 4 82 4 82 4 82 4 82 	275 206 	82 4 82 4 82 4 82 4 82 4 82 	53 53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3437 	813 346 369 364 370 371 569 369 401 369 346 	3437 	813 346 369 364 370 371 569 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000361681 ENST00000506002 	ENST00000361567 	428 428 	1557 	428 428 	1557 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000476192 ENST00000558583 ENST00000497426 ENST00000310613 ENST00000474698 	ENST00000502413 	5005 6097 5005 3195 5004 	880 	5023 6115 5023 3213 5022 	880 	35 35 35 35 35 	32 
ENST00000592379 	ENST00000582736 	41 	127 	41 	127 	53 	53 
ENST00000563480 ENST00000395589 	ENST00000519737 	427 427 	1048 	427 427 	1048 	52 52 	53 
ENST00000309733 ENST00000392857 	ENST00000481617 	8069 5035 	2768 	8069 5035 	2768 	53 53 	31 
ENST00000321990 	ENST00000341509 ENST00000537670 	6404 	2437 2131 	6412 	2453 2147 	45 	32 32 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000565813 	ENST00000562824 ENST00000563088 ENST00000564436 	100 	846 913 511 	100 	846 913 511 	53 	52 52 52 
ENST00000514253 	ENST00000511844 	495 	50 	495 	50 	53 	52 
ENST00000514253 	ENST00000510019 ENST00000429775 	465 	235 60 	465 	235 60 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4128 	105 307 107 107 	4128 	105 307 107 107 	52 	52 52 52 52 
ENST00000600057 	ENST00000420088 	243 	97 	243 	97 	35 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	798 331 349 215 213 554 354 386 354 331 	3482 	798 331 349 215 213 554 354 386 354 331 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	798 331 349 215 213 554 354 386 354 331 	3482 	798 331 349 215 213 554 354 386 354 331 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	139 	1091 1108 	139 	50 50 	53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4143 	105 307 107 107 	4143 	105 307 107 107 	53 	52 52 52 52 
ENST00000449131 	ENST00000517577 	3744 	236 	3744 	236 	31 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	350 	77 20 	350 	77 20 	53 	52 52 
ENST00000361681 	ENST00000361567 	314 	1732 	314 	1732 	52 	53 
ENST00000361681 	ENST00000361567 	446 	1690 	446 	1690 	53 	52 
ENST00000560723 	ENST00000559556 	427 	806 	427 	806 	52 	53 
ENST00000590045 	ENST00000467929 ENST00000405575 ENST00000467586 ENST00000357231 ENST00000411744 	2354 	2057 2062 2248 1779 1957 	2354 	2057 2062 2248 1779 1957 	51 	53 53 53 53 53 
ENST00000262866 	ENST00000558530 	2651 	850 	2651 	850 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	269 	1116 1133 	269 	53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	367 	79 22 	368 	79 22 	52 	51 51 
ENST00000392857 	ENST00000566753 	4861 	783 	4861 	783 	31 	48 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	103 101 243 	3759 	103 101 243 	52 	52 52 52 
ENST00000490210 ENST00000605787 	ENST00000537927 ENST00000318304 ENST00000228425 	7035 365 	5435 5716 5648 	7051 381 	5435 5716 5648 	35 35 	51 51 51 
ENST00000592379 	ENST00000582736 	41 	93 	41 	93 	53 	53 
ENST00000449131 	ENST00000431446 ENST00000568578 ENST00000419968 ENST00000464781 ENST00000320676 ENST00000562646 ENST00000565438 ENST00000570135 	3816 	512 662 686 665 837 837 634 665 	3816 	512 662 686 665 837 837 634 665 	36 	53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	446 	173 132 	446 	173 132 	52 	53 53 
ENST00000459812 ENST00000468814 ENST00000493809 ENST00000480383 ENST00000476214 ENST00000422437 ENST00000483565 	ENST00000477154 ENST00000476469 ENST00000475368 ENST00000475878 ENST00000469628 ENST00000476663 ENST00000469621 	2574 2574 2574 2574 2571 2574 2574 	678 678 678 678 678 678 678 	2574 2574 2574 2574 2571 2574 2574 	678 678 678 678 678 678 678 	53 53 53 53 53 53 53 	53 53 53 53 53 53 53 
ENST00000366559 ENST00000366557 	ENST00000478849 	4033 3660 	782 	4033 3660 	782 	52 52 	53 
ENST00000514253 	ENST00000511844 	513 	77 	515 	77 	50 	53 
ENST00000251020 ENST00000570206 ENST00000440970 	ENST00000409248 ENST00000409860 ENST00000382878 	479 586 586 	101 151 132 	489 596 596 	101 151 132 	33 33 33 	49 49 49 
ENST00000475268 ENST00000495368 	ENST00000378940 ENST00000378927 ENST00000498825 	1327 1455 	556 509 126 	1339 1467 	556 509 126 	41 41 	52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	289 	225 235 	289 	225 235 	52 	52 52 
ENST00000242505 	ENST00000557141 	4163 	124 	4163 	124 	53 	51 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	288 	1116 1133 	288 	53 53 	53 
ENST00000449695 	ENST00000338110 ENST00000395248 ENST00000566897 ENST00000569545 ENST00000563060 ENST00000564521 ENST00000412304 ENST00000564546 ENST00000564595 ENST00000569798 ENST00000395240 ENST00000566130 	901 	2155 2212 2220 1287 1321 2262 1377 1869 1437 1332 1252 572 	901 	2155 2212 2220 1287 1321 2262 1377 1869 1437 1332 1252 572 	50 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000430252 ENST00000540275 	ENST00000599232 	427 427 	60 	427 427 	60 	53 53 	53 
ENST00000371207 ENST00000543964 ENST00000371203 ENST00000539125 	ENST00000417066 ENST00000451554 ENST00000536771 	10763 10635 10837 10719 	1177 1236 1177 	10763 10635 10837 10719 	1195 1254 1195 	53 53 53 53 	34 34 34 
ENST00000564419 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	309 	4740 5014 4741 4741 5118 3261 4741 4746 5013 4741 896 4741 4741 4741 4741 	309 	4740 5014 4741 4741 5118 3261 4741 4746 5013 4741 896 4741 4741 4741 4741 	51 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000361681 	ENST00000361567 	448 	1511 	448 	1511 	52 	53 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000525054 	3719 	1367 1484 307 	3719 	1367 1484 307 	52 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3454 	798 331 349 215 213 554 354 386 354 331 	3454 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	361 	87 30 	363 	87 30 	51 	50 50 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000529576 ENST00000524397 ENST00000534380 ENST00000528382 	1194 789 1197 	195 823 891 243 	1194 789 1197 	195 823 891 243 	52 52 52 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3490 	797 330 348 214 212 553 353 385 353 330 	3490 	797 330 348 214 212 553 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 50 
ENST00000592379 	ENST00000582736 	41 	91 	41 	91 	53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	98 96 238 	3759 	98 96 238 	52 	53 53 53 
ENST00000357022 	ENST00000436269 	2358 	1741 	2358 	1741 	42 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1118 1135 	227 178 	1118 1135 	227 178 	53 53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	305 236 	130 89 	305 236 	130 89 	52 52 	52 52 
ENST00000592379 	ENST00000475608 	56 	37 	56 	37 	53 	52 
ENST00000176763 ENST00000517360 ENST00000370799 ENST00000398580 	ENST00000323926 ENST00000336916 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000474036 ENST00000490833 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	4910 2072 1611 1710 	5537 5264 5641 4915 5264 356 423 5264 5264 5264 5264 	4910 2072 1611 1710 	5540 5267 5644 4918 5267 359 426 5267 5267 5267 5267 	51 51 51 51 	47 47 47 47 47 47 47 47 47 47 47 
ENST00000449131 	ENST00000498161 ENST00000599364 	4198 	41 41 	4198 	41 41 	53 	53 53 
ENST00000560723 	ENST00000288398 ENST00000403994 ENST00000559556 ENST00000560970 ENST00000561266 ENST00000334895 ENST00000560959 ENST00000559281 ENST00000317516 ENST00000561395 ENST00000559108 	409 	887 769 761 631 505 791 595 581 581 315 157 	409 	887 769 761 631 505 791 595 581 581 315 157 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000493196 ENST00000553901 	ENST00000367203 ENST00000495076 ENST00000358138 ENST00000437935 ENST00000503265 ENST00000575112 ENST00000521386 ENST00000393772 ENST00000379308 ENST00000379306 ENST00000305513 ENST00000603371 	1792 134 	1747 4914 1360 1182 309 2295 3950 2827 2776 2065 2725 429 	1805 147 	1760 4927 1373 1195 322 2308 3963 2840 2789 2078 2738 442 	40 40 	39 39 39 39 39 39 39 39 39 39 39 39 
ENST00000381661 	ENST00000381611 ENST00000540494 	1910 	1533 1463 	1910 	1533 1463 	52 	53 53 
ENST00000381661 	ENST00000381611 ENST00000540494 	1910 	1533 1463 	1910 	1533 1463 	52 	53 53 
ENST00000592379 	ENST00000582736 	38 	100 	38 	100 	53 	53 
ENST00000361681 	ENST00000272645 ENST00000409955 ENST00000487079 ENST00000409698 	129 	524 388 209 578 	129 	524 388 209 578 	42 	53 53 53 53 
ENST00000374045 	ENST00000465605 ENST00000392975 ENST00000360793 ENST00000584031 ENST00000582297 ENST00000392976 ENST00000492342 ENST00000491968 ENST00000461317 	4480 	118 2073 2067 2267 804 2220 118 118 118 	4483 	118 2073 2067 2267 804 2220 118 118 118 	50 	53 53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2119 	631 	2119 	631 	52 	53 
ENST00000357721 	ENST00000536761 ENST00000542781 ENST00000535408 	5290 	860 727 731 	5290 	860 727 731 	53 	53 53 53 
ENST00000508814 	ENST00000510019 	304 	241 	304 	241 	50 	53 
ENST00000258439 	ENST00000505475 	5657 	156 	5666 	167 	40 	42 
ENST00000450479 	ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 	130 	494 462 158 155 153 153 175 151 151 151 151 151 151 175 	130 	494 462 158 155 153 153 175 151 151 151 151 151 151 175 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3469 	830 363 386 381 387 388 386 363 	3469 	830 363 386 381 387 388 386 363 	50 	52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	87 85 227 	3744 	87 85 227 	53 	53 53 53 
ENST00000394511 ENST00000478538 ENST00000483793 ENST00000473559 	ENST00000406053 	180 57 3800 2111 	1910 	180 57 3800 2111 	1910 	40 40 40 40 	52 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	178 137 	304 235 	178 137 	50 50 	52 52 
ENST00000506793 ENST00000281543 ENST00000511493 	ENST00000536584 ENST00000341935 ENST00000349984 ENST00000400926 ENST00000496783 ENST00000274242 ENST00000238831 ENST00000571669 ENST00000263092 ENST00000519716 ENST00000428389 ENST00000252773 ENST00000479673 ENST00000343010 	2490 2802 878 	2990 3027 2739 2780 1469 7000 3057 4358 4481 7112 7376 7112 1167 2256 	2490 2802 878 	3007 3044 2756 2797 1486 7017 3074 4375 4498 7129 7393 7129 1184 2273 	34 34 34 	36 36 36 36 36 36 36 36 36 36 36 36 36 36 
ENST00000335185 	ENST00000525054 	3719 	509 	3719 	509 	52 	53 
ENST00000360635 	ENST00000373316 ENST00000442431 ENST00000537456 ENST00000597340 ENST00000593375 ENST00000593893 	2724 	1108 619 1186 1108 619 1186 	2724 	1108 619 1186 1108 619 1186 	53 	52 52 52 52 52 52 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	96 298 98 98 	4129 	96 298 98 98 	51 	50 50 50 50 
ENST00000564458 ENST00000564795 	ENST00000392385 ENST00000551944 ENST00000392857 	944 944 	1125 3277 5469 	944 944 	1125 3277 5469 	53 53 	51 51 51 
ENST00000514253 	ENST00000510019 	486 	214 	486 	214 	51 	53 
ENST00000327697 ENST00000457726 ENST00000486102 ENST00000487805 ENST00000433785 ENST00000498376 	ENST00000308388 	4244 4439 4495 5815 1489 677 	1498 	4244 4439 4495 5815 1489 677 	1498 	52 52 52 52 52 52 	53 
ENST00000461526 	ENST00000478970 	422 	637 	436 	637 	39 	53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1253 848 1256 	214 	1265 860 1268 	216 	41 41 41 	47 
ENST00000455611 	ENST00000502586 	2282 	736 	2282 	736 	49 	36 
ENST00000508814 ENST00000514253 	ENST00000510019 	299 230 	230 	299 230 	230 	52 52 	52 
ENST00000349139 	ENST00000477205 	6885 	873 	6885 	875 	51 	47 
ENST00000603274 	ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000445610 	40 	311 226 245 339 295 226 245 257 	40 	311 226 245 339 295 226 245 257 	52 	50 50 50 50 50 50 50 50 
ENST00000514253 	ENST00000510019 ENST00000511844 	453 	128 87 	453 	128 87 	52 	52 52 
ENST00000314675 	ENST00000319041 	2089 	604 	2089 	604 	53 	53 
ENST00000229214 	ENST00000456650 ENST00000550491 	2102 	632 609 	2102 	632 609 	53 	53 53 
ENST00000355520 	ENST00000566753 ENST00000295025 	7597 	1931 8632 	7597 	1931 8632 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1154 1171 	253 	1154 1171 	253 	52 52 	51 
ENST00000514253 	ENST00000511844 	491 	114 	491 	114 	53 	53 
ENST00000547408 	ENST00000394023 	600 	4216 	600 	4216 	53 	53 
ENST00000355673 ENST00000547844 ENST00000431731 	ENST00000548249 	4227 334 3537 	1833 	4227 334 3537 	1833 	53 53 53 	52 
ENST00000339355 ENST00000372200 	ENST00000492398 	706 1208 	988 	706 1208 	988 	52 52 	52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4142 	92 94 	4142 	92 94 	53 	53 53 
ENST00000309733 	ENST00000429412 ENST00000546113 ENST00000392385 ENST00000508075 ENST00000409562 ENST00000550703 ENST00000546643 ENST00000478122 ENST00000566753 ENST00000481617 ENST00000604604 ENST00000506754 	6772 	2472 2472 693 667 2464 1086 868 1048 1746 3937 817 1393 	6772 	2472 2472 693 667 2464 1086 868 1048 1746 3937 817 1393 	53 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000530019 ENST00000492727 	3744 	319 111 	3744 	319 111 	53 	53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	359 	654 663 667 549 	359 	654 663 667 549 	53 	53 53 53 53 
ENST00000427606 	ENST00000555085 	752 	372 	758 	372 	47 	52 
ENST00000526743 	ENST00000528784 	1488 	844 	1488 	844 	53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 	306 237 	223 	306 237 	223 	53 53 	52 
ENST00000546192 	ENST00000541273 ENST00000474004 ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 	2211 	304 555 538 577 435 1664 	2211 	304 555 538 577 435 1664 	53 	51 51 51 51 51 51 
ENST00000426455 ENST00000394018 ENST00000317296 ENST00000491498 ENST00000440830 	ENST00000437485 ENST00000454084 	2903 2616 2650 1483 1571 	243 853 	2903 2616 2650 1483 1571 	243 853 	53 53 53 53 53 	53 53 
ENST00000514253 	ENST00000510019 	482 	201 	482 	201 	53 	53 
ENST00000449131 	ENST00000492727 	4177 	97 	4177 	97 	53 	52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	85 87 	4144 	85 87 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3759 	82 80 222 219 	3759 	82 80 222 219 	52 	53 53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	283 214 	170 180 225 	283 214 	170 180 225 	53 53 	53 53 53 
ENST00000514253 	ENST00000510019 	476 	222 	476 	222 	53 	52 
ENST00000361681 ENST00000506002 	ENST00000361567 	425 425 	1701 	425 425 	1701 	53 53 	52 
ENST00000477916 	ENST00000396128 	742 	4014 	751 	4014 	31 	52 
ENST00000262866 	ENST00000558530 	2638 	833 	2638 	833 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	353 	86 29 	353 	86 29 	51 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	77 20 	376 	77 20 	53 	52 52 
ENST00000592379 	ENST00000582736 	38 	54 	38 	54 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2316 2217 1971 	169 298 	2316 2217 1971 	169 298 	53 53 53 	51 51 
ENST00000452875 	ENST00000467457 ENST00000484831 	3850 	1420 1608 	3850 	1420 1608 	51 	52 52 
ENST00000592379 	ENST00000582736 	14 	108 	14 	108 	53 	53 
