ENST00000496760 ENST00000593682 ENST00000311437 ENST00000373036 	ENST00000559007 ENST00000558064 ENST00000550597 ENST00000392876 ENST00000522833 ENST00000475135 ENST00000478791 ENST00000299163 ENST00000472961 	633 981 2203 4371 	1800 199 16 3127 299 625 1065 10640 219 	639 987 2209 4377 	1800 199 16 3127 299 625 1065 10640 219 	37 37 37 37 	46 46 46 46 46 46 46 46 46 
ENST00000508350 ENST00000542946 ENST00000507563 	ENST00000372523 ENST00000341446 ENST00000461837 ENST00000412144 ENST00000383198 ENST00000548408 ENST00000560774 ENST00000524543 ENST00000528080 ENST00000495024 ENST00000383067 ENST00000383066 ENST00000551943 ENST00000316334 ENST00000524591 ENST00000529978 ENST00000397461 ENST00000395684 ENST00000422163 ENST00000446079 ENST00000512701 ENST00000280614 ENST00000602198 ENST00000434618 ENST00000526829 ENST00000608382 ENST00000499676 ENST00000251269 ENST00000328914 ENST00000428549 ENST00000585850 ENST00000221996 ENST00000343450 ENST00000372592 ENST00000428610 ENST00000412476 ENST00000308941 ENST00000419552 ENST00000565987 ENST00000562263 ENST00000471841 ENST00000581419 ENST00000467205 ENST00000366998 ENST00000254942 ENST00000566051 ENST00000603068 ENST00000496319 ENST00000467834 ENST00000374568 ENST00000374572 ENST00000546370 ENST00000574118 ENST00000551568 ENST00000338356 ENST00000480059 ENST00000437315 ENST00000417059 ENST00000414812 ENST00000505044 ENST00000467747 ENST00000498702 ENST00000503374 ENST00000012049 ENST00000366382 ENST00000377996 ENST00000574039 ENST00000570810 ENST00000327794 ENST00000483959 ENST00000558118 ENST00000571735 ENST00000340417 ENST00000510877 ENST00000442461 ENST00000446851 ENST00000395283 ENST00000395282 ENST00000581287 ENST00000583206 ENST00000408893 ENST00000477859 ENST00000588427 ENST00000588578 ENST00000445217 ENST00000495497 ENST00000460196 ENST00000392690 ENST00000394670 ENST00000526038 ENST00000475467 ENST00000301019 ENST00000506632 ENST00000496942 ENST00000482969 ENST00000497738 ENST00000375943 ENST00000512234 ENST00000533141 ENST00000374045 ENST00000470617 ENST00000510199 ENST00000243673 ENST00000462646 ENST00000596926 ENST00000605421 ENST00000560810 ENST00000550749 ENST00000359975 	2 2620 888 	2049 3288 1778 2571 2653 1774 3 1735 1872 1775 2572 2654 2393 2848 4037 4065 81 182 506 61 5459 1715 67 2654 543 2290 5408 2488 8054 1340 1220 1726 2071 588 320 100 75 71 48 25 4892 62 71 1661 1910 491 1892 649 1774 2571 2653 323 938 6385 6371 1774 2571 2653 64 80 633 557 23 1834 1338 872 506 61 7585 3 320 67 3749 3074 2988 2817 3104 3247 338 241 2000 4838 310 2359 1476 99 396 3139 6296 1313 423 15 693 2058 1403 1388 2435 69 44 4576 437 57 2388 116 375 184 925 149 152 	2 2620 888 	2049 3288 1778 2571 2653 1774 3 1735 1872 1775 2572 2654 2393 2848 4037 4065 81 182 506 61 5459 1715 67 2654 543 2290 5408 2488 8054 1340 1220 1726 2071 588 320 100 75 71 48 25 4892 62 71 1661 1910 491 1892 649 1774 2571 2653 323 938 6385 6371 1774 2571 2653 64 80 633 557 23 1834 1338 872 506 61 7585 3 320 67 3749 3074 2988 2817 3104 3247 338 241 2000 4838 310 2359 1476 99 396 3139 6296 1313 423 15 693 2058 1403 1388 2435 69 44 4576 437 57 2388 116 375 184 925 149 152 	53 53 53 	39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 
ENST00000490926 	ENST00000219343 ENST00000379152 ENST00000566454 	411 	5141 3964 5198 	411 	5148 3971 5205 	45 	39 39 39 
ENST00000379558 ENST00000295269 ENST00000321521 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000401491 ENST00000355520 ENST00000558583 ENST00000354232 ENST00000463753 ENST00000282074 ENST00000408926 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000606080 	6543 4016 7808 6348 329 5112 3548 1299 7196 5504 1359 2854 1235 3052 6791 1040 1040 	3365 	6543 4016 7808 6348 329 5112 3548 1299 7196 5504 1359 2854 1235 3052 6791 1040 1040 	3376 	37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 	42 
ENST00000561387 	ENST00000356535 	1455 	1174 	1455 	1193 	53 	33 
ENST00000588603 	ENST00000563945 ENST00000577060 	689 	349 349 	707 	357 357 	34 	38 38 
ENST00000606080 	ENST00000381908 ENST00000336164 ENST00000350274 	3062 	3046 3043 2950 	3075 	3046 3043 2950 	40 	53 53 53 
ENST00000436459 ENST00000501580 	ENST00000491404 	45 102 	10 	45 102 	10 	53 53 	53 
ENST00000348993 	ENST00000406452 	3001 	1678 	3001 	1681 	52 	34 
ENST00000526991 ENST00000588284 	ENST00000279147 ENST00000544096 ENST00000536870 ENST00000537272 	2517 134 	2039 3340 1838 635 	2523 140 	2039 3340 1838 635 	37 37 	35 35 35 35 
ENST00000400000 ENST00000340541 ENST00000584796 ENST00000583879 ENST00000583475 ENST00000577539 	ENST00000563131 	803 878 520 502 471 2932 	579 	803 878 520 502 471 2932 	579 	32 32 32 32 32 32 	52 
ENST00000559323 	ENST00000436928 ENST00000264228 	1045 	249 1900 	1049 	266 1917 	35 	36 36 
ENST00000481550 	ENST00000492472 ENST00000338733 ENST00000446782 ENST00000424280 ENST00000431002 ENST00000370708 ENST00000357613 ENST00000568559 ENST00000536413 ENST00000287908 ENST00000394622 ENST00000366334 ENST00000588578 ENST00000445217 ENST00000519466 ENST00000275053 ENST00000366089 ENST00000413817 ENST00000381614 ENST00000366232 ENST00000596009 ENST00000552858 	659 	806 2009 1756 2360 915 7678 3617 3197 455 3870 3646 512 2249 1366 278 6781 99 3085 2037 56 375 56 	673 	806 2009 1756 2360 915 7678 3617 3197 455 3870 3646 512 2249 1366 278 6781 99 3085 2037 56 375 56 	39 	34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 
ENST00000602791 ENST00000602364 	ENST00000309733 ENST00000478538 ENST00000483793 ENST00000476192 ENST00000355520 ENST00000558583 ENST00000489060 ENST00000518152 ENST00000497426 ENST00000474698 	2312 2312 	6542 -1 3742 4603 7390 5698 1586 339 4603 4602 	2312 2312 	6561 18 3761 4622 7409 5717 1605 358 4622 4621 	51 51 	33 33 33 33 33 33 33 33 33 33 
ENST00000554912 ENST00000555475 	ENST00000469462 	2518 361 	1655 	2527 370 	1660 	34 34 	48 
ENST00000309733 ENST00000408926 	ENST00000538183 ENST00000476149 ENST00000312675 ENST00000543006 ENST00000483793 ENST00000476192 ENST00000354232 ENST00000489060 ENST00000497426 ENST00000310613 ENST00000474698 	6409 3113 	7041 2223 13223 13166 3669 4530 1480 1513 4530 2721 4529 	6409 3113 	7043 2225 13225 13168 3671 4532 1482 1515 4532 2723 4531 	44 44 	37 37 37 37 37 37 37 37 37 37 37 
ENST00000523735 	ENST00000339438 ENST00000438362 ENST00000358528 ENST00000261443 ENST00000530886 ENST00000369530 ENST00000483407 ENST00000534699 	98 	2578 2742 2652 2182 2423 2745 202 2283 	98 	2578 2742 2652 2182 2423 2745 202 2283 	51 	51 51 51 51 51 51 51 51 
ENST00000579406 	ENST00000267615 ENST00000354313 	1614 	4903 1640 	1614 	4917 1654 	43 	34 34 
ENST00000569475 ENST00000579014 ENST00000462972 ENST00000396834 ENST00000571995 ENST00000560342 ENST00000557830 	ENST00000502891 ENST00000495001 ENST00000370033 ENST00000601579 ENST00000596143 ENST00000304058 ENST00000593745 ENST00000560355 ENST00000496116 ENST00000217957 ENST00000415430 ENST00000366358 	109 1608 120 201 1888 789 418 	432 1241 2896 715 4846 2664 3997 2858 659 1764 1916 162 	109 1608 120 201 1888 789 418 	432 1241 2896 715 4846 2664 3997 2858 659 1764 1916 162 	53 53 53 53 53 53 53 	40 40 40 40 40 40 40 40 40 40 40 40 
ENST00000563551 	ENST00000546483 ENST00000456951 	102 	1068 245 	121 	1078 255 	31 	43 43 
ENST00000575365 	ENST00000376088 ENST00000594930 	5 	7335 7335 	5 	7351 7351 	51 	37 37 
ENST00000424911 ENST00000420084 ENST00000419005 ENST00000430856 ENST00000427251 ENST00000446873 ENST00000415450 	ENST00000453518 ENST00000429656 ENST00000445820 ENST00000428199 ENST00000450479 	48 48 48 48 48 48 48 	149 149 149 149 149 	48 48 48 48 48 48 48 	149 149 149 149 149 	45 45 45 45 45 45 45 	53 53 53 53 53 
ENST00000295121 ENST00000400335 ENST00000400338 ENST00000358075 ENST00000583705 ENST00000472855 ENST00000515035 ENST00000350777 ENST00000600841 ENST00000502732 ENST00000408940 ENST00000597951 	ENST00000500728 ENST00000330062 ENST00000296328 	1304 2280 2331 2764 3670 1426 4265 2958 548 9895 9583 2764 	7710 2494 4630 	1304 2280 2331 2764 3670 1426 4265 2958 548 9895 9583 2764 	7716 2500 4636 	38 38 38 38 38 38 38 38 38 38 38 38 	34 34 34 
ENST00000420747 	ENST00000215917 ENST00000596731 ENST00000244763 ENST00000588137 ENST00000370128 ENST00000563287 	268 	2535 157 4029 250 2214 3101 	286 	2555 177 4049 270 2234 3121 	33 	31 31 31 31 31 31 
ENST00000361335 	ENST00000361381 	242 	92 	242 	92 	53 	53 
ENST00000594734 ENST00000598562 ENST00000411432 ENST00000557832 ENST00000597084 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	ENST00000439516 	29 29 2102 119 29 23 23 23 23 	89 	37 37 2110 127 37 31 31 31 31 	89 	44 44 44 44 44 44 44 44 44 	53 
ENST00000368931 ENST00000295294 ENST00000579014 	ENST00000503503 	1510 1717 1528 	312 	1531 1738 1549 	312 	32 32 32 	32 
ENST00000570603 ENST00000573025 ENST00000572434 ENST00000574244 ENST00000575083 ENST00000574076 ENST00000532567 ENST00000527791 ENST00000527853 ENST00000524864 ENST00000528547 	ENST00000476147 ENST00000540179 ENST00000469891 ENST00000327878 	64 412 78 653 400 6 64 412 653 400 6 	68 68 73 68 	64 412 78 653 400 6 64 412 653 400 6 	68 68 73 68 	52 52 52 52 52 52 52 52 52 52 52 	53 53 53 53 
ENST00000247087 	ENST00000599578 	6077 	148 	6085 	148 	36 	53 
ENST00000321521 ENST00000312675 ENST00000543006 ENST00000310613 	ENST00000309733 ENST00000478538 ENST00000558583 ENST00000518152 	7935 13229 13172 2727 	6620 77 5776 417 	7935 13229 13172 2727 	6620 77 5776 417 	52 52 52 52 	52 52 52 52 
ENST00000429656 ENST00000417944 ENST00000451967 ENST00000580020 	ENST00000445820 ENST00000428199 	425 425 425 425 	467 467 	443 443 443 443 	467 467 	33 33 33 33 	35 35 
ENST00000310389 	ENST00000559228 	4995 	4644 	5015 	4646 	32 	45 
ENST00000358053 ENST00000313733 ENST00000471817 ENST00000460412 ENST00000602059 ENST00000470153 ENST00000320892 ENST00000497417 ENST00000419988 ENST00000553632 ENST00000392876 ENST00000262644 ENST00000436137 ENST00000492088 ENST00000454964 ENST00000571669 ENST00000263092 ENST00000567998 ENST00000608988 ENST00000366384 ENST00000553159 	ENST00000504435 	2764 2800 1490 178 73 513 4518 1013 64 134 3034 3364 928 818 323 3146 3269 2337 1506 65 54 	18 	2764 2800 1490 178 73 513 4518 1013 64 134 3034 3364 928 818 323 3146 3269 2337 1506 65 54 	39 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	31 
ENST00000439578 ENST00000502286 ENST00000504242 ENST00000422163 ENST00000399017 ENST00000328914 ENST00000471841 ENST00000429989 ENST00000358677 ENST00000589420 ENST00000574039 ENST00000354333 ENST00000380698 ENST00000319540 ENST00000473000 ENST00000366522 ENST00000408893 ENST00000360835 ENST00000490395 ENST00000399277 ENST00000399280 ENST00000497434 ENST00000497719 ENST00000392690 ENST00000342063 ENST00000590534 ENST00000448803 ENST00000358472 ENST00000295030 ENST00000609217 ENST00000443948 	ENST00000530493 	105 160 140 404 351 7952 4790 6548 5655 640 404 702 1753 1898 3490 5012 1898 5851 670 928 789 519 579 3036 2288 314 3266 2684 3181 702 689 	638 	105 160 140 404 351 7952 4790 6548 5655 640 404 702 1753 1898 3490 5012 1898 5851 670 928 789 519 579 3036 2288 314 3266 2684 3181 702 689 	638 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000239231 	ENST00000475582 	9059 	3881 	9062 	3898 	31 	36 
ENST00000240652 ENST00000542023 	ENST00000427390 ENST00000560659 ENST00000316397 ENST00000558241 ENST00000482747 ENST00000478389 ENST00000524591 ENST00000529978 ENST00000531486 ENST00000377767 ENST00000377780 ENST00000568930 ENST00000553027 ENST00000273582 ENST00000564897 ENST00000568624 ENST00000571828 	821 878 	2651 2140 2381 2963 1577 182 5203 5231 1506 5206 5108 193 105 5514 2797 2863 2794 	821 878 	2651 2140 2381 2963 1577 182 5203 5231 1506 5206 5108 193 105 5514 2797 2863 2794 	53 53 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000537112 ENST00000339303 	ENST00000327792 	3915 3949 	45 	3915 3949 	45 	52 52 	41 
ENST00000461206 	ENST00000561183 	12 	21 	14 	21 	34 	52 
ENST00000489060 	ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	1937 	3262 5071 772 760 	1937 	3262 5071 772 760 	40 	43 43 43 43 
ENST00000308078 ENST00000330458 	ENST00000261530 	2213 2213 	6845 	2233 2233 	6853 	33 33 	40 
ENST00000309733 ENST00000310613 	ENST00000538183 ENST00000546977 ENST00000548969 	8208 4453 	8875 91 38 	8208 4453 	8880 96 43 	35 35 	31 31 31 
ENST00000536545 ENST00000437104 ENST00000587373 ENST00000593134 ENST00000587046 ENST00000509076 ENST00000503814 ENST00000394607 ENST00000357618 ENST00000267205 ENST00000428465 ENST00000337227 ENST00000539605 ENST00000324238 ENST00000532312 ENST00000375279 ENST00000492345 ENST00000359606 ENST00000346541 ENST00000397800 ENST00000543126 ENST00000330342 ENST00000473778 ENST00000422365 ENST00000541540 ENST00000541777 ENST00000397622 ENST00000603551 ENST00000603874 ENST00000604889 ENST00000592450 ENST00000588854 ENST00000588326 ENST00000592487 ENST00000590820 ENST00000593213 ENST00000588639 ENST00000589815 ENST00000591264 ENST00000585617 ENST00000585483 ENST00000592000 ENST00000593171 ENST00000588903 ENST00000590583 ENST00000589884 ENST00000592637 ENST00000587771 ENST00000588624 ENST00000591044 ENST00000589756 ENST00000591294 ENST00000590724 ENST00000590733 ENST00000412499 	ENST00000536984 	1177 155 346 265 335 444 3748 4554 3238 2456 2612 2593 5588 2168 1213 3746 3932 3403 3871 3583 2977 5855 1370 3430 3070 454 2346 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 1501 	2897 	1177 155 346 265 335 444 3748 4554 3238 2456 2612 2593 5588 2168 1213 3746 3932 3403 3871 3583 2977 5855 1370 3430 3070 454 2346 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 346 265 335 1501 	2897 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	51 
ENST00000361033 ENST00000484452 ENST00000445392 ENST00000340625 ENST00000356980 ENST00000431636 ENST00000341840 ENST00000447279 ENST00000256474 ENST00000345392 ENST00000570752 ENST00000259253 ENST00000375990 ENST00000281830 ENST00000604125 ENST00000601613 ENST00000366111 	ENST00000602540 ENST00000266671 	3303 756 4848 1044 2219 1293 1320 1242 2517 1614 163 8344 8628 2631 2301 808 63 	3666 5994 	3303 756 4848 1044 2219 1293 1320 1242 2517 1614 163 8344 8628 2631 2301 808 63 	3666 5994 	34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 	42 42 
