ENST00000574872 	ENST00000519266 ENST00000520221 	681 	194 34 	681 	194 34 	44 	53 53 
ENST00000359591 	ENST00000366582 	3181 	7225 	3181 	7225 	53 	53 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	262 262 254 262 	81 	262 262 254 262 	81 	53 53 53 53 	52 
ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	331 349 215 213 554 354 386 354 331 	3782 	331 349 215 213 554 354 386 354 331 	3782 	53 53 53 53 53 53 53 53 53 	53 
ENST00000434913 	ENST00000449131 	244 	4143 	244 	4143 	48 	53 
ENST00000438607 	ENST00000438370 	194 	4 	194 	4 	53 	53 
ENST00000380334 ENST00000380333 	ENST00000334569 	403 440 	385 	403 440 	391 	53 53 	47 
ENST00000507623 ENST00000380638 	ENST00000463943 	196 196 	419 	196 196 	419 	53 53 	51 
ENST00000507623 ENST00000380638 	ENST00000463943 	202 202 	417 	202 202 	417 	53 53 	51 
ENST00000535102 ENST00000596243 	ENST00000391830 ENST00000482622 	196 997 	220 117 	210 1011 	220 117 	39 39 	52 52 
ENST00000466086 ENST00000413500 	ENST00000449131 	215 213 	4187 	215 213 	4187 	53 53 	52 
ENST00000489060 	ENST00000392857 	1329 	5822 	1329 	5822 	52 	53 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	450 401 	1142 1159 	450 401 	1142 1159 	52 52 	53 53 
ENST00000574872 	ENST00000519266 ENST00000520221 	691 	190 30 	691 	190 30 	52 	52 52 
ENST00000295766 ENST00000550767 ENST00000547939 ENST00000546918 ENST00000548363 ENST00000550254 ENST00000550811 	ENST00000549554 	596 144 298 203 120 138 582 	283 	596 144 298 203 120 138 582 	283 	53 53 53 53 53 53 53 	53 
ENST00000309955 	ENST00000475922 ENST00000335056 ENST00000482404 ENST00000574002 	9508 	783 1796 2806 -8 	9529 	801 1814 2824 10 	32 	32 32 32 32 
ENST00000434913 	ENST00000449131 	239 	4167 	239 	4167 	53 	32 
ENST00000545625 ENST00000537446 	ENST00000412425 	266 286 	15 	266 286 	15 	53 53 	52 
ENST00000398259 ENST00000389400 	ENST00000604922 	514 544 	230 	514 544 	230 	53 53 	53 
ENST00000458591 ENST00000555259 ENST00000463622 ENST00000544052 ENST00000556768 ENST00000484733 ENST00000311943 ENST00000396629 ENST00000554486 ENST00000421551 ENST00000541123 	ENST00000243457 	1696 1422 1400 1418 1187 1658 1393 1379 735 1400 1393 	4399 	1696 1422 1400 1418 1187 1658 1393 1379 735 1400 1393 	4414 	52 52 52 52 52 52 52 52 52 52 52 	31 
ENST00000493254 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000476192 ENST00000497426 ENST00000474698 	ENST00000606080 	1062 743 661 1022 7357 7349 5733 	4659 	1062 743 661 1022 7357 7349 5733 	4659 	51 51 51 51 51 51 51 	43 
ENST00000361624 ENST00000414273 	ENST00000490926 	875 876 	524 	875 876 	524 	53 53 	53 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	384 	855 659 1875 	384 	855 659 1875 	53 	52 52 52 
ENST00000545355 	ENST00000486494 	49 	251 	49 	264 	53 	33 
ENST00000496156 ENST00000343304 ENST00000472710 	ENST00000463943 	329 2334 3369 	407 	329 2334 3369 	407 	52 52 52 	53 
ENST00000457472 	ENST00000296805 	40 	25 	40 	25 	52 	53 
ENST00000466086 ENST00000413500 	ENST00000449131 	215 213 	4187 	215 213 	4187 	53 53 	52 
ENST00000520547 	ENST00000570780 ENST00000391950 	610 	1109 1126 	610 	1109 1126 	52 	53 53 
ENST00000517577 	ENST00000449131 	224 	4179 	224 	4179 	53 	52 
ENST00000446607 	ENST00000355209 ENST00000396504 	1896 	3847 3568 	1896 	3847 3568 	53 	53 53 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	347 370 371 372 347 	3761 	347 370 371 372 347 	3761 	53 53 53 53 53 	53 
ENST00000296511 ENST00000501272 ENST00000506395 ENST00000511552 ENST00000509016 ENST00000513428 ENST00000513523 ENST00000513728 	ENST00000484282 	483 156 336 583 318 362 270 250 	4493 	483 156 336 583 318 362 270 250 	4493 	50 50 50 50 50 50 50 50 	53 
ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	ENST00000449131 	321 205 203 345 321 	3747 	336 220 218 360 336 	3747 	37 37 37 37 37 	53 
ENST00000482506 ENST00000395517 ENST00000418441 ENST00000493028 ENST00000454675 ENST00000484462 ENST00000403916 ENST00000453468 ENST00000463605 ENST00000485945 ENST00000488289 ENST00000480465 ENST00000395291 	ENST00000515262 	119 119 119 116 118 119 142 119 119 119 119 119 128 	126 	119 119 119 116 118 119 142 119 119 119 119 119 128 	126 	52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000484430 ENST00000398981 ENST00000483907 ENST00000483613 ENST00000389400 ENST00000485355 ENST00000442655 	ENST00000604922 	520 528 518 518 546 518 518 	244 	520 528 518 518 546 518 518 	244 	53 53 53 53 53 53 53 	53 
ENST00000508075 ENST00000557845 	ENST00000295025 	209 140 	8157 	209 140 	8157 	53 53 	47 
ENST00000487100 ENST00000382175 ENST00000474167 ENST00000461022 	ENST00000604922 	549 423 545 571 	329 	549 423 545 571 	329 	53 53 53 53 	53 
ENST00000482506 ENST00000395517 ENST00000418441 ENST00000454675 ENST00000403842 ENST00000484462 ENST00000403916 ENST00000453468 ENST00000463605 ENST00000485945 ENST00000488289 ENST00000480465 ENST00000395291 	ENST00000515262 	109 109 109 108 109 109 132 109 109 109 109 109 118 	126 	109 109 109 108 109 109 132 109 109 109 109 109 118 	126 	53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000225724 	ENST00000358230 ENST00000309955 ENST00000569239 	2605 	2805 3651 1258 	2605 	2805 3651 1258 	52 	51 51 51 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	157 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	157 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	51 
ENST00000223095 ENST00000445463 	ENST00000466212 	1934 1880 	3095 	1934 1880 	3095 	53 53 	50 
ENST00000395400 ENST00000395137 	ENST00000520451 	44 44 	124 	44 44 	124 	50 50 	34 
ENST00000291295 ENST00000599839 ENST00000596362 ENST00000486500 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000356005 ENST00000456923 ENST00000461974 ENST00000485567 ENST00000460217 ENST00000438981 ENST00000359671 	1144 1007 1081 1403 	6100 6719 6446 6823 7590 6371 6181 6176 2331 313 270 498 462 6446 	1144 1007 1081 1403 	6115 6734 6461 6838 7605 6386 6196 6191 2346 328 285 513 477 6461 	53 53 53 53 	38 38 38 38 38 38 38 38 38 38 38 38 38 38 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	388 	938 742 1958 	388 	938 742 1958 	52 	53 53 53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 80 68 68 68 91 68 68 91 68 68 77 	146 	158 348 183 80 68 68 68 91 68 68 91 68 68 77 	146 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000416139 ENST00000446445 	ENST00000592379 	282 282 	32 	282 282 	32 	53 53 	52 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	138 328 163 120 60 48 48 48 71 48 71 48 48 71 48 48 48 57 	159 	138 328 163 120 60 48 48 48 71 48 71 48 48 71 48 48 48 57 	159 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 	50 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	480 	910 714 1930 	480 	910 714 1930 	53 	53 53 53 
ENST00000468666 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000478186 ENST00000547522 	ENST00000453518 ENST00000428199 	44 43 40 38 38 36 36 36 36 36 36 36 60 	481 481 	44 43 40 38 38 36 36 36 36 36 36 36 60 	481 481 	51 51 51 51 51 51 51 51 51 51 51 51 51 	53 53 
ENST00000517577 	ENST00000449131 	210 	4162 	210 	4162 	53 	53 
ENST00000446445 	ENST00000592379 	281 	32 	281 	32 	53 	52 
ENST00000529460 ENST00000527186 ENST00000601722 ENST00000600126 	ENST00000534438 ENST00000601832 	260 974 260 974 	222 222 	260 974 260 974 	222 222 	53 53 53 53 	52 52 
ENST00000507623 ENST00000380638 	ENST00000463943 	182 182 	409 	182 182 	409 	53 53 	53 
ENST00000431134 ENST00000475608 	ENST00000592379 	341 349 	32 	341 349 	32 	53 53 	52 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000314261 	2364 2365 2365 2365 2469 2365 2370 2364 2365 2365 2365 2365 2365 	-1 	2364 2365 2365 2365 2469 2365 2370 2364 2365 2365 2365 2365 2365 	0 	52 52 52 52 52 52 52 52 52 52 52 52 52 	35 
ENST00000309733 ENST00000478538 ENST00000483793 	ENST00000475900 ENST00000315147 ENST00000527370 ENST00000263966 ENST00000257575 ENST00000300038 ENST00000436083 ENST00000432564 ENST00000570813 ENST00000263256 ENST00000324288 ENST00000570546 ENST00000442218 ENST00000551301 ENST00000488498 	6596 53 3796 	4383 856 1418 6686 2127 781 2022 1761 242 1827 4066 4933 986 975 223 	6596 53 3796 	4404 877 1439 6707 2148 802 2043 1782 263 1848 4087 4954 1007 996 244 	53 53 53 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000233336 	ENST00000374723 ENST00000470972 ENST00000374720 ENST00000373191 	11612 	7653 8446 8524 4069 	11626 	7653 8446 8524 4069 	32 	53 53 53 53 
ENST00000495038 ENST00000478836 ENST00000464848 ENST00000343187 ENST00000476296 ENST00000430935 	ENST00000337273 	1285 1343 1664 1566 1815 1564 	10564 	1285 1343 1664 1566 1815 1564 	10565 	53 53 53 53 53 53 	37 
ENST00000434913 ENST00000517577 	ENST00000449131 	239 240 	4161 	239 240 	4161 	51 51 	52 
ENST00000231004 	ENST00000370353 	185 	3908 	185 	3908 	53 	42 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	361 384 385 386 361 	3763 	361 384 385 386 361 	3763 	52 52 52 52 52 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	76 74 216 	4210 	76 74 216 	4210 	53 53 53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	99 97 239 	4192 	108 106 248 	4192 	44 44 44 	51 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	262 262 254 262 	74 	262 262 254 262 	74 	53 53 53 53 	53 
ENST00000274496 ENST00000448443 ENST00000513112 	ENST00000234453 	1633 1855 1735 	8768 	1633 1855 1735 	8788 	53 53 53 	32 
ENST00000425466 ENST00000493479 ENST00000389400 	ENST00000604922 	533 517 561 	233 	533 517 561 	233 	53 53 53 	52 
ENST00000425466 ENST00000472161 ENST00000474167 	ENST00000604922 	542 539 540 	233 	542 539 540 	233 	53 53 53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	76 74 216 	4210 	76 74 216 	4210 	53 53 53 	53 
ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000478186 ENST00000547522 	ENST00000453518 ENST00000428199 	53 50 48 48 46 46 46 46 46 46 46 70 	467 467 	53 50 48 48 46 46 46 46 46 46 46 70 	467 467 	51 51 51 51 51 51 51 51 51 51 51 51 	53 53 
ENST00000549883 	ENST00000599515 	227 	467 	227 	467 	53 	52 
ENST00000521655 	ENST00000599823 	400 	68 	400 	68 	53 	53 
ENST00000358230 ENST00000544599 	ENST00000254853 ENST00000573674 ENST00000575919 ENST00000424747 ENST00000296161 	1800 2179 	132 130 128 138 3273 	1800 2179 	142 140 138 148 3283 	53 53 	34 34 34 34 34 
ENST00000484430 ENST00000398981 	ENST00000604922 	518 526 	263 	518 526 	263 	53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 	ENST00000515262 	133 323 158 115 55 43 43 43 66 43 66 43 43 66 43 43 	159 	133 323 158 115 55 43 43 43 66 43 66 43 43 66 43 43 	159 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000456012 ENST00000470780 ENST00000492759 ENST00000450342 ENST00000473059 ENST00000481018 ENST00000462184 ENST00000550728 ENST00000396634 ENST00000376806 ENST00000496081 ENST00000376802 ENST00000495183 ENST00000479320 ENST00000461903 ENST00000376809 	ENST00000450479 	706 674 182 370 608 606 606 418 706 674 182 370 608 606 606 387 	67 	709 677 185 373 611 609 609 421 709 677 185 373 611 609 609 390 	83 	44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 	31 
ENST00000564506 ENST00000567793 ENST00000352035 ENST00000590151 ENST00000537919 ENST00000393896 ENST00000353196 	ENST00000463943 	3526 3388 3526 3505 2709 3535 3528 	363 	3526 3388 3526 3505 2709 3535 3528 	363 	52 52 52 52 52 52 52 	53 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	262 262 254 262 	40 	262 262 254 262 	40 	53 53 53 53 	52 
ENST00000578049 	ENST00000538264 ENST00000577843 ENST00000578332 ENST00000583315 	399 	793 793 793 793 	399 	793 793 793 793 	52 	53 53 53 53 
ENST00000586722 ENST00000458297 	ENST00000309733 	657 575 	7922 	665 583 	7922 	31 31 	53 
ENST00000529460 ENST00000527186 ENST00000601722 ENST00000600126 	ENST00000534438 ENST00000601832 	280 994 280 994 	222 222 	280 994 280 994 	222 222 	52 52 52 52 	52 52 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	197 189 	84 84 	197 189 	84 84 	52 52 	53 53 
ENST00000506401 ENST00000505306 ENST00000320031 ENST00000007722 ENST00000505612 ENST00000544892 	ENST00000329286 ENST00000241416 	1614 2113 2071 1741 343 1607 	1921 484 	1614 2113 2071 1741 343 1607 	1921 484 	53 53 53 53 53 53 	33 33 
ENST00000507623 ENST00000380638 	ENST00000463943 	173 173 	399 	173 173 	399 	53 53 	53 
ENST00000392514 ENST00000551217 ENST00000551150 ENST00000552292 ENST00000313104 ENST00000546989 ENST00000552461 ENST00000549098 ENST00000551258 ENST00000546990 ENST00000228306 ENST00000518938 	ENST00000420788 	983 455 1122 501 693 774 2377 893 859 691 1043 152 	106 	983 455 1122 501 693 774 2377 893 859 691 1043 152 	108 	53 53 53 53 53 53 53 53 53 53 53 53 	33 
ENST00000434913 	ENST00000449131 	238 	4155 	238 	4155 	53 	52 
ENST00000299381 ENST00000470481 	ENST00000492502 ENST00000533958 	376 1040 	172 93 	376 1040 	185 106 	53 53 	40 40 
ENST00000257770 ENST00000369651 	ENST00000322002 	1795 1627 	1995 	1795 1627 	1995 	52 52 	37 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000480465 ENST00000395291 	ENST00000515262 	165 355 190 87 75 75 75 98 75 75 98 75 84 	146 	165 355 190 87 75 75 75 98 75 75 98 75 84 	146 	53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000369308 ENST00000604000 	ENST00000368614 ENST00000392638 ENST00000368610 ENST00000436928 ENST00000382021 ENST00000303525 ENST00000295065 ENST00000401003 ENST00000489047 ENST00000293272 ENST00000366113 ENST00000550746 ENST00000501271 ENST00000410026 ENST00000381800 ENST00000442032 ENST00000346141 ENST00000325752 ENST00000301335 ENST00000367942 ENST00000603197 ENST00000605140 ENST00000583900 ENST00000426371 	2864 2713 	4593 4778 4302 288 3259 3163 3689 310 3336 879 758 3913 1229 9793 873 14 909 1891 6861 3058 879 758 2571 1074 	2864 2713 	4593 4778 4302 288 3259 3163 3689 310 3336 879 758 3913 1229 9793 873 14 909 1891 6861 3058 879 758 2571 1074 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000460355 	ENST00000492999 ENST00000486695 ENST00000467671 	3486 	85 85 85 	3486 	85 85 85 	53 	52 52 52 
ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	78 78 78 101 78 78 101 78 78 87 	136 	78 78 78 101 78 78 101 78 78 87 	136 	52 52 52 52 52 52 52 52 52 52 	53 
ENST00000202773 ENST00000424576 ENST00000546368 ENST00000551041 ENST00000552455 ENST00000550566 ENST00000549847 ENST00000551291 ENST00000553213 ENST00000549562 ENST00000548343 ENST00000466377 	ENST00000490804 	227 358 221 191 355 706 281 511 254 200 468 172 	118 	227 358 221 191 355 706 281 511 254 200 468 172 	133 	52 52 52 52 52 52 52 52 52 52 52 52 	33 
ENST00000411660 	ENST00000604922 	592 	303 	592 	303 	52 	52 
ENST00000304786 ENST00000366839 	ENST00000323460 	897 1013 	4309 	897 1013 	4326 	53 53 	31 
ENST00000323496 	ENST00000463943 	265 	392 	265 	392 	51 	52 
ENST00000467951 ENST00000541436 	ENST00000546087 ENST00000535372 	373 391 	395 198 	373 391 	395 198 	53 53 	53 53 
ENST00000585788 	ENST00000579128 ENST00000508634 ENST00000551366 	62 	804 508 280 	62 	826 530 302 	53 	31 31 31 
ENST00000357037 	ENST00000380739 	2516 	2317 	2516 	2332 	52 	38 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000493479 ENST00000389400 	ENST00000604922 	533 535 409 517 561 	238 	533 535 409 517 561 	238 	53 53 53 53 53 	49 
ENST00000396599 ENST00000461458 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	48 48 48 71 48 48 48 71 48 48 48 57 	142 	48 48 48 71 48 48 48 71 48 48 48 57 	142 	50 50 50 50 50 50 50 50 50 50 50 50 	53 
ENST00000514057 	ENST00000373059 ENST00000401070 ENST00000401069 	449 	1945 2077 2524 	449 	1961 2093 2540 	50 	37 37 37 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 90 78 78 78 101 78 78 101 78 78 87 	146 	168 358 193 90 78 78 78 101 78 78 101 78 78 87 	146 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 	52 
ENST00000525504 	ENST00000469867 ENST00000461972 	15 	1555 1692 	22 	1555 1692 	46 	35 35 
ENST00000263277 	ENST00000494686 	3017 	914 	3017 	924 	53 	35 
ENST00000342505 	ENST00000419932 	4908 	378 	4908 	378 	50 	39 
ENST00000515665 	ENST00000383376 	10 	1323 	27 	1343 	36 	31 
ENST00000481942 	ENST00000335223 	567 	260 	567 	260 	50 	41 
ENST00000567973 	ENST00000411432 ENST00000558924 	-16 	4007 1445 	0 	4007 1445 	32 	40 40 
ENST00000460542 ENST00000470534 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000478186 ENST00000547522 	ENST00000428199 	50 50 48 48 48 48 48 48 48 72 	463 	50 50 48 48 48 48 48 48 48 72 	463 	53 53 53 53 53 53 53 53 53 53 	53 
ENST00000367993 ENST00000465923 ENST00000493849 ENST00000392179 	ENST00000492502 ENST00000533958 	1558 475 160 1349 	167 88 	1558 475 160 1349 	185 106 	53 53 53 53 	32 32 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	361 384 385 386 361 	3744 	361 384 385 386 361 	3744 	53 53 53 53 53 	53 
ENST00000416139 ENST00000475608 	ENST00000592379 	222 219 	52 	222 219 	52 	52 52 	52 
ENST00000487100 ENST00000382175 ENST00000474167 	ENST00000604922 	549 423 545 	238 	549 423 545 	238 	53 53 53 	50 
ENST00000483407 	ENST00000315475 	381 	4688 	381 	4688 	53 	53 
ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	ENST00000449131 	96 94 235 236 	4187 	96 94 235 236 	4187 	53 53 53 53 	52 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	79 77 219 	4192 	79 77 219 	4192 	52 52 52 	51 
ENST00000270112 	ENST00000609923 	5639 	3304 	5652 	3312 	40 	32 
ENST00000439578 ENST00000502286 ENST00000504242 ENST00000469562 ENST00000338315 ENST00000422163 ENST00000399017 ENST00000328914 ENST00000471841 ENST00000429989 ENST00000358677 ENST00000589420 ENST00000574039 ENST00000354333 ENST00000380698 ENST00000319540 ENST00000473000 ENST00000366522 ENST00000408893 ENST00000360835 ENST00000490395 ENST00000399277 ENST00000399280 ENST00000497434 ENST00000497719 ENST00000392690 ENST00000411939 ENST00000375234 ENST00000446045 ENST00000342063 ENST00000590534 ENST00000448803 ENST00000358472 ENST00000295030 ENST00000609217 ENST00000443948 	ENST00000504855 	107 162 142 1645 1866 406 353 7954 4792 6550 5657 642 406 704 1755 1900 3492 5014 1900 5853 672 930 791 521 581 3038 1325 1674 1534 2290 316 3268 2686 3183 704 691 	309 	107 162 142 1645 1866 406 353 7954 4792 6550 5657 642 406 704 1755 1900 3492 5014 1900 5853 672 930 791 521 581 3038 1325 1674 1534 2290 316 3268 2686 3183 704 691 	323 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	31 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000535750 	2715 2716 2716 2716 2820 2716 2721 2715 2716 2716 2716 2716 2716 	637 	2715 2716 2716 2716 2820 2716 2721 2715 2716 2716 2716 2716 2716 	642 	53 53 53 53 53 53 53 53 53 53 53 53 53 	48 
ENST00000477976 ENST00000469563 	ENST00000583796 ENST00000582797 ENST00000328664 ENST00000579943 ENST00000577369 ENST00000341460 	83 748 	38 1016 1898 38 1016 4160 	83 748 	38 1016 1898 38 1016 4160 	40 40 	39 39 39 39 39 39 
ENST00000303375 ENST00000583597 ENST00000446119 	ENST00000296257 	4546 1840 1761 	4368 	4546 1840 1761 	4379 	53 53 53 	31 
ENST00000560065 ENST00000561044 	ENST00000564258 ENST00000355341 	97 349 	314 314 	97 349 	314 314 	52 52 	53 53 
ENST00000568842 ENST00000564196 ENST00000321562 ENST00000489591 	ENST00000467201 ENST00000437048 	841 637 841 637 	1259 2989 	841 637 841 637 	1259 2989 	52 52 52 52 	51 51 
ENST00000507623 ENST00000380638 	ENST00000463943 	350 350 	419 	350 350 	419 	52 52 	51 
ENST00000434913 ENST00000517577 	ENST00000449131 	237 238 	4179 	237 238 	4179 	53 53 	53 
ENST00000396634 ENST00000376806 ENST00000496081 ENST00000376802 ENST00000495183 ENST00000479320 ENST00000461903 ENST00000376809 	ENST00000450479 	804 772 280 468 706 704 704 485 	28 	804 772 280 468 706 704 704 485 	39 	53 53 53 53 53 53 53 53 	42 
ENST00000532942 ENST00000054950 ENST00000533898 ENST00000532474 ENST00000527337 ENST00000531345 	ENST00000436766 	843 1134 1197 429 370 1439 	450 	843 1134 1197 429 370 1439 	450 	53 53 53 53 53 53 	43 
ENST00000504763 	ENST00000296318 	917 	6247 	917 	6247 	50 	53 
