ENST00000312675 ENST00000543006 ENST00000223073 ENST00000463753 ENST00000310613 	ENST00000309733 ENST00000478538 ENST00000476192 ENST00000558583 ENST00000489060 ENST00000518152 ENST00000497426 ENST00000474698 	13148 13091 15436 2900 2646 	6546 3 4607 5702 1590 343 4607 4606 	13149 13092 15437 2901 2647 	6568 25 4629 5724 1612 365 4629 4628 	51 51 51 51 51 	31 31 31 31 31 31 31 31 
ENST00000501408 ENST00000570752 	ENST00000590334 	1562 1184 	286 	1580 1202 	286 	35 35 	38 
ENST00000587548 ENST00000586022 	ENST00000417404 	2706 2706 	414 	2706 2706 	414 	53 53 	33 
ENST00000467703 ENST00000509910 ENST00000274459 ENST00000589328 ENST00000409746 ENST00000463788 ENST00000588348 ENST00000586372 ENST00000490044 ENST00000512818 ENST00000606567 ENST00000513407 ENST00000471529 ENST00000381007 	ENST00000394232 ENST00000330276 ENST00000301659 ENST00000478402 ENST00000467298 	1311 2486 2479 2358 2458 115 1059 994 291 250 250 582 250 2726 	9828 9752 1903 793 648 	1311 2486 2479 2358 2458 115 1059 994 291 250 250 582 250 2726 	9831 9755 1906 796 651 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	32 32 32 32 32 
ENST00000488166 ENST00000379286 ENST00000342308 	ENST00000585876 ENST00000366275 	180 338 165 	170 122 	180 338 165 	170 122 	32 32 32 	42 42 
ENST00000502413 	ENST00000493254 ENST00000529271 ENST00000566753 ENST00000552937 ENST00000549640 ENST00000549785 ENST00000550234 ENST00000547979 	329 	1156 446 1116 118 118 118 118 118 	332 	1156 446 1116 118 118 118 118 118 	41 	36 36 36 36 36 36 36 36 
ENST00000392237 ENST00000358299 ENST00000554677 ENST00000423772 ENST00000469840 ENST00000527424 ENST00000240159 ENST00000534961 ENST00000319073 ENST00000525065 ENST00000274629 ENST00000436584 ENST00000598473 ENST00000607597 ENST00000411678 	ENST00000500320 ENST00000396307 ENST00000588320 ENST00000302692 ENST00000440282 ENST00000436580 	3044 3260 579 371 277 1754 1844 1986 1682 352 1935 882 433 49 2205 	2036 2887 181 2564 2674 2867 	3044 3260 579 371 277 1754 1844 1986 1682 352 1935 882 433 49 2205 	2036 2887 181 2564 2674 2867 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 
ENST00000402673 ENST00000504388 	ENST00000215957 	4168 491 	4633 	4168 491 	4633 	50 50 	53 
ENST00000220058 ENST00000558460 ENST00000486832 ENST00000328664 ENST00000478158 ENST00000452360 ENST00000594104 ENST00000437048 ENST00000372806 ENST00000499879 	ENST00000597463 	1336 1325 119 2209 867 1632 765 3060 4659 4442 	715 	1336 1325 119 2209 867 1632 765 3060 4659 4442 	732 	53 53 53 53 53 53 53 53 53 53 	36 
ENST00000526284 	ENST00000333139 ENST00000446232 ENST00000539061 	935 	1188 1056 2458 	935 	1188 1056 2458 	53 	53 53 53 
ENST00000580201 	ENST00000558924 	110 	1300 	110 	1319 	53 	34 
ENST00000372037 ENST00000379562 ENST00000526038 	ENST00000444614 ENST00000536991 ENST00000461350 	4253 5366 1237 	1665 343 1257 	4253 5366 1237 	1665 343 1257 	53 53 53 	52 52 52 
ENST00000493997 	ENST00000510711 ENST00000598601 ENST00000485259 ENST00000301335 ENST00000367561 	6163 	3027 2242 625 6799 1922 	6170 	3041 2256 639 6813 1936 	43 	37 37 37 37 37 
ENST00000562621 ENST00000575112 ENST00000592222 	ENST00000471389 	1154 2268 2268 	4674 	1166 2280 2280 	4674 	41 41 41 	34 
ENST00000429412 ENST00000546113 	ENST00000309733 ENST00000489060 	2114 2114 	8049 3093 	2114 2114 	8049 3093 	43 43 	53 53 
ENST00000412522 	ENST00000396976 ENST00000396972 	2251 	3653 2498 	2270 	3653 2498 	34 	47 47 
ENST00000371466 	ENST00000584384 ENST00000580926 	132 	28 109 	132 	28 109 	53 	53 53 
ENST00000570630 ENST00000448504 	ENST00000486666 ENST00000402157 ENST00000299550 	3809 3809 	2197 6870 6537 	3809 3809 	2217 6890 6557 	52 52 	33 33 33 
ENST00000555260 ENST00000553901 	ENST00000603611 ENST00000603588 	594 3260 	82 82 	594 3260 	82 82 	40 40 	40 40 
ENST00000381007 	ENST00000464685 ENST00000555501 	2758 	1932 2626 	2779 	1932 2626 	32 	53 53 
ENST00000321521 ENST00000264065 ENST00000463137 	ENST00000538183 ENST00000309733 ENST00000489060 	8055 7242 4566 	7251 6679 1723 	8076 7263 4587 	7251 6679 1723 	32 32 32 	53 53 53 
ENST00000358230 ENST00000309955 ENST00000411432 ENST00000544076 	ENST00000599809 ENST00000601706 ENST00000551364 ENST00000412930 	2808 3654 1966 1355 	107 113 107 107 	2808 3654 1966 1355 	107 113 107 107 	53 53 53 53 	53 53 53 53 
ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000355520 ENST00000473559 ENST00000462714 ENST00000223073 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000538183 ENST00000476149 ENST00000312675 ENST00000543006 ENST00000476192 ENST00000489060 ENST00000497426 ENST00000310613 ENST00000474698 	6558 4031 6363 344 5127 3563 7211 1874 1503 15405 1250 6806 1055 1055 	7015 2197 13197 13140 4504 1487 4504 2695 4503 	6558 4031 6363 344 5127 3563 7211 1874 1503 15405 1250 6806 1055 1055 	7032 2214 13214 13157 4521 1504 4521 2712 4520 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 	36 36 36 36 36 36 36 36 36 
ENST00000531806 ENST00000529253 ENST00000528089 	ENST00000346333 ENST00000510443 ENST00000359244 ENST00000426628 ENST00000528685 	361 523 1179 	652 732 750 725 767 	361 523 1179 	652 732 750 725 767 	53 53 53 	37 37 37 37 37 
ENST00000500576 	ENST00000512701 	468 	6479 	469 	6479 	32 	53 
ENST00000503342 	ENST00000493254 	208 	2530 	228 	2546 	31 	37 
ENST00000295065 ENST00000549235 ENST00000556292 ENST00000489047 	ENST00000422247 ENST00000367942 	3501 264 307 3148 	2004 3007 	3501 264 307 3148 	2004 3007 	53 53 53 53 	53 53 
ENST00000485408 	ENST00000440346 ENST00000583301 	434 	120 321 	435 	130 331 	39 	37 37 
ENST00000607242 ENST00000393073 	ENST00000409683 	335 178 	393 	335 178 	393 	49 49 	52 
ENST00000574474 ENST00000573373 ENST00000484457 ENST00000468343 ENST00000609147 ENST00000608075 ENST00000609043 ENST00000609844 ENST00000608540 ENST00000576838 ENST00000414739 ENST00000436580 	ENST00000360737 	3672 600 3647 1482 1482 1482 1482 1482 1482 1482 1378 2795 	2177 	3672 600 3647 1482 1482 1482 1482 1482 1482 1482 1378 2795 	2177 	37 37 37 37 37 37 37 37 37 37 37 37 	53 
ENST00000552021 ENST00000600392 ENST00000550392 ENST00000605181 ENST00000600122 ENST00000603969 	ENST00000576629 ENST00000572638 ENST00000333412 ENST00000587548 ENST00000586022 	4269 4269 1383 1383 4266 1832 	4806 2226 4314 3224 3224 	4269 4269 1383 1383 4266 1832 	4806 2226 4314 3224 3224 	52 52 52 52 52 52 	51 51 51 51 51 
ENST00000264065 	ENST00000309733 	8336 	7937 	8344 	7937 	34 	40 
ENST00000314103 	ENST00000560386 	4076 	3131 	4086 	3131 	35 	53 
ENST00000394511 ENST00000355520 	ENST00000309733 ENST00000478538 ENST00000489060 ENST00000518152 	15 7266 	6553 10 1597 350 	15 7266 	6564 21 1608 361 	46 46 	40 40 40 40 
ENST00000557060 ENST00000551944 ENST00000493254 ENST00000555870 ENST00000462119 ENST00000337630 ENST00000604604 ENST00000295025 ENST00000602666 	ENST00000312675 ENST00000543006 ENST00000392857 ENST00000469718 	2943 3487 2424 7018 1015 2023 1460 9086 2635 	13580 13523 5732 669 	2943 3487 2424 7018 1015 2023 1460 9086 2635 	13580 13523 5732 669 	52 52 52 52 52 52 52 52 52 	50 50 50 50 
ENST00000604015 	ENST00000392385 ENST00000566753 ENST00000295025 	452 	613 1666 8367 	452 	613 1666 8367 	52 	53 53 53 
ENST00000379562 ENST00000526038 ENST00000554241 ENST00000425673 ENST00000373014 	ENST00000398738 ENST00000543600 ENST00000444614 ENST00000461350 ENST00000531012 ENST00000489667 ENST00000209875 	5339 1210 618 6212 1679 	1837 1828 1661 1253 298 1152 7004 	5339 1210 618 6212 1679 	1837 1828 1661 1253 298 1152 7004 	53 53 53 53 53 	52 52 52 52 52 52 52 
ENST00000581966 ENST00000582797 ENST00000344063 ENST00000426763 ENST00000492328 ENST00000540348 ENST00000257575 ENST00000283875 ENST00000338040 ENST00000577369 ENST00000416614 ENST00000377939 ENST00000496676 ENST00000377948 ENST00000357503 ENST00000473559 ENST00000506484 ENST00000370647 ENST00000370646 ENST00000466201 ENST00000426548 ENST00000568935 	ENST00000488663 	358 799 3003 3812 336 304 2051 1746 3898 799 3021 2205 1795 2085 3795 437 383 1284 1773 689 4874 336 	626 	358 799 3003 3812 336 304 2051 1746 3898 799 3021 2205 1795 2085 3795 437 383 1284 1773 689 4874 336 	628 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	39 
ENST00000488013 	ENST00000346617 ENST00000371515 ENST00000216923 	183 	2109 2273 2497 	183 	2130 2294 2518 	53 	31 31 31 
ENST00000281806 	ENST00000423192 ENST00000367682 ENST00000609129 	2236 	3419 3361 4198 	2248 	3419 3361 4198 	41 	53 53 53 
ENST00000357606 ENST00000317269 	ENST00000381154 ENST00000495294 ENST00000358337 	2705 2619 	2258 1317 1720 	2712 2626 	2258 1317 1720 	38 38 	32 32 32 
ENST00000551944 ENST00000469718 	ENST00000312675 ENST00000543006 	3632 762 	13789 13732 	3632 762 	13789 13732 	51 51 	53 53 
ENST00000441564 ENST00000502891 ENST00000564663 ENST00000563294 ENST00000422163 ENST00000512701 ENST00000399017 ENST00000328914 ENST00000379562 ENST00000564521 ENST00000471841 ENST00000254942 ENST00000566051 ENST00000603068 ENST00000429989 ENST00000589420 ENST00000378268 ENST00000574039 ENST00000431002 ENST00000380698 ENST00000473000 ENST00000596217 ENST00000593682 ENST00000311437 ENST00000366522 ENST00000392690 ENST00000526038 ENST00000342063 ENST00000554241 ENST00000527278 ENST00000373014 ENST00000530275 ENST00000591321 ENST00000483979 ENST00000571626 ENST00000366232 ENST00000443948 ENST00000551929 ENST00000551385 	ENST00000444614 ENST00000536991 ENST00000461350 	9392 373 319 212 420 5373 367 7968 5355 918 4806 1824 405 1806 6564 656 356 420 935 1769 3506 1068 1803 3025 5028 3052 1226 2304 634 565 1695 4955 26 870 870 76 705 74 74 	1646 324 1238 	9392 373 319 212 420 5373 367 7968 5355 918 4806 1824 405 1806 6564 656 356 420 935 1769 3506 1068 1803 3025 5028 3052 1226 2304 634 565 1695 4955 26 870 870 76 705 74 74 	1646 324 1238 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 
ENST00000551132 ENST00000517561 	ENST00000358637 	292 438 	1175 	292 438 	1175 	36 36 	47 
ENST00000488606 ENST00000462067 ENST00000476977 ENST00000573869 	ENST00000311412 ENST00000405413 	1283 770 5344 5344 	2879 2916 	1283 770 5344 5344 	2899 2936 	31 31 31 31 	32 32 
ENST00000481617 	ENST00000469971 ENST00000566753 	2772 	575 651 	2772 	575 651 	32 	53 53 
ENST00000238497 ENST00000539605 	ENST00000562621 ENST00000575112 ENST00000592222 	2120 5673 	1161 2275 2275 	2140 5693 	1163 2277 2277 	32 32 	37 37 37 
ENST00000452572 ENST00000412073 	ENST00000419943 	306 424 	156 	306 424 	156 	52 52 	53 
ENST00000596797 ENST00000609715 	ENST00000515564 ENST00000373191 	454 454 	3267 3970 	454 454 	3267 3970 	36 36 	39 39 
ENST00000309733 ENST00000481729 ENST00000476192 ENST00000489060 ENST00000497426 ENST00000474698 	ENST00000429412 ENST00000546113 	7184 507 5245 2228 5245 5244 	1624 1624 	7184 507 5245 2228 5245 5244 	1624 1624 	53 53 53 53 53 53 	52 52 
ENST00000366327 	ENST00000434415 	63 	2661 	63 	2677 	31 	37 
ENST00000471743 ENST00000457468 	ENST00000515398 ENST00000505698 	632 1267 	36 114 	648 1283 	36 114 	31 31 	53 53 
ENST00000355520 ENST00000261200 	ENST00000295269 ENST00000309733 ENST00000558583 ENST00000564458 ENST00000564795 	7018 6613 	3936 6268 5424 960 960 	7018 6613 	3936 6268 5424 960 960 	53 53 	52 52 52 52 52 
ENST00000583036 	ENST00000394133 	503 	368 	503 	368 	51 	53 
ENST00000310613 	ENST00000360254 	4674 	86 	4678 	86 	49 	48 
ENST00000392385 ENST00000295025 ENST00000600751 	ENST00000557060 ENST00000550977 ENST00000488088 ENST00000392857 ENST00000229465 ENST00000469718 ENST00000602666 	1072 8822 2518 	2781 2189 607 5518 1094 457 2473 	1072 8822 2518 	2795 2203 621 5532 1108 471 2487 	52 52 52 	35 35 35 35 35 35 35 
ENST00000609713 	ENST00000377957 ENST00000257189 ENST00000305188 ENST00000560440 ENST00000550266 	11636 	3711 3722 3827 2691 164 	11636 	3711 3722 3827 2691 164 	52 	53 53 53 53 53 
ENST00000570603 ENST00000573025 ENST00000572434 ENST00000574244 ENST00000575083 ENST00000574076 ENST00000532567 ENST00000527791 ENST00000527853 ENST00000524864 ENST00000528547 	ENST00000476147 ENST00000540179 ENST00000469891 ENST00000327878 	68 416 82 657 404 10 68 416 657 404 10 	67 67 72 67 	68 416 82 657 404 10 68 416 657 404 10 	67 67 72 67 	52 52 52 52 52 52 52 52 52 52 52 	53 53 53 53 
ENST00000309733 	ENST00000358637 	8235 	874 	8235 	884 	53 	42 
ENST00000427358 ENST00000366221 ENST00000376753 ENST00000589889 ENST00000458605 	ENST00000346141 ENST00000340993 ENST00000394239 ENST00000325752 ENST00000360737 	887 850 1299 393 2144 	867 1669 1601 1849 2191 	887 850 1299 393 2144 	867 1669 1601 1849 2191 	53 53 53 53 53 	53 53 53 53 53 
ENST00000592521 	ENST00000430038 ENST00000378207 	646 	189 995 	659 	201 1007 	40 	32 32 
ENST00000557060 ENST00000493254 ENST00000295025 	ENST00000488967 ENST00000524591 ENST00000496736 	2912 2393 9055 	572 6081 148 	2912 2393 9055 	572 6081 148 	53 53 53 	53 53 53 
ENST00000501580 ENST00000503537 ENST00000599509 	ENST00000434005 ENST00000318052 ENST00000513637 ENST00000443590 ENST00000509116 	80 26 23 	96 96 96 96 96 	80 26 23 	96 96 96 96 96 	53 53 53 	53 53 53 53 53 
ENST00000309955 	ENST00000599809 ENST00000594734 ENST00000598562 ENST00000597084 ENST00000398726 	3997 	322 328 328 328 361 	3997 	322 328 328 328 361 	52 	43 43 43 43 43 
ENST00000321826 	ENST00000445125 	1632 	436 	1632 	443 	39 	35 
ENST00000485271 ENST00000274498 ENST00000378004 ENST00000486650 ENST00000266673 ENST00000468864 ENST00000546994 ENST00000488498 ENST00000381007 ENST00000597360 	ENST00000556227 	165 5781 5593 3671 3141 1307 185 276 2985 1569 	1206 	165 5781 5593 3671 3141 1307 185 276 2985 1569 	1206 	32 32 32 32 32 32 32 32 32 32 	41 
ENST00000392857 	ENST00000571500 ENST00000534317 	5825 	5399 5399 	5825 	5400 5400 	51 	52 52 
ENST00000263275 	ENST00000591615 ENST00000475896 	1709 	1671 2529 	1712 	1671 2529 	32 	32 32 
ENST00000466096 ENST00000435930 	ENST00000371380 ENST00000394807 	3889 1768 	11296 2546 	3895 1774 	11296 2546 	46 46 	51 51 
ENST00000514653 ENST00000529613 	ENST00000503768 ENST00000503874 	268 401 	1157 985 	269 402 	1170 998 	31 31 	40 40 
ENST00000394511 ENST00000483793 ENST00000355520 ENST00000558583 	ENST00000354232 	6 3609 7257 5565 	1532 	6 3609 7257 5565 	1532 	53 53 53 53 	46 
ENST00000442281 	ENST00000453518 	240 	440 	240 	443 	47 	50 
ENST00000468258 ENST00000418334 ENST00000466526 	ENST00000380860 	88 1386 553 	986 	88 1386 553 	987 	39 39 39 	32 
ENST00000599809 ENST00000595520 ENST00000594734 ENST00000598562 ENST00000597084 ENST00000412930 ENST00000439516 	ENST00000411432 ENST00000557832 ENST00000398726 	277 277 283 283 283 277 277 	2525 542 533 	278 278 284 284 284 278 278 	2547 564 555 	52 52 52 52 52 52 52 	31 31 31 
ENST00000398357 ENST00000545120 	ENST00000054950 ENST00000533898 ENST00000531345 	504 85 	1809 1872 2114 	504 85 	1821 1884 2126 	50 50 	40 40 40 
ENST00000518587 ENST00000449818 	ENST00000513394 ENST00000502784 ENST00000426339 ENST00000458237 	455 391 	437 386 433 422 	455 391 	437 386 433 422 	53 53 	53 53 53 53 
ENST00000353231 ENST00000534609 ENST00000249344 ENST00000595845 	ENST00000396976 ENST00000396972 	1664 2943 3718 420 	3267 2112 	1676 2955 3730 432 	3276 2121 	41 41 41 41 	44 44 
ENST00000562865 ENST00000508867 ENST00000393939 ENST00000361565 ENST00000366235 	ENST00000556077 	5565 2334 5565 4951 1493 	426 	5565 2334 5565 4951 1493 	429 	35 35 35 35 35 	33 
ENST00000583052 	ENST00000539061 	77 	2612 	77 	2612 	52 	52 
ENST00000221566 	ENST00000361866 	119 	949 	119 	949 	52 	53 
ENST00000534167 ENST00000323662 	ENST00000399012 ENST00000381657 ENST00000475045 ENST00000460207 ENST00000477788 ENST00000514701 ENST00000340650 ENST00000504771 ENST00000328306 ENST00000366844 ENST00000519274 ENST00000493787 ENST00000556901 ENST00000330263 ENST00000486890 ENST00000481464 ENST00000479642 ENST00000602450 ENST00000605845 	6460 6257 	3743 3960 570 343 355 21218 1616 3783 3168 9596 165 3671 637 2134 126 70 57 41 3168 	6460 6257 	3743 3960 570 343 355 21218 1616 3783 3168 9596 165 3671 637 2134 126 70 57 41 3168 	53 53 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000481132 	ENST00000369500 	2562 	3058 	2562 	3058 	47 	51 
ENST00000502891 ENST00000372037 ENST00000512701 ENST00000399017 ENST00000461102 ENST00000379562 ENST00000564521 ENST00000483051 ENST00000496526 ENST00000383827 ENST00000471841 ENST00000254942 ENST00000566051 ENST00000603068 ENST00000429989 ENST00000589420 ENST00000378268 ENST00000431002 ENST00000380698 ENST00000473000 ENST00000596217 ENST00000593682 ENST00000311437 ENST00000366522 ENST00000392690 ENST00000342063 ENST00000554241 ENST00000527278 ENST00000530275 ENST00000591321 ENST00000366232 ENST00000443948 ENST00000411857 ENST00000551929 ENST00000551385 	ENST00000444614 ENST00000536991 ENST00000452375 ENST00000449784 ENST00000450501 ENST00000357490 ENST00000432387 ENST00000461350 	375 4244 5375 369 526 5357 920 922 996 97 4808 1826 407 1808 6566 658 358 937 1771 3508 1070 1805 3027 5030 3054 2306 636 567 4957 28 78 707 4710 76 76 	1708 386 384 387 285 313 288 1300 	375 4244 5375 369 526 5357 920 922 996 97 4808 1826 407 1808 6566 658 358 937 1771 3508 1070 1805 3027 5030 3054 2306 636 567 4957 28 78 707 4710 76 76 	1708 386 384 387 285 313 288 1300 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 53 53 53 53 53 53 53 
ENST00000549591 ENST00000252444 ENST00000563815 ENST00000553872 ENST00000378228 ENST00000378217 	ENST00000217185 ENST00000368614 ENST00000392638 ENST00000368610 ENST00000238831 ENST00000293272 ENST00000366113 ENST00000556123 ENST00000381800 ENST00000346141 ENST00000340993 ENST00000394239 ENST00000325752 ENST00000603197 ENST00000605140 ENST00000426371 	755 4105 1466 0 1351 1443 	2433 4568 4753 4277 7780 854 733 3937 848 884 1686 1618 1866 854 733 1049 	755 4105 1466 0 1351 1443 	2433 4568 4753 4277 7780 854 733 3937 848 884 1686 1618 1866 854 733 1049 	52 52 52 52 52 52 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000423557 ENST00000221132 ENST00000588072 ENST00000317235 ENST00000496196 ENST00000494209 ENST00000237536 ENST00000518676 ENST00000524140 ENST00000552788 ENST00000369291 	ENST00000291971 ENST00000569127 	1223 1587 2888 1825 2147 477 9701 7779 7017 6705 8127 	3498 465 	1223 1587 2888 1825 2147 477 9701 7779 7017 6705 8127 	3498 465 	47 47 47 47 47 47 47 47 47 47 47 	33 33 
ENST00000373464 ENST00000373457 ENST00000449886 ENST00000550748 ENST00000607772 ENST00000472525 ENST00000561857 ENST00000360121 ENST00000484363 ENST00000499527 ENST00000491452 ENST00000371655 ENST00000492689 ENST00000592502 ENST00000355632 ENST00000565245 ENST00000600468 ENST00000372146 ENST00000483423 ENST00000295628 ENST00000504447 ENST00000432329 ENST00000353267 ENST00000373826 ENST00000480241 ENST00000487302 ENST00000467972 ENST00000470703 ENST00000533453 ENST00000585058 ENST00000567125 ENST00000435423 ENST00000567056 ENST00000284384 ENST00000378279 ENST00000376592 ENST00000376583 ENST00000341761 ENST00000374193 ENST00000450849 ENST00000600960 ENST00000222803 ENST00000597928 ENST00000464396 ENST00000292823 ENST00000409690 ENST00000399942 ENST00000393978 	ENST00000533680 ENST00000410105 ENST00000373367 ENST00000541184 ENST00000485672 ENST00000294353 ENST00000588303 ENST00000493763 ENST00000304734 ENST00000592903 ENST00000592215 ENST00000590095 ENST00000589427 ENST00000477919 ENST00000448007 ENST00000411432 ENST00000373857 ENST00000539896 ENST00000255266 ENST00000508173 ENST00000599049 ENST00000473414 ENST00000490945 ENST00000374242 ENST00000374238 ENST00000608752 ENST00000465069 	4689 5526 4575 1730 15466 350 1878 6683 583 1655 583 4922 2469 1871 1635 2173 2259 4227 583 6056 1580 2896 2834 912 583 583 1449 583 2065 5005 1864 1716 1067 2042 2075 6860 6854 3281 3297 2828 2425 2110 1072 583 3111 1260 1015 148 	3 2016 3557 3777 864 5273 636 2046 1310 81 37 35 991 793 1640 1686 2189 1889 4639 4703 1536 978 1462 1528 1311 864 248 	4689 5526 4575 1730 15466 350 1878 6683 583 1655 583 4922 2469 1871 1635 2173 2259 4227 583 6056 1580 2896 2834 912 583 583 1449 583 2065 5005 1864 1716 1067 2042 2075 6860 6854 3281 3297 2828 2425 2110 1072 583 3111 1260 1015 148 	3 2016 3557 3777 864 5273 636 2046 1310 81 37 35 991 793 1640 1686 2189 1889 4639 4703 1536 978 1462 1528 1311 864 248 	36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 	44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 
ENST00000400000 ENST00000340541 ENST00000584796 ENST00000583879 ENST00000583475 ENST00000577539 	ENST00000563131 	804 879 521 503 472 2933 	560 	804 879 521 503 472 2933 	560 	31 31 31 31 31 31 	53 
ENST00000561857 ENST00000360121 	ENST00000592189 	600 5405 	426 	621 5426 	440 	32 32 	39 
ENST00000419932 	ENST00000378482 	365 	130 	365 	134 	52 	31 
