ENST00000569239 	ENST00000550466 ENST00000553258 ENST00000442514 ENST00000553262 ENST00000398726 ENST00000548061 	1496 	93 370 370 93 316 370 	1496 	93 370 370 93 316 370 	52 	53 53 53 53 53 53 
ENST00000371199 ENST00000355640 	ENST00000392237 ENST00000358299 ENST00000554677 ENST00000423772 ENST00000469840 ENST00000527424 ENST00000240159 ENST00000534961 ENST00000319073 ENST00000525065 ENST00000274629 ENST00000486834 ENST00000607597 ENST00000411678 	5807 5814 	3040 3256 575 367 273 1750 1840 1982 1678 348 1931 1205 45 2201 	5807 5814 	3040 3256 575 367 273 1750 1840 1982 1678 348 1931 1205 45 2201 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000411432 	ENST00000309955 	1907 	3711 	1907 	3711 	52 	53 
ENST00000377087 ENST00000514179 ENST00000326597 ENST00000503518 ENST00000420043 ENST00000319545 ENST00000040663 ENST00000491724 ENST00000579913 	ENST00000398004 ENST00000506472 ENST00000447755 	1662 1987 22 1446 746 1359 1483 1642 3188 	2684 980 608 	1662 1987 22 1446 746 1359 1483 1642 3188 	2698 994 622 	36 36 36 36 36 36 36 36 36 	39 39 39 
ENST00000340717 	ENST00000473347 	1408 	1892 	1408 	1901 	53 	40 
ENST00000450479 	ENST00000445820 ENST00000428199 	133 	178 178 	133 	178 178 	53 	53 53 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000476192 ENST00000489060 ENST00000497426 	3253 763 751 	5110 2093 5110 	3253 763 751 	5110 2093 5110 	53 53 53 	53 53 53 
ENST00000474171 ENST00000425147 ENST00000459725 ENST00000424500 	ENST00000495623 	414 446 447 447 	502 	414 446 447 447 	502 	52 52 52 52 	53 
ENST00000355520 ENST00000261200 	ENST00000309733 ENST00000282074 	7007 6602 	6309 1196 	7007 6602 	6309 1196 	51 51 	53 53 
ENST00000373191 	ENST00000399012 ENST00000381657 ENST00000381663 ENST00000552965 	4089 	4766 4983 1342 229 	4089 	4769 4986 1345 232 	53 	38 38 38 38 
ENST00000305626 ENST00000477789 ENST00000596409 ENST00000422989 ENST00000599548 ENST00000377031 ENST00000486911 ENST00000474629 ENST00000460683 ENST00000505907 ENST00000575801 ENST00000336868 ENST00000532572 ENST00000556696 ENST00000520762 	ENST00000380821 ENST00000530911 ENST00000542707 ENST00000577193 ENST00000398579 ENST00000465550 ENST00000319637 ENST00000519128 ENST00000256649 ENST00000369464 ENST00000575448 ENST00000584038 ENST00000573779 ENST00000483240 	1948 543 1855 6221 535 943 353 6600 7122 3256 1951 2306 3862 346 164 	2112 497 4121 4693 4714 290 1396 1609 2793 2773 4121 4693 4714 230 	1950 545 1857 6223 537 945 355 6602 7124 3258 1953 2308 3864 348 166 	2112 497 4121 4693 4714 290 1396 1609 2793 2773 4121 4693 4714 230 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000424573 ENST00000446011 	ENST00000477403 	64 64 	194 	67 67 	194 	50 50 	52 
ENST00000372037 ENST00000464848 ENST00000411857 	ENST00000452375 ENST00000449784 ENST00000450501 ENST00000357490 ENST00000432387 ENST00000526038 ENST00000373014 	4290 2704 4756 	385 388 286 314 289 1345 1818 	4290 2704 4756 	385 388 286 314 289 1345 1818 	52 52 52 	53 53 53 53 53 53 53 
ENST00000338483 ENST00000407965 ENST00000538320 ENST00000426621 ENST00000538999 ENST00000370271 	ENST00000433351 ENST00000264441 	2179 2020 2155 1913 2062 2600 	3192 2894 	2179 2020 2155 1913 2062 2600 	3207 2909 	32 32 32 32 32 32 	31 31 
ENST00000257904 	ENST00000562474 ENST00000528973 ENST00000389243 ENST00000590121 ENST00000219837 ENST00000367590 	1670 	331 4282 3941 627 4055 5188 	1670 	331 5828 3941 627 4055 5188 	52 	53 53 53 53 53 53 
ENST00000524536 	ENST00000538183 	113 	9201 	113 	9201 	51 	52 
ENST00000267205 ENST00000296292 	ENST00000524543 ENST00000528080 ENST00000513761 	2376 4520 	1686 1823 4971 	2386 4530 	1698 1835 4983 	43 43 	41 41 41 
ENST00000570603 ENST00000573025 ENST00000572434 ENST00000574244 ENST00000575083 ENST00000574076 ENST00000532567 ENST00000527791 ENST00000527853 ENST00000524864 ENST00000528547 	ENST00000476147 ENST00000540179 ENST00000469891 ENST00000327878 	69 417 83 658 405 11 69 417 658 405 11 	68 68 73 68 	69 417 83 658 405 11 69 417 658 405 11 	68 68 73 68 	53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 
ENST00000524124 ENST00000357668 	ENST00000373484 	4820 5387 	3025 	4830 5397 	3025 	33 33 	53 
ENST00000607242 ENST00000393073 	ENST00000409683 	350 193 	391 	350 193 	391 	53 53 	53 
ENST00000391761 ENST00000356532 ENST00000359649 ENST00000358375 ENST00000351806 ENST00000284648 ENST00000608401 ENST00000609563 ENST00000609479 ENST00000609236 ENST00000609892 ENST00000608460 ENST00000609419 ENST00000607958 ENST00000608356 ENST00000608976 ENST00000608702 ENST00000609460 ENST00000608225 ENST00000608387 ENST00000608914 ENST00000608046 ENST00000608808 ENST00000609255 ENST00000609533 ENST00000608865 ENST00000609186 ENST00000609851 ENST00000608899 ENST00000609294 ENST00000608863 ENST00000609730 ENST00000608411 ENST00000609283 ENST00000609408 ENST00000608668 ENST00000608076 ENST00000610147 ENST00000607900 ENST00000608755 ENST00000609339 ENST00000609804 ENST00000608530 ENST00000609355 ENST00000608212 ENST00000610053 ENST00000609888 ENST00000608234 ENST00000573655 ENST00000576430 ENST00000572943 ENST00000571840 ENST00000570944 ENST00000571211 	ENST00000603266 	138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 138 183 206 217 203 369 	159 	139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 139 184 207 218 204 370 	159 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000538264 	ENST00000577843 ENST00000578332 ENST00000583315 	843 	891 891 891 	843 	891 891 891 	51 	53 53 53 
ENST00000324048 	ENST00000403657 ENST00000588771 	351 	1485 222 	351 	1485 222 	33 	36 36 
ENST00000587223 ENST00000480262 	ENST00000308095 ENST00000482457 	45 21 	145 145 	45 21 	153 153 	53 53 	31 31 
ENST00000506487 	ENST00000463753 	570 	2827 	570 	2827 	38 	53 
ENST00000559573 ENST00000517348 ENST00000409845 	ENST00000551641 	11 26 8 	101 	11 26 8 	101 	53 53 53 	53 
ENST00000473559 ENST00000462714 	ENST00000483793 ENST00000558583 ENST00000489060 ENST00000408926 	1746 1375 	3509 5465 1353 3013 	1748 1377 	3509 5465 1353 3013 	50 50 	53 53 53 53 
ENST00000265810 	ENST00000397779 	2521 	200 	2529 	209 	32 	41 
ENST00000424911 ENST00000420084 ENST00000419005 ENST00000430856 ENST00000427251 ENST00000446873 ENST00000415450 	ENST00000453518 ENST00000429656 ENST00000445820 ENST00000428199 ENST00000450479 	52 52 52 52 52 52 52 	149 149 149 149 149 	52 52 52 52 52 52 52 	149 149 149 149 149 	41 41 41 41 41 41 41 	53 53 53 53 53 
ENST00000484246 ENST00000480362 	ENST00000413731 ENST00000578315 ENST00000457924 	636 569 	539 95 542 	636 569 	539 95 542 	51 51 	53 53 53 
ENST00000368813 ENST00000484707 ENST00000249344 	ENST00000582797 ENST00000367157 ENST00000461188 ENST00000293648 ENST00000448622 ENST00000382093 ENST00000366974 ENST00000366973 ENST00000525574 ENST00000527693 ENST00000311015 ENST00000380870 ENST00000538010 ENST00000371177 ENST00000577369 ENST00000576788 ENST00000442720 ENST00000412997 ENST00000460637 ENST00000592205 ENST00000469257 ENST00000526405 ENST00000599646 ENST00000307564 ENST00000374079 ENST00000493450 ENST00000553458 	753 198 3735 	861 2705 935 3363 3568 115 1436 1377 1253 775 1891 589 804 2300 861 25 1481 2374 775 926 1608 3201 1943 5897 2570 952 3397 	771 216 3753 	883 2727 957 3385 3590 137 1458 1399 1275 797 1913 611 826 2322 883 47 1503 2396 797 948 1630 3223 1965 5919 2592 974 3419 	35 35 35 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000372989 ENST00000491602 ENST00000455616 ENST00000454200 ENST00000276141 	ENST00000452711 	3768 1962 3783 3629 3623 	556 	3768 1962 3783 3629 3623 	571 	53 53 53 53 53 	32 
ENST00000369127 	ENST00000379562 ENST00000444614 ENST00000461350 ENST00000526038 ENST00000373014 ENST00000411857 	753 	5265 1501 1093 1136 1605 4618 	772 	5265 1501 1093 1136 1605 4618 	34 	52 52 52 52 52 52 
ENST00000368311 	ENST00000473202 	1100 	4666 	1118 	4666 	34 	53 
ENST00000366362 	ENST00000567776 	560 	3289 	560 	3306 	44 	31 
ENST00000257181 ENST00000491289 ENST00000446628 	ENST00000463879 ENST00000476808 	3523 4112 1847 	2870 1924 	3523 4112 1847 	2877 1931 	52 52 52 	34 34 
ENST00000579761 	ENST00000318348 	1303 	1391 	1315 	1391 	34 	53 
ENST00000511024 	ENST00000318110 ENST00000592502 	1417 	1721 1964 	1417 	1733 1976 	31 	41 41 
ENST00000439578 ENST00000502286 ENST00000504242 ENST00000372037 ENST00000469562 ENST00000338315 ENST00000422163 ENST00000399017 ENST00000328914 ENST00000379562 ENST00000221996 ENST00000493690 ENST00000471841 ENST00000429989 ENST00000358677 ENST00000589420 ENST00000574039 ENST00000566991 ENST00000431002 ENST00000380698 ENST00000473000 ENST00000357613 ENST00000568559 ENST00000287908 ENST00000394622 ENST00000535581 ENST00000366522 ENST00000408893 ENST00000360835 ENST00000588578 ENST00000445217 ENST00000490395 ENST00000399277 ENST00000399280 ENST00000497434 ENST00000497719 ENST00000519466 ENST00000392690 ENST00000411939 ENST00000375234 ENST00000446045 ENST00000526038 ENST00000342063 ENST00000554241 ENST00000413817 ENST00000448803 ENST00000358472 ENST00000373014 ENST00000570867 ENST00000530275 ENST00000392869 ENST00000295030 ENST00000366232 ENST00000443948 ENST00000450281 ENST00000411857 	ENST00000513632 	113 168 148 4234 1651 1872 412 359 7960 5347 1630 55 4798 6556 5663 648 412 497 927 1761 3498 3629 3209 3882 3658 3137 5020 1906 5859 2261 1378 678 936 797 527 587 290 3044 1331 1680 1540 1218 2296 626 3097 3274 2692 1687 503 4947 6979 3189 68 697 404 4700 	273 	113 168 148 4234 1651 1872 412 359 7960 5347 1630 55 4798 6556 5663 648 412 497 927 1761 3498 3629 3209 3882 3658 3137 5020 1906 5859 2261 1378 678 936 797 527 587 290 3044 1331 1680 1540 1218 2296 626 3097 3274 2692 1687 503 4947 6979 3189 68 697 404 4700 	273 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	52 
ENST00000394718 ENST00000592072 	ENST00000296795 ENST00000462616 ENST00000392845 ENST00000435830 	3141 981 	3993 2760 4020 3371 	3141 981 	3993 2760 4020 3371 	53 53 	53 53 53 53 
ENST00000524877 	ENST00000552858 	3787 	154 	3787 	158 	53 	39 
ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000312675 ENST00000543006 ENST00000483793 ENST00000476192 ENST00000355520 ENST00000473559 ENST00000462714 ENST00000223073 ENST00000282074 ENST00000261200 ENST00000497426 ENST00000474698 ENST00000478687 ENST00000463222 ENST00000564458 ENST00000564795 	ENST00000558583 	6573 4046 6378 359 5142 13132 13075 3578 4439 7226 1889 1518 15420 1265 6821 4439 4438 534 341 1070 1070 	5633 	6574 4047 6379 360 5143 13133 13076 3579 4440 7227 1890 1519 15421 1266 6822 4440 4439 535 342 1071 1071 	5633 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 	53 
ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000312675 ENST00000543006 ENST00000483793 ENST00000476192 ENST00000355520 ENST00000473559 ENST00000462714 ENST00000223073 ENST00000282074 ENST00000261200 ENST00000497426 ENST00000474698 ENST00000478687 ENST00000463222 ENST00000564458 ENST00000564795 	ENST00000558583 	6573 4046 6378 359 5142 13132 13075 3578 4439 7226 1889 1518 15420 1265 6821 4439 4438 534 341 1070 1070 	5633 	6574 4047 6379 360 5143 13133 13076 3579 4440 7227 1890 1519 15421 1266 6822 4440 4439 535 342 1071 1071 	5633 	45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 	53 
ENST00000541932 	ENST00000413565 ENST00000482662 	2786 	98 110 	2794 	98 110 	45 	53 53 
ENST00000282701 	ENST00000567037 	4621 	1327 	4621 	1327 	53 	53 
ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000355520 ENST00000473559 ENST00000462714 ENST00000223073 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000394511 ENST00000558583 	6560 4033 6365 346 5129 3565 7213 1876 1505 15407 1376 1252 6808 1057 1057 	32 5591 	6560 4033 6365 346 5129 3565 7213 1876 1505 15407 1376 1252 6808 1057 1057 	32 5591 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 
ENST00000595646 ENST00000243639 ENST00000396409 ENST00000390651 	ENST00000395148 	3235 3383 3383 3265 	3540 	3235 3383 3383 3265 	3540 	42 42 42 42 	52 
ENST00000469412 ENST00000378551 ENST00000559199 ENST00000300107 ENST00000490103 ENST00000310226 ENST00000476784 ENST00000496524 ENST00000461707 ENST00000288699 ENST00000484882 ENST00000409177 ENST00000371754 ENST00000560386 ENST00000328827 ENST00000418100 ENST00000222693 ENST00000481276 ENST00000409785 ENST00000578826 ENST00000323571 ENST00000278947 ENST00000473219 ENST00000377834 ENST00000489501 ENST00000373510 ENST00000592399 ENST00000587380 ENST00000586240 ENST00000480945 ENST00000369580 ENST00000513146 ENST00000361071 ENST00000453619 ENST00000356115 ENST00000430511 ENST00000528353 ENST00000609863 ENST00000366319 	ENST00000339486 ENST00000581302 ENST00000581220 ENST00000261826 ENST00000328963 	2058 3491 61 2577 2995 1788 88 1569 1553 3456 3923 1959 4886 3153 3524 2008 2172 1925 6223 650 6264 2036 325 1632 6785 6579 324 101 2317 6582 3080 527 1819 1775 1820 1775 2225 1816 1003 	3131 2754 1480 2709 2709 	2058 3491 61 2577 2995 1788 88 1569 1553 3456 3923 1959 4886 3153 3524 2008 2172 1925 6223 650 6264 2036 325 1632 6785 6579 324 101 2317 6582 3080 527 1819 1775 1820 1775 2225 1816 1003 	3145 2768 1494 2723 2723 	38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 	34 34 34 34 34 
ENST00000335056 ENST00000482404 ENST00000574002 	ENST00000310613 	1797 2807 -7 	2623 	1815 2825 11 	2629 	35 35 35 	46 
ENST00000362079 	ENST00000361227 	711 	-13 	711 	0 	53 	39 
ENST00000369016 ENST00000567020 ENST00000564879 ENST00000366394 ENST00000289488 ENST00000423494 ENST00000324866 ENST00000368489 ENST00000529150 ENST00000429719 ENST00000482061 ENST00000340171 ENST00000534941 ENST00000587483 	ENST00000281950 	566 4491 3238 68 1371 1069 1441 4719 5 880 1455 1413 1455 1416 	2092 	566 4491 3238 68 1371 1069 1441 4719 5 880 1455 1413 1455 1416 	2092 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000518587 ENST00000449818 ENST00000412758 	ENST00000502784 	460 396 364 	391 	460 396 364 	391 	52 52 52 	53 
ENST00000603256 ENST00000602002 	ENST00000529101 	1664 1757 	1854 	1664 1757 	1854 	46 46 	52 
ENST00000407120 	ENST00000366711 ENST00000484749 	650 	5629 7627 	650 	5629 7627 	36 	53 53 
ENST00000408926 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000582452 ENST00000312675 ENST00000543006 ENST00000483793 ENST00000282074 	2938 6677 926 926 	369 13142 13085 3588 1275 	2951 6690 939 939 	369 13142 13085 3588 1275 	32 32 32 32 	53 53 53 53 53 
ENST00000602976 	ENST00000566650 ENST00000563051 	2719 	1380 946 	2728 	1380 946 	44 	53 53 
ENST00000530864 	ENST00000334241 	45 	4389 	61 	4389 	34 	41 
ENST00000361479 ENST00000431620 ENST00000339007 ENST00000595840 ENST00000552696 ENST00000469208 ENST00000561770 ENST00000476500 ENST00000474967 ENST00000591964 ENST00000589452 ENST00000486765 ENST00000361605 ENST00000474140 ENST00000501499 ENST00000477563 ENST00000425427 ENST00000462812 ENST00000461232 ENST00000476409 ENST00000464655 	ENST00000479068 	3000 114 2083 1597 61 220 95 4035 433 386 433 2009 1158 2991 651 368 2747 426 516 1137 669 	363 	3009 123 2092 1606 70 229 104 4044 442 395 442 2018 1167 3000 660 377 2756 435 525 1146 678 	363 	44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 	44 
ENST00000470980 	ENST00000515576 	747 	825 	748 	825 	52 	53 
ENST00000392869 	ENST00000592726 	6998 	259 	6998 	259 	52 	53 
ENST00000410061 	ENST00000535957 	2605 	2705 	2605 	2705 	52 	53 
ENST00000601440 ENST00000414498 ENST00000576839 ENST00000445221 ENST00000449800 ENST00000580094 	ENST00000414706 	5090 1572 5090 3938 3938 3938 	5547 	5090 1572 5090 3938 3938 3938 	5549 	53 53 53 53 53 53 	34 
ENST00000549369 ENST00000550977 	ENST00000481617 	268 1257 	3516 	288 1277 	3516 	32 32 	53 
ENST00000254853 ENST00000573674 ENST00000575919 ENST00000424747 ENST00000296161 	ENST00000373580 ENST00000288815 ENST00000464935 ENST00000461188 ENST00000354200 ENST00000494633 ENST00000477693 ENST00000487536 ENST00000334256 ENST00000295974 ENST00000543538 ENST00000537566 ENST00000369729 ENST00000369727 ENST00000298281 ENST00000602840 ENST00000532835 ENST00000551538 ENST00000322153 ENST00000488520 ENST00000535479 ENST00000261407 ENST00000263726 ENST00000584537 ENST00000603549 ENST00000593628 ENST00000366207 	129 127 125 135 3270 	3884 3416 353 3721 2992 3149 794 404 7847 7604 5625 415 1060 995 7460 2037 514 896 1250 25 2522 1888 6312 404 896 1916 116 	148 146 144 154 3289 	3905 3437 374 3742 3013 3170 815 425 7868 7625 5646 436 1081 1016 7481 2058 535 917 1271 46 2543 1909 6333 425 917 1937 137 	33 33 33 33 33 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000309733 ENST00000478538 ENST00000483793 ENST00000489060 	ENST00000312675 ENST00000543006 ENST00000476192 ENST00000558583 ENST00000497426 ENST00000474698 	6561 18 3761 1605 	13382 13325 4689 5784 4689 4688 	6561 18 3761 1605 	13382 13325 4689 5784 4689 4688 	53 53 53 53 	52 52 52 52 52 52 
ENST00000536991 ENST00000526038 ENST00000554241 ENST00000425673 ENST00000373014 	ENST00000398738 ENST00000543600 ENST00000461350 	254 1211 619 6213 1680 	1799 1790 1215 	254 1211 619 6213 1680 	1799 1790 1215 	53 53 53 53 53 	53 53 53 
ENST00000414130 	ENST00000430198 	153 	204 	153 	204 	53 	53 
ENST00000411432 	ENST00000558924 	3992 	1506 	3992 	1521 	51 	37 
ENST00000392857 	ENST00000538183 ENST00000309733 ENST00000489060 ENST00000427890 	4908 	8579 8009 3053 212 	4908 	8585 8015 3059 218 	53 	47 47 47 47 
ENST00000558583 	ENST00000309733 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 	6096 	7031 5092 5092 3282 5091 	6096 	7036 5097 5097 3287 5096 	52 	48 48 48 48 48 
ENST00000296795 	ENST00000479496 ENST00000596237 	3916 	1615 429 	3916 	1631 445 	37 	36 36 
ENST00000603274 ENST00000417944 ENST00000451967 ENST00000450479 ENST00000580020 	ENST00000445820 ENST00000428199 	117 117 117 117 117 	170 170 	129 129 129 129 129 	170 170 	41 41 41 41 41 	53 53 
ENST00000518201 	ENST00000515248 ENST00000437882 	0 	368 42 	0 	368 42 	52 	53 53 
ENST00000403195 	ENST00000400448 	788 	823 	788 	823 	53 	53 
ENST00000501580 	ENST00000559385 ENST00000443590 	121 	145 146 	121 	145 146 	53 	52 52 
ENST00000334049 	ENST00000527676 	4693 	340 	4705 	340 	41 	47 
ENST00000398107 ENST00000425369 ENST00000541730 ENST00000301981 ENST00000422163 ENST00000318636 ENST00000359193 ENST00000526829 ENST00000399017 ENST00000499676 ENST00000479496 ENST00000328914 ENST00000602163 ENST00000374395 ENST00000471841 ENST00000429989 ENST00000358677 ENST00000321545 ENST00000309424 ENST00000307602 ENST00000574039 ENST00000371065 ENST00000354333 ENST00000380698 ENST00000319540 ENST00000473000 ENST00000475182 ENST00000366522 ENST00000361740 ENST00000396303 ENST00000408893 ENST00000477859 ENST00000360835 ENST00000461251 ENST00000578895 ENST00000370272 ENST00000490395 ENST00000399277 ENST00000399280 ENST00000497434 ENST00000497719 ENST00000485344 ENST00000392690 ENST00000590534 ENST00000509563 ENST00000448803 ENST00000358472 ENST00000313552 ENST00000013222 ENST00000366429 ENST00000451634 ENST00000295030 ENST00000609217 ENST00000596751 ENST00000550882 ENST00000358446 	ENST00000474142 ENST00000564663 ENST00000563294 ENST00000366932 ENST00000443537 	3252 3104 1851 2363 383 4357 1622 420 330 5311 1498 7931 1082 4227 4769 6527 5634 2456 2472 5588 383 4043 681 1732 1877 3469 1374 4991 2284 2268 1877 4715 5830 2078 744 5564 649 907 768 498 558 1389 3015 293 388 3245 2663 2573 1425 1076 967 3160 681 555 39 355 	3 406 299 1651 629 	3263 3115 1862 2374 394 4368 1633 431 341 5322 1509 7942 1093 4238 4780 6538 5645 2467 2483 5599 394 4054 692 1743 1888 3480 1385 5002 2295 2279 1888 4726 5841 2089 755 5575 660 918 779 509 569 1400 3026 304 399 3256 2674 2584 1436 1087 978 3171 692 566 50 366 	3 406 299 1651 629 	42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 	53 53 53 53 53 
ENST00000305817 	ENST00000381477 ENST00000265044 ENST00000437104 ENST00000585283 ENST00000566466 ENST00000484317 ENST00000470481 ENST00000558567 ENST00000567631 ENST00000497070 ENST00000596496 ENST00000594780 ENST00000607669 ENST00000596381 	3503 	1323 3489 248 230 458 83 190 531 93 2028 111 797 83 397 	3514 	1323 3489 248 230 458 83 190 531 93 2028 111 797 83 397 	35 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000497991 	ENST00000466771 	113 	984 	129 	1003 	35 	33 
ENST00000468645 ENST00000496755 ENST00000375552 ENST00000473761 ENST00000338347 ENST00000440491 ENST00000369339 ENST00000369338 ENST00000581201 ENST00000584027 	ENST00000442909 ENST00000579935 ENST00000491285 	1798 1642 1722 1265 1501 1722 1940 1871 2576 3082 	4296 2618 2871 	1798 1642 1722 1265 1501 1722 1940 1871 2576 3082 	6492 2618 2871 	52 52 52 52 52 52 52 52 52 52 	53 53 53 
ENST00000344529 ENST00000367728 ENST00000478184 ENST00000258324 	ENST00000527583 	172 1355 343 225 	26 	172 1355 343 225 	26 	33 33 33 33 	53 
ENST00000300035 ENST00000396667 ENST00000436580 	ENST00000257189 ENST00000307792 ENST00000560440 ENST00000526185 ENST00000550266 	1339 11399 2827 	3720 6408 2689 1655 162 	1340 11400 2828 	3720 6408 2689 1655 162 	50 50 50 	52 52 52 52 52 
ENST00000264065 	ENST00000489060 	8676 	3224 	8679 	3224 	35 	53 
