ENST00000256861 ENST00000568223 ENST00000422968 ENST00000394670 	ENST00000321844 	5890 3235 1453 3961 	4638 	5901 3246 1464 3972 	4638 	32 32 32 32 	53 
ENST00000502824 ENST00000592225 	ENST00000529903 ENST00000296795 ENST00000316738 ENST00000555872 ENST00000475687 ENST00000609129 ENST00000392845 ENST00000435830 ENST00000372824 ENST00000348993 	1063 95 	1061 3998 2260 2359 956 5133 4025 3376 123 3202 	1063 95 	1061 3998 2260 2359 956 5133 4025 3376 123 3202 	53 53 	52 52 52 52 52 52 52 52 52 52 
ENST00000392857 	ENST00000538183 ENST00000309733 ENST00000489060 	4891 	8590 8020 3064 	4912 	8600 8030 3074 	32 	43 43 43 
ENST00000310613 	ENST00000517561 	4712 	404 	4712 	410 	51 	46 
ENST00000225573 ENST00000512701 ENST00000222402 ENST00000395025 	ENST00000522308 	1707 6405 2175 112 	1730 	1707 6405 2175 112 	1730 	53 53 53 53 	34 
ENST00000355568 ENST00000544076 	ENST00000599809 ENST00000595520 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	2593 1324 	21 21 27 27 27 114 1389 117 114 21 27 60 114 21 21 21 21 21 	2593 1324 	21 21 27 27 27 114 1389 117 114 21 27 60 114 21 21 21 21 21 	53 53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000452959 ENST00000479426 ENST00000595182 ENST00000477385 ENST00000393167 ENST00000409842 ENST00000450954 ENST00000452831 ENST00000409875 ENST00000409121 ENST00000478880 ENST00000494909 ENST00000486403 ENST00000488695 ENST00000494816 ENST00000503629 ENST00000314138 ENST00000302787 ENST00000475199 ENST00000354193 ENST00000466693 ENST00000473343 ENST00000513135 ENST00000478077 ENST00000561733 ENST00000377346 ENST00000536656 ENST00000567298 ENST00000446344 ENST00000374723 ENST00000470972 ENST00000374720 ENST00000478205 ENST00000354869 ENST00000425098 ENST00000395593 ENST00000395598 ENST00000395591 ENST00000395595 ENST00000465063 ENST00000436958 ENST00000396825 ENST00000273598 ENST00000423832 ENST00000599205 ENST00000596004 ENST00000599617 ENST00000595999 ENST00000594429 ENST00000594223 ENST00000597825 ENST00000599992 	ENST00000609129 	3912 1200 357 1200 1666 1470 1556 1499 1773 1723 1267 2398 1980 1200 1200 480 2921 5090 1275 3938 1200 136 2028 1200 497 4346 4431 3267 5627 7770 8563 8641 1200 1629 1359 1832 1660 1478 1919 1992 1564 1852 2045 1516 1629 1359 1832 1660 1478 1919 1992 1564 	8481 	3912 1200 357 1200 1666 1470 1556 1499 1773 1723 1267 2398 1980 1200 1200 480 2921 5090 1275 3938 1200 136 2028 1200 497 4346 4431 3267 5627 7770 8563 8641 1200 1629 1359 1832 1660 1478 1919 1992 1564 1852 2045 1516 1629 1359 1832 1660 1478 1919 1992 1564 	8486 	39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 	38 
ENST00000561643 	ENST00000295958 	1296 	4829 	1313 	4829 	32 	53 
ENST00000395738 ENST00000362068 	ENST00000476609 ENST00000589343 ENST00000477629 	2903 2876 	3340 832 1806 	2903 2876 	3354 846 1820 	38 38 	39 39 39 
ENST00000355568 	ENST00000358230 ENST00000309955 ENST00000569239 	2576 	2800 3646 1253 	2576 	2800 3646 1253 	51 	53 53 53 
ENST00000418553 ENST00000434745 ENST00000455800 	ENST00000502609 ENST00000422015 ENST00000420675 ENST00000443330 ENST00000416803 	2138 2134 2122 	2198 2217 2120 2187 2202 	2141 2137 2125 	2198 2217 2120 2187 2202 	50 50 50 	52 52 52 52 52 
ENST00000532967 ENST00000304081 ENST00000406971 ENST00000359846 ENST00000418427 ENST00000600945 	ENST00000381249 	1786 1613 1549 1770 655 1796 	-2 	1786 1613 1549 1770 655 1796 	0 	53 53 53 53 53 53 	51 
ENST00000355285 	ENST00000460103 ENST00000482296 ENST00000492749 ENST00000482403 ENST00000520987 ENST00000498349 ENST00000466239 ENST00000483183 	3339 	182 182 182 182 2332 182 182 182 	3339 	182 182 182 182 2332 182 182 182 	44 	53 53 53 53 53 53 53 53 
ENST00000571350 ENST00000481822 	ENST00000346141 ENST00000340993 ENST00000394239 ENST00000325752 	1732 1732 	811 1613 1545 1793 	1744 1744 	812 1614 1546 1794 	39 39 	50 50 50 50 
ENST00000332556 ENST00000472564 	ENST00000376957 	2154 4939 	209 	2154 4939 	209 	53 53 	43 
ENST00000379361 	ENST00000543095 ENST00000551414 ENST00000389961 ENST00000439348 ENST00000439727 	9538 	6842 2850 6639 6414 5855 	9545 	6842 2850 6639 6414 5855 	36 	53 53 53 53 53 
ENST00000259253 ENST00000375990 ENST00000498691 ENST00000483846 	ENST00000472525 ENST00000425063 ENST00000394163 ENST00000494357 ENST00000419215 ENST00000424881 	7891 8175 253 2080 	395 3597 3487 4762 3305 3629 	7891 8175 253 2080 	395 3597 3487 4762 3305 3629 	31 31 31 31 	52 52 52 52 52 52 
ENST00000473559 	ENST00000506474 	2072 	186 	2072 	186 	53 	52 
ENST00000524104 	ENST00000294008 ENST00000486524 	1731 	270 257 	1731 	291 278 	33 	32 32 
ENST00000538183 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 	ENST00000309733 	7767 5258 5258 3448 5257 	7258 	7784 5275 5275 3465 5274 	7258 	35 35 35 35 35 	40 
ENST00000566991 ENST00000336257 ENST00000381486 ENST00000396123 ENST00000234142 ENST00000562029 	ENST00000409387 	516 549 7290 4102 7252 147 	1865 	516 549 7290 4102 7252 147 	1865 	42 42 42 42 42 42 	40 
ENST00000429412 ENST00000546113 ENST00000392857 	ENST00000538183 	2055 2055 4695 	8360 	2055 2055 4695 	8372 	53 53 53 	41 
ENST00000489060 ENST00000310613 	ENST00000538183 	2756 3962 	8341 	2756 3962 	8344 	53 53 	50 
ENST00000601375 	ENST00000295269 ENST00000430711 ENST00000483793 ENST00000476192 ENST00000558583 ENST00000223073 ENST00000489060 ENST00000408926 ENST00000497426 ENST00000310613 ENST00000474698 	504 	3948 1959 3480 4341 5436 15331 1324 2984 4341 2532 4340 	509 	3968 1979 3500 4361 5456 15351 1344 3004 4361 2552 4360 	34 	31 31 31 31 31 31 31 31 31 31 31 
ENST00000602258 	ENST00000520704 	726 	1403 	726 	1403 	40 	35 
ENST00000557060 	ENST00000479145 	3086 	304 	3086 	304 	53 	47 
ENST00000538183 ENST00000309733 ENST00000478538 ENST00000476192 ENST00000558583 ENST00000518152 ENST00000497426 ENST00000474698 	ENST00000394511 ENST00000312675 ENST00000543006 ENST00000489060 	7191 6619 76 4680 5775 416 4680 4679 	292 13466 13409 1756 	7191 6619 76 4680 5775 416 4680 4679 	292 13466 13409 1756 	43 43 43 43 43 43 43 43 	52 52 52 52 
ENST00000309733 	ENST00000310613 	7677 	4015 	7677 	4026 	53 	42 
ENST00000478538 ENST00000483793 ENST00000558583 	ENST00000519167 	18 3761 5717 	239 	25 3768 5724 	239 	36 36 36 	53 
ENST00000484811 	ENST00000464336 ENST00000369187 ENST00000442702 ENST00000417839 ENST00000430580 ENST00000392963 ENST00000432949 ENST00000287968 ENST00000604938 ENST00000603515 ENST00000604517 ENST00000604906 ENST00000605317 ENST00000479926 ENST00000604894 ENST00000339388 ENST00000369323 ENST00000401009 ENST00000442909 ENST00000446760 ENST00000309471 ENST00000439206 ENST00000480568 ENST00000474625 ENST00000369226 ENST00000369228 ENST00000481201 ENST00000475597 ENST00000310701 ENST00000444640 ENST00000431121 ENST00000436356 ENST00000448574 ENST00000458135 ENST00000392972 ENST00000426874 ENST00000369219 ENST00000577412 ENST00000581897 ENST00000584793 ENST00000606775 ENST00000579935 ENST00000580077 ENST00000581201 ENST00000369227 ENST00000583271 ENST00000609741 ENST00000491285 	26 	2098 993 1571 694 3018 1672 504 225 2616 2050 677 677 2336 1755 1143 2616 1755 207 2966 2616 1755 219 2050 2616 1755 1478 3 508 314 329 329 329 329 329 329 329 314 1571 993 2098 176 1393 2336 1393 549 1489 314 1637 	38 	2098 993 1571 694 3018 1672 504 225 2616 2050 677 677 2336 1755 1143 2616 1755 207 2966 2616 1755 219 2050 2616 1755 1478 3 508 314 329 329 329 329 329 329 329 314 1571 993 2098 176 1393 2336 1393 549 1489 314 1637 	40 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000358444 	ENST00000566753 ENST00000481617 	1203 	780 2971 	1203 	795 2986 	37 	34 34 
ENST00000476992 	ENST00000423648 	258 	144 	275 	144 	36 	53 
ENST00000571350 ENST00000481822 	ENST00000366847 ENST00000334955 ENST00000541668 	1491 1491 	12099 5250 929 	1512 1512 	12121 5272 951 	32 32 	31 31 31 
ENST00000501580 ENST00000503537 ENST00000599509 	ENST00000434005 ENST00000318052 	96 42 39 	85 85 	96 42 39 	85 85 	53 53 53 	51 51 
ENST00000398357 ENST00000545120 	ENST00000054950 ENST00000533898 ENST00000531345 	517 98 	1853 1916 2158 	517 98 	1853 1916 2158 	37 37 	52 52 52 
ENST00000354232 	ENST00000295269 ENST00000430711 ENST00000483793 ENST00000476192 ENST00000558583 ENST00000489060 ENST00000408926 ENST00000497426 ENST00000474698 	1195 	3977 1988 3509 4370 5465 1353 3013 4370 4369 	1195 	3977 1988 3509 4370 5465 1353 3013 4370 4369 	46 	33 33 33 33 33 33 33 33 33 
ENST00000603274 	ENST00000442281 	121 	209 	129 	209 	45 	53 
ENST00000381661 	ENST00000279873 	1928 	4598 	1928 	4598 	52 	33 
ENST00000571707 ENST00000468389 ENST00000476417 ENST00000338909 ENST00000374434 ENST00000330966 ENST00000585612 ENST00000521647 ENST00000294485 ENST00000302555 ENST00000341642 ENST00000381362 ENST00000381360 ENST00000448876 ENST00000585505 ENST00000401453 	ENST00000558194 ENST00000367630 ENST00000309033 ENST00000576779 ENST00000557879 ENST00000558810 ENST00000372977 ENST00000601440 ENST00000577583 ENST00000366216 ENST00000525427 ENST00000360803 ENST00000378847 ENST00000414498 ENST00000599568 ENST00000533140 ENST00000354301 ENST00000320129 ENST00000576839 ENST00000445221 ENST00000449800 ENST00000393644 ENST00000580094 	1357 1200 6752 2172 5285 5294 2389 2706 3441 2034 1520 1970 1830 737 3127 2475 	4575 4233 5734 2410 274 568 2451 5090 4427 854 1304 3107 5638 1572 80 2470 2417 2256 5090 3938 3938 835 3938 	1357 1200 6752 2172 5285 5294 2389 2706 3441 2034 1520 1970 1830 737 3127 2475 	4585 4243 5744 2420 284 578 2461 5100 4437 864 1314 3117 5648 1582 90 2480 2427 2266 5100 3948 3948 845 3948 	40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 	42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 
ENST00000231706 ENST00000548032 	ENST00000465806 ENST00000356463 ENST00000397278 ENST00000319136 ENST00000422706 ENST00000426053 ENST00000498273 ENST00000586409 ENST00000440421 ENST00000513146 ENST00000352690 ENST00000283285 ENST00000599759 ENST00000598033 	8475 503 	197 148 2073 2159 2051 1958 3261 3502 223 562 3801 3740 197 148 	8475 503 	197 148 2073 2159 2051 1958 3261 3502 223 562 3801 3740 197 148 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000476192 ENST00000497426 	ENST00000436063 ENST00000550534 ENST00000550321 	4837 4837 	4023 601 597 	4837 4837 	4029 607 603 	51 51 	47 47 47 
ENST00000508662 	ENST00000592904 	1491 	1056 	1491 	1057 	35 	36 
ENST00000399287 	ENST00000560085 	525 	747 	525 	762 	31 	33 
ENST00000394511 	ENST00000558583 ENST00000489060 	319 	5994 1885 	319 	5994 1885 	53 	39 39 
ENST00000430198 ENST00000415560 ENST00000374117 	ENST00000395004 	226 226 226 	449 	226 226 226 	449 	51 51 51 	53 
ENST00000263805 ENST00000565380 ENST00000565500 ENST00000565611 	ENST00000327381 	7359 4874 3932 4897 	10547 	7359 4874 3932 4897 	10547 	32 32 32 32 	33 
ENST00000394511 ENST00000312675 ENST00000543006 ENST00000489060 	ENST00000309733 ENST00000558583 	292 13466 13409 1756 	6883 6036 	298 13472 13415 1762 	6887 6040 	39 39 39 39 	32 32 
ENST00000379562 ENST00000526038 ENST00000373014 	ENST00000372037 ENST00000444614 ENST00000536991 ENST00000209875 ENST00000458235 	5290 1161 1630 	4304 1653 331 6996 4459 	5290 1161 1630 	4304 1653 331 6996 4459 	53 53 53 	53 53 53 53 53 
ENST00000454671 	ENST00000527583 	322 	159 	326 	159 	49 	53 
ENST00000555260 ENST00000553901 	ENST00000603611 ENST00000603588 	578 3244 	110 110 	578 3244 	110 110 	52 52 	53 53 
ENST00000247087 	ENST00000599578 	6081 	199 	6085 	199 	33 	52 
ENST00000371752 ENST00000396105 ENST00000490638 	ENST00000427390 ENST00000560659 ENST00000316397 ENST00000558241 ENST00000559199 ENST00000597037 ENST00000531486 ENST00000377205 ENST00000462686 ENST00000415298 ENST00000334271 ENST00000273582 ENST00000564897 ENST00000568624 ENST00000571828 	6011 6173 644 	2656 2145 2386 2968 202 620 1511 1820 1686 2214 1901 5519 2802 2868 2799 	6023 6185 656 	2656 2145 2386 2968 202 620 1511 1820 1686 2214 1901 5519 2802 2868 2799 	40 40 40 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000609129 	ENST00000317968 ENST00000514743 ENST00000380176 ENST00000437932 	11893 	2439 2434 2196 2127 	11906 	2447 2442 2204 2135 	31 	45 45 45 45 
ENST00000481916 ENST00000580938 ENST00000295240 ENST00000392663 ENST00000472667 	ENST00000333139 ENST00000446232 ENST00000476192 ENST00000539061 ENST00000497426 	2003 2003 3208 2840 2603 	1185 1053 7023 2455 7023 	2003 2003 3208 2840 2603 	1185 1053 7023 2455 7023 	52 52 52 52 52 	52 52 52 52 52 
ENST00000572638 ENST00000579094 	ENST00000570478 	848 364 	492 	848 364 	492 	36 36 	52 
ENST00000429656 ENST00000417944 ENST00000451967 ENST00000580020 	ENST00000428199 	433 433 433 433 	467 	451 451 451 451 	467 	34 34 34 34 	53 
ENST00000392857 	ENST00000489060 	4500 	2651 	4502 	2651 	49 	53 
ENST00000369135 	ENST00000427698 	6810 	68 	6823 	87 	31 	33 
ENST00000467590 	ENST00000608642 	2348 	5125 	2348 	5128 	33 	31 
ENST00000335251 	ENST00000476570 	5815 	2916 	5822 	2920 	46 	32 
ENST00000343958 	ENST00000597852 ENST00000412157 ENST00000485069 ENST00000436699 ENST00000379121 	5876 	903 166 2059 681 681 	5876 	903 166 2059 681 681 	39 	51 51 51 51 51 
ENST00000465726 	ENST00000373257 	144 	3151 	144 	3152 	42 	31 
ENST00000538183 ENST00000309733 ENST00000489060 	ENST00000310613 	7252 6680 1724 	2983 	7252 6680 1724 	2983 	53 53 53 	48 
ENST00000489060 	ENST00000309733 ENST00000392857 	3022 	8091 5057 	3022 	8091 5057 	53 	52 52 
ENST00000489060 	ENST00000429412 ENST00000546113 ENST00000538183 	2664 	2098 2098 8340 	2678 	2098 2098 8340 	39 	32 32 32 
ENST00000355520 ENST00000261200 	ENST00000309733 ENST00000558583 	7030 6625 	6268 5424 	7031 6626 	6268 5424 	48 48 	53 53 
ENST00000567990 	ENST00000478816 ENST00000398676 ENST00000373191 	2054 	2452 504 12635 	2068 	2458 510 12641 	31 	31 31 31 
ENST00000472189 ENST00000549891 ENST00000551192 	ENST00000576164 ENST00000571275 	659 867 1253 	5002 3370 	667 875 1261 	5020 3388 	31 31 31 	31 31 
ENST00000309733 ENST00000310613 	ENST00000538183 ENST00000546977 ENST00000548969 	8208 4453 	8875 91 38 	8208 4453 	8880 96 43 	35 35 	31 31 31 
ENST00000309955 	ENST00000599809 ENST00000594734 ENST00000598562 ENST00000569239 ENST00000597084 ENST00000398726 	4001 	324 330 330 1692 330 363 	4001 	324 330 330 1692 330 363 	53 	41 41 41 41 41 41 
ENST00000448648 ENST00000284414 	ENST00000370353 	3507 2276 	3938 	3521 2290 	3938 	38 38 	32 
ENST00000502413 	ENST00000493254 ENST00000529271 ENST00000566753 ENST00000552937 ENST00000549640 ENST00000549785 ENST00000550234 ENST00000547979 	329 	1156 446 1116 118 118 118 118 118 	332 	1156 446 1116 118 118 118 118 118 	41 	36 36 36 36 36 36 36 36 
ENST00000367187 ENST00000424712 ENST00000376088 ENST00000368931 ENST00000295294 ENST00000320393 ENST00000545529 ENST00000299576 ENST00000309377 ENST00000309357 ENST00000396648 ENST00000469275 ENST00000472718 ENST00000594930 	ENST00000529284 ENST00000532489 	7022 6832 7365 1678 1885 1942 2017 975 1055 960 996 610 1023 7365 	240 129 	7022 6832 7365 1678 1885 1942 2017 975 1055 960 996 610 1023 7365 	259 148 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	33 33 
ENST00000507485 ENST00000512690 ENST00000508783 ENST00000512797 ENST00000322686 ENST00000461022 	ENST00000425466 ENST00000487100 ENST00000382175 ENST00000484430 ENST00000398981 ENST00000493479 	247 424 509 395 395 410 	533 535 409 535 543 517 	247 424 509 395 395 410 	533 535 409 535 543 517 	53 53 53 53 53 53 	53 53 53 53 53 53 
ENST00000370799 	ENST00000372037 	1577 	9581 	1579 	9581 	51 	42 
ENST00000391496 ENST00000408951 	ENST00000436257 	20 20 	48 	20 20 	48 	53 53 	53 
ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000553023 ENST00000476192 ENST00000504880 ENST00000497426 ENST00000581050 	ENST00000430083 ENST00000396275 ENST00000225724 	961 975 961 975 9 6074 902 6074 1005 	362 89 1687 	961 975 961 975 9 6074 902 6074 1005 	362 89 1687 	53 53 53 53 53 53 53 53 53 	49 49 49 
ENST00000273038 	ENST00000371602 ENST00000349014 ENST00000396029 	2913 	4857 4834 5105 	2913 	4872 4849 5120 	53 	33 33 33 
ENST00000522802 	ENST00000538183 	330 	10783 	350 	10802 	33 	34 
ENST00000309733 	ENST00000489060 ENST00000392857 	7793 	3370 5295 	7794 	3370 5295 	51 	53 53 
ENST00000358230 ENST00000355568 ENST00000411432 ENST00000544076 	ENST00000553258 ENST00000442514 ENST00000548061 	2779 2595 1937 1326 	16 16 16 	2796 2612 1954 1343 	16 16 16 	35 35 35 35 	51 51 51 
ENST00000411432 ENST00000557832 	ENST00000599809 ENST00000601706 ENST00000553258 ENST00000569239 ENST00000442514 ENST00000551364 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000439516 	2070 87 	91 97 184 1459 184 91 130 184 91 91 	2070 87 	91 97 184 1459 184 91 130 184 91 91 	52 52 	53 53 53 53 53 53 53 53 53 53 
ENST00000311630 	ENST00000463668 	5143 	1333 	5152 	1350 	36 	32 
