ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000281382 	ENST00000432183 ENST00000482449 ENST00000494370 ENST00000437982 	1252 	621 581 127 369 	1252 	621 581 127 369 	52 	52 52 52 52 
ENST00000320934 	ENST00000529622 	4527 	418 	4527 	418 	51 	53 
ENST00000347310 ENST00000371002 ENST00000395227 	ENST00000283882 ENST00000566901 ENST00000565646 ENST00000564286 	2812 2623 1876 	542 518 412 527 	2829 2640 1893 	542 518 412 527 	36 36 36 	52 52 52 52 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	243 241 229 213 	17 	243 241 229 213 	17 	53 53 53 53 	52 
ENST00000592379 	ENST00000475608 	62 	27 	62 	27 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	82 84 	4144 	82 84 	53 	52 52 
ENST00000425015 	ENST00000591724 	2000 	51 	2002 	51 	51 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3480 	797 330 348 214 212 553 353 385 353 330 	3481 	797 330 348 214 212 553 353 385 353 330 	52 	50 50 50 50 50 50 50 50 50 50 
ENST00000463943 	ENST00000335179 ENST00000545072 	400 	82 25 	401 	82 25 	51 	51 51 
ENST00000011619 ENST00000469916 ENST00000539980 	ENST00000451315 	1898 278 1289 	664 	1898 278 1289 	664 	51 51 51 	53 
ENST00000371207 ENST00000543964 ENST00000371203 ENST00000539125 	ENST00000417066 ENST00000451554 ENST00000536771 	10827 10699 10901 10783 	1176 1235 1176 	10827 10699 10901 10783 	1195 1254 1195 	53 53 53 53 	33 33 33 
ENST00000409887 	ENST00000224237 ENST00000487938 ENST00000469543 ENST00000421459 ENST00000495528 ENST00000544301 	2817 	942 942 880 275 535 1210 	2817 	942 942 880 275 535 1210 	53 	53 53 53 53 53 53 
ENST00000526743 	ENST00000534706 	1852 	664 	1852 	664 	53 	51 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	225 	307 238 	225 	53 53 	53 
ENST00000419932 	ENST00000543872 ENST00000300917 	154 	2888 2666 	154 	2888 2666 	36 	53 53 
ENST00000463934 	ENST00000317419 ENST00000353047 ENST00000434271 ENST00000380659 ENST00000571868 ENST00000575251 ENST00000301391 ENST00000463676 ENST00000371199 ENST00000355640 ENST00000229335 ENST00000567642 ENST00000368918 ENST00000368917 ENST00000485835 ENST00000372981 ENST00000510457 ENST00000265872 ENST00000389677 ENST00000217957 ENST00000415430 ENST00000538714 ENST00000521087 ENST00000515349 ENST00000596802 	704 	2059 3306 3290 3902 502 189 144 3876 5962 5969 2010 585 3216 3102 2760 4702 1058 4250 10357 2363 2515 6361 696 1963 2405 	712 	2059 3306 3290 3902 502 189 144 3876 5962 5969 2010 585 3216 3102 2760 4702 1058 4250 10357 2363 2515 6361 696 1963 2405 	45 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000320934 	ENST00000529622 	4537 	387 	4537 	387 	53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1947 2079 2526 	353 	1947 2079 2526 	353 	52 52 52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3746 	97 95 237 	3746 	97 95 237 	53 	53 53 53 
ENST00000361681 	ENST00000361567 ENST00000511037 	366 	1780 1780 	366 	1780 1780 	53 	32 32 
ENST00000380189 ENST00000551757 ENST00000548942 ENST00000548393 	ENST00000578403 ENST00000580346 ENST00000578643 ENST00000552279 	1119 286 387 85 	1285 1006 2581 658 	1140 307 408 106 	1293 1014 2589 666 	32 32 32 32 	45 45 45 45 
ENST00000508814 	ENST00000510019 	304 	255 	304 	255 	50 	52 
ENST00000602666 	ENST00000476149 	2488 	2219 	2496 	2219 	45 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3407 	780 331 164 197 195 336 336 368 336 	3407 	780 331 164 197 195 336 336 368 336 	53 	53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	125 	41 	125 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4163 	44 65 44 	4163 	44 65 44 	43 	53 53 53 
ENST00000514253 	ENST00000511844 	511 	80 	515 	80 	49 	53 
ENST00000300853 ENST00000423698 	ENST00000508798 ENST00000305798 ENST00000505184 ENST00000511753 	2066 1358 	813 936 605 3611 	2066 1358 	813 936 605 3611 	53 53 	52 52 52 52 
ENST00000529150 	ENST00000483998 	20 	996 	20 	996 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3477 	798 331 349 215 213 554 354 386 354 331 	3477 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1952 1547 1955 	8 	1952 1547 1955 	8 	53 53 53 	53 
ENST00000454762 	ENST00000533028 	1071 	2939 	1071 	2939 	53 	52 
ENST00000565813 	ENST00000570037 ENST00000562111 	209 	816 769 	209 	816 769 	52 	53 53 
ENST00000504091 	ENST00000353411 ENST00000522552 ENST00000521216 ENST00000517625 ENST00000523966 ENST00000522855 ENST00000328392 ENST00000519054 ENST00000519321 ENST00000520417 	2477 	326 252 208 301 326 291 238 365 407 446 	2495 	326 252 208 301 326 291 238 365 407 446 	32 	53 53 53 53 53 53 53 53 53 53 
ENST00000367147 ENST00000489709 ENST00000478555 ENST00000374296 ENST00000552429 ENST00000515834 ENST00000458235 	ENST00000307602 	2990 2487 2620 2705 431 2890 4529 	4533 	3001 2498 2631 2716 442 2901 4540 	4533 	31 31 31 31 31 31 31 	52 
ENST00000429412 ENST00000546113 	ENST00000481617 	1585 1585 	3349 	1585 1585 	3363 	53 53 	39 
ENST00000314675 	ENST00000319041 	2087 	613 	2087 	613 	53 	51 
ENST00000592379 	ENST00000582736 	16 	110 	16 	110 	53 	52 
ENST00000588408 	ENST00000543382 	2056 	2275 	2056 	2275 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3090 2991 2745 	326 	3090 2991 2745 	326 	53 53 53 	53 
ENST00000607552 	ENST00000488864 ENST00000469625 ENST00000582670 ENST00000579740 	337 	769 246 769 246 	338 	769 246 769 246 	52 	53 53 53 53 
ENST00000570037 ENST00000562111 	ENST00000569248 ENST00000565813 	802 755 	1714 163 	802 755 	1714 163 	53 53 	51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	486 	107 66 	486 	107 66 	51 	52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1154 1171 	253 	1154 1171 	253 	52 52 	51 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000526267 ENST00000525054 	3696 	1382 1499 281 322 	3696 	1382 1499 281 322 	53 	53 53 53 53 
ENST00000523988 ENST00000521072 ENST00000424445 ENST00000581287 ENST00000378122 ENST00000295030 ENST00000608334 	ENST00000558910 ENST00000467228 ENST00000598601 ENST00000382021 ENST00000303525 ENST00000473371 ENST00000295065 ENST00000549235 ENST00000556292 ENST00000366221 ENST00000489047 ENST00000550746 ENST00000396594 ENST00000539815 ENST00000410026 ENST00000522936 ENST00000517381 ENST00000264968 ENST00000393487 ENST00000547440 ENST00000248248 ENST00000552279 ENST00000470730 ENST00000338352 ENST00000527818 ENST00000301335 ENST00000493559 	1744 3138 3042 255 5208 3200 5208 	652 2351 2075 3030 2934 1328 3460 223 266 754 3107 3684 2782 2618 9564 33 33 3241 3191 1614 3750 616 1986 1267 1614 6632 965 	1744 3138 3042 255 5208 3200 5208 	652 2351 2075 3030 2934 1328 3460 223 266 754 3107 3684 2782 2618 9564 33 33 3241 3191 1614 3750 616 1986 1267 1614 6632 965 	53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1109 1126 	209 160 	1109 1126 	209 160 	53 53 	49 49 
ENST00000526743 	ENST00000527394 	1039 	1537 	1039 	1537 	53 	53 
ENST00000511393 	ENST00000509180 	1223 	444 	1223 	444 	53 	53 
ENST00000434583 	ENST00000459840 	1716 	659 	1716 	659 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1154 1171 	255 	1154 1171 	255 	52 52 	52 
ENST00000483793 ENST00000355520 	ENST00000557060 ENST00000392857 ENST00000295025 ENST00000469718 ENST00000600751 	3609 7257 	2812 5549 8955 488 2651 	3609 7257 	2812 5549 8955 488 2651 	53 53 	53 53 53 53 53 
ENST00000361681 	ENST00000361567 ENST00000511037 	468 	1780 1780 	468 	1780 1780 	52 	32 32 
ENST00000442834 	ENST00000477853 ENST00000480380 ENST00000375199 	223 	4779 3217 4733 	223 	4779 3217 4733 	32 	32 32 32 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	79 22 	381 	79 22 	53 	51 51 
ENST00000327064 ENST00000344150 ENST00000586221 	ENST00000586748 ENST00000253031 	2800 2541 2529 	1504 1458 	2800 2541 2529 	1504 1458 	53 53 53 	46 46 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	121 80 	484 	121 80 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	142 101 	304 235 	142 101 	50 50 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3003 2904 2658 	253 	3004 2905 2659 	253 	52 52 52 	52 
ENST00000592379 	ENST00000582736 	39 	98 	40 	98 	52 	53 
ENST00000528814 	ENST00000397166 ENST00000520272 ENST00000517385 ENST00000529845 ENST00000520176 ENST00000526144 ENST00000528613 	1118 	2521 2196 1780 661 2785 501 100 	1118 	2521 2196 1780 661 2785 501 100 	52 	53 53 53 53 53 53 53 
ENST00000491289 	ENST00000494303 ENST00000461458 ENST00000472300 ENST00000540439 ENST00000482905 ENST00000568122 	3252 	351 354 354 393 354 354 	3265 	351 354 354 393 354 354 	31 	51 51 51 51 51 51 
ENST00000314675 	ENST00000319041 	2111 	573 	2111 	573 	53 	51 
ENST00000321826 	ENST00000590158 	1611 	901 	1611 	901 	53 	53 
ENST00000534515 ENST00000528087 	ENST00000485714 ENST00000332853 	908 828 	2736 5273 	910 830 	2736 5273 	49 49 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	287 218 	115 125 170 129 	287 218 	115 125 170 129 	53 53 	53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	257 	1093 1110 	257 	53 53 	53 
ENST00000514253 	ENST00000510019 	444 	206 	444 	206 	53 	52 
ENST00000469733 	ENST00000472824 ENST00000313146 ENST00000368219 	237 	1838 1963 1682 	237 	1838 1963 1682 	53 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	156 115 	484 	156 115 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	263 	1093 1110 	263 	53 53 	53 
ENST00000592379 	ENST00000582736 	40 	119 	40 	119 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000599364 	4205 	41 41 	4206 	41 41 	51 	53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	210 35 	443 	210 35 	53 	53 53 
ENST00000521405 	ENST00000441564 ENST00000524543 ENST00000528080 ENST00000258111 ENST00000343450 ENST00000366197 ENST00000278193 ENST00000524596 ENST00000392690 ENST00000526038 ENST00000491741 	174 	9459 1715 1852 2633 2051 2560 3943 3867 3119 1293 806 	189 	9459 1715 1852 2633 2051 2560 3943 3867 3119 1293 806 	38 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000309955 ENST00000544076 	ENST00000584196 ENST00000582966 ENST00000476192 ENST00000497426 	3733 1434 	1827 1827 6982 6982 	3733 1434 	1847 1847 7002 7002 	53 53 	33 33 33 33 
ENST00000309955 ENST00000544076 	ENST00000584196 ENST00000582966 ENST00000476192 ENST00000497426 	3733 1434 	1827 1827 6982 6982 	3733 1434 	1847 1847 7002 7002 	53 53 	33 33 33 33 
ENST00000383718 	ENST00000263857 	6461 	12387 	6461 	12396 	43 	36 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3053 2954 2708 	327 	3053 2954 2708 	327 	53 53 53 	52 
ENST00000306888 	ENST00000507206 	3633 	208 	3633 	208 	53 	52 
ENST00000418655 	ENST00000464611 ENST00000331789 ENST00000425660 ENST00000462494 ENST00000493945 	861 	177 1258 1191 1591 1167 	863 	177 1258 1191 1591 1167 	38 	52 52 52 52 52 
ENST00000427908 	ENST00000511309 ENST00000510797 ENST00000502670 	1225 	434 475 520 	1225 	434 475 520 	52 	53 53 53 
ENST00000261783 	ENST00000553619 	1617 	515 	1617 	515 	52 	52 
ENST00000329627 	ENST00000301019 	9615 	2732 	9615 	2732 	53 	53 
ENST00000592379 	ENST00000475608 	74 	20 	74 	20 	53 	52 
ENST00000546591 ENST00000501597 ENST00000546485 ENST00000358888 ENST00000552314 ENST00000484902 ENST00000546176 ENST00000536425 ENST00000582508 ENST00000597044 ENST00000544920 ENST00000575972 	ENST00000439590 ENST00000311111 ENST00000584577 ENST00000534490 ENST00000533498 	219 100 88 188 413 17 59 17 17 43 58 58 	192 156 116 115 277 	219 100 88 188 413 17 59 17 17 43 58 58 	192 156 116 115 277 	47 47 47 47 47 47 47 47 47 47 47 47 	51 51 51 51 51 
ENST00000367048 ENST00000541436 	ENST00000414406 	3123 1609 	1339 	3123 1609 	1339 	52 52 	53 
ENST00000600057 	ENST00000420088 	265 	129 	265 	129 	52 	52 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000431782 ENST00000432393 ENST00000477007 ENST00000424565 ENST00000406939 ENST00000588627 ENST00000471280 	73 73 73 	273 273 269 273 271 268 270 2047 263 	73 73 73 	273 273 269 273 271 268 270 2047 263 	53 53 53 	49 49 49 49 49 49 49 49 49 
ENST00000563735 ENST00000529462 	ENST00000424846 	2314 2314 	2500 	2325 2325 	2500 	32 32 	31 
ENST00000280154 ENST00000393104 	ENST00000447005 ENST00000454061 ENST00000423273 ENST00000605742 ENST00000436562 ENST00000605265 	3536 3589 	396 646 370 500 325 4659 	3536 3589 	396 646 370 500 325 4659 	52 52 	53 53 53 53 53 53 
ENST00000449131 	ENST00000517577 	3742 	243 	3742 	243 	53 	52 
ENST00000503768 ENST00000503874 ENST00000577705 ENST00000436901 	ENST00000273183 ENST00000457375 ENST00000434649 ENST00000476388 ENST00000486143 	1016 844 351 357 	632 473 370 527 291 	1016 844 351 357 	632 473 370 527 291 	33 33 33 33 	51 51 51 51 51 
ENST00000378387 ENST00000378395 ENST00000343259 	ENST00000378407 ENST00000378406 ENST00000426546 ENST00000327351 ENST00000421582 ENST00000378409 	3429 3203 3064 	258 248 248 245 245 182 	3429 3203 3064 	258 248 248 245 245 182 	53 53 53 	53 53 53 53 53 53 
ENST00000378387 ENST00000378395 ENST00000343259 	ENST00000378407 ENST00000378406 ENST00000426546 ENST00000327351 ENST00000421582 ENST00000378409 	3429 3203 3064 	258 248 248 245 245 182 	3429 3203 3064 	258 248 248 245 245 182 	53 53 53 	53 53 53 53 53 53 
ENST00000504184 	ENST00000222584 ENST00000448246 	1454 	3875 2310 	1454 	3875 2310 	52 	53 53 
ENST00000530934 ENST00000402157 ENST00000299550 	ENST00000404816 ENST00000402934 ENST00000404525 ENST00000407925 ENST00000415140 ENST00000354476 ENST00000390003 ENST00000418533 	295 7073 6740 	3374 1997 1983 2124 44 3047 2187 2184 	316 7094 6761 	3375 1998 1984 2125 45 3048 2188 2185 	32 32 32 	52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	74 17 	376 	74 17 	53 	53 53 
ENST00000514253 	ENST00000511844 	498 	136 	498 	136 	53 	53 
ENST00000556319 	ENST00000561036 	413 	338 	413 	338 	53 	33 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3004 2905 2659 	156 285 	3004 2905 2659 	156 285 	53 53 53 	53 53 
ENST00000570630 ENST00000448504 	ENST00000592645 ENST00000590402 ENST00000591744 	3471 3471 	133 470 531 	3471 3471 	133 470 531 	53 53 	52 52 52 
ENST00000570630 ENST00000448504 	ENST00000592645 ENST00000590402 ENST00000591744 	3471 3471 	133 470 531 	3483 3483 	133 470 531 	41 41 	52 52 52 
ENST00000398731 	ENST00000256190 ENST00000533770 ENST00000527019 ENST00000533661 	536 	649 426 458 379 	536 	649 426 458 379 	42 	52 52 52 52 
ENST00000433083 ENST00000540574 ENST00000536844 	ENST00000543704 	4971 3807 3807 	522 	4971 3807 3807 	522 	53 53 53 	53 
ENST00000419932 	ENST00000604202 	225 	1499 	225 	1506 	53 	42 
ENST00000309733 ENST00000478538 	ENST00000409562 	6601 58 	2705 	6601 58 	2705 	53 53 	52 
ENST00000475268 ENST00000495368 	ENST00000378940 ENST00000378927 ENST00000498825 	1338 1466 	520 473 90 	1338 1466 	520 473 90 	52 52 	53 53 53 
ENST00000397061 	ENST00000265044 	2504 	2113 	2504 	2120 	39 	45 
ENST00000421980 ENST00000453269 ENST00000472509 ENST00000452041 ENST00000344095 ENST00000418432 	ENST00000445208 	2613 2392 2487 2233 2664 2617 	1511 	2613 2392 2487 2233 2664 2617 	1511 	51 51 51 51 51 51 	53 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 ENST00000486854 	1954 553 295 	463 582 	1954 553 295 	463 582 	53 53 53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3471 	797 330 348 214 212 553 353 385 353 330 	3471 	797 330 348 214 212 553 353 385 353 330 	50 	50 50 50 50 50 50 50 50 50 50 
ENST00000427908 	ENST00000510797 ENST00000510701 	1172 	642 355 	1172 	642 355 	53 	31 31 
ENST00000269143 	ENST00000590693 ENST00000317702 ENST00000590103 ENST00000590388 ENST00000586653 ENST00000586810 ENST00000417736 ENST00000587204 ENST00000592683 ENST00000590967 ENST00000591208 ENST00000591463 	2972 	102 204 31 22 22 22 22 19 16 10 1 0 	2972 	102 204 31 22 22 22 22 19 16 10 1 0 	53 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1152 1169 	255 	1152 1169 	255 	53 53 	52 
ENST00000314675 	ENST00000319041 	2102 	642 	2102 	642 	52 	51 
ENST00000263997 ENST00000561933 	ENST00000580888 ENST00000582169 ENST00000578495 ENST00000293831 ENST00000583899 ENST00000582848 ENST00000585024 ENST00000583802 ENST00000584901 ENST00000581544 ENST00000577269 ENST00000584784 ENST00000582746 ENST00000584860 ENST00000581384 ENST00000578324 ENST00000577731 ENST00000583389 	2534 2656 	548 452 422 428 523 420 420 377 426 286 417 416 412 702 444 390 138 59 	2534 2656 	548 452 422 428 523 420 420 377 426 286 417 416 412 702 444 390 138 59 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2214 2115 1869 	241 	2214 2115 1869 	241 	53 53 53 	47 
ENST00000538183 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	ENST00000508075 ENST00000469632 ENST00000566753 	7605 5096 5096 3286 5095 796 784 	554 661 1633 	7605 5096 5096 3286 5095 796 784 	571 678 1650 	34 34 34 34 34 34 34 	35 35 35 
ENST00000314675 	ENST00000319041 	2089 	635 	2089 	635 	53 	53 
ENST00000514253 	ENST00000511844 	494 	70 	495 	70 	52 	53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	279 210 	136 146 191 	279 210 	136 146 191 	53 53 	53 53 53 
ENST00000292174 	ENST00000526143 	4104 	5454 	4104 	5454 	53 	52 
ENST00000493635 	ENST00000359523 ENST00000392121 	3308 	1956 1467 	3308 	1970 1481 	33 	39 39 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	225 	307 238 	225 	53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	150 109 	482 	150 109 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3460 	789 322 340 173 206 204 345 545 345 377 345 322 	3460 	789 322 340 173 206 204 345 545 345 377 345 322 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 ENST00000475608 	32 	51 36 	32 	51 36 	53 	52 52 
ENST00000595527 	ENST00000331789 ENST00000425660 ENST00000462494 	1353 	1363 1296 1696 	1361 	1363 1296 1696 	31 	52 52 52 
ENST00000504897 	ENST00000509087 ENST00000415192 	2777 	531 1340 	2777 	531 1340 	53 	51 51 
ENST00000526787 	ENST00000378024 	798 	15764 	798 	15764 	52 	52 
ENST00000609011 ENST00000609509 ENST00000536450 ENST00000608309 ENST00000596129 ENST00000551990 	ENST00000519269 	42 42 42 42 42 42 	447 	42 42 42 42 42 42 	447 	52 52 52 52 52 52 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	112 71 	304 235 	112 71 	50 50 	52 52 
ENST00000539903 ENST00000485920 	ENST00000472464 ENST00000468078 	2561 2556 	100 192 	2561 2556 	100 192 	52 52 	53 53 
ENST00000468624 ENST00000490413 	ENST00000339083 ENST00000369642 ENST00000285735 ENST00000468093 ENST00000369638 ENST00000369637 ENST00000369636 ENST00000473074 ENST00000484280 ENST00000369632 ENST00000425265 ENST00000534717 ENST00000369633 	4192 860 	849 811 1657 577 628 526 436 606 653 871 747 513 747 	4192 860 	849 811 1657 577 628 526 436 606 653 871 747 513 747 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000497070 	ENST00000407472 ENST00000328554 ENST00000405640 ENST00000306024 ENST00000323699 ENST00000219097 ENST00000566860 ENST00000567000 ENST00000255266 ENST00000508173 ENST00000496726 ENST00000472564 ENST00000495219 ENST00000375771 ENST00000375766 ENST00000332305 ENST00000400773 ENST00000341162 ENST00000446628 	1873 	3018 3122 3288 1296 1455 1090 1170 1034 4497 4561 2002 1169 542 1979 2176 1276 1544 1871 2757 	1873 	3034 3138 3304 1312 1471 1106 1186 1050 4513 4577 2018 1185 558 1995 2192 1292 1560 1887 2773 	32 	35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 
ENST00000550977 	ENST00000489060 	1637 	2026 	1637 	2026 	53 	53 
ENST00000393892 	ENST00000577172 ENST00000316603 	4070 	1341 1341 	4090 	1341 1341 	32 	53 53 
ENST00000263620 	ENST00000260356 	2836 	5458 	2839 	5458 	36 	53 
ENST00000392876 	ENST00000323372 ENST00000523490 ENST00000461239 ENST00000592456 ENST00000489615 ENST00000392064 ENST00000393978 ENST00000520314 	3064 	1958 1812 243 796 3732 3200 98 3506 	3064 	1977 1831 262 815 3751 3219 117 3525 	34 	34 34 34 34 34 34 34 34 
ENST00000555235 	ENST00000472909 	456 	498 	468 	502 	35 	33 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4134 	50 69 71 50 	4134 	50 69 71 50 	53 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3482 	815 348 371 366 372 373 571 371 371 348 	3482 	815 348 371 366 372 373 571 371 371 348 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000344642 	ENST00000223095 ENST00000445463 	1938 	833 779 	1938 	833 779 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	129 88 	304 235 	129 88 	50 50 	52 52 
ENST00000328540 	ENST00000565250 	1806 	1458 	1806 	1458 	52 	53 
ENST00000515702 	ENST00000394800 ENST00000394805 ENST00000567697 	381 	4649 4291 3023 	381 	4663 4305 3037 	34 	35 35 35 
