ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000532160 	ENST00000534227 ENST00000532445 	74 	215 215 	74 	215 215 	53 	53 53 
ENST00000586778 ENST00000589919 	ENST00000586622 	535 269 	217 	535 269 	217 	52 52 	53 
ENST00000532456 ENST00000534761 ENST00000533532 ENST00000530132 ENST00000533195 ENST00000533618 ENST00000533713 ENST00000529235 ENST00000534582 ENST00000526330 ENST00000529701 ENST00000528499 ENST00000263574 ENST00000345598 ENST00000338167 ENST00000278756 ENST00000461918 ENST00000525215 ENST00000529483 ENST00000543137 	ENST00000593238 	443 245 242 398 317 242 197 174 242 242 242 242 230 220 215 233 432 321 55 233 	175 	443 245 242 398 317 242 197 174 242 242 242 242 230 220 215 233 432 321 55 233 	175 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000416139 ENST00000475608 	ENST00000592379 	222 219 	56 	222 219 	56 	52 52 	53 
ENST00000589521 ENST00000301073 	ENST00000590714 	57 37 	1573 	57 37 	1573 	53 53 	52 
ENST00000367384 ENST00000484601 ENST00000367378 ENST00000464889 ENST00000486585 ENST00000495487 ENST00000367380 ENST00000544496 	ENST00000445125 	726 925 725 725 650 434 474 290 	438 	726 925 725 725 650 434 474 290 	443 	53 53 53 53 53 53 53 53 	35 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	99 97 239 	4192 	99 97 239 	4192 	53 53 53 	51 
ENST00000475608 	ENST00000592379 	350 	34 	350 	34 	53 	53 
ENST00000347359 	ENST00000594963 	424 	29 	424 	29 	53 	51 
ENST00000532090 	ENST00000566975 ENST00000601512 	4614 	377 377 	4614 	396 396 	53 	34 34 
ENST00000361381 	ENST00000391684 	1263 	187 	1263 	187 	53 	52 
ENST00000566574 	ENST00000478199 	2454 	1810 	2454 	1810 	37 	41 
ENST00000529770 ENST00000524422 ENST00000529460 ENST00000534385 ENST00000527186 ENST00000595020 ENST00000596478 ENST00000601722 ENST00000599442 ENST00000600126 	ENST00000534438 ENST00000601832 	234 106 116 86 830 234 106 116 86 830 	226 226 	234 106 116 86 830 234 106 116 86 830 	226 226 	53 53 53 53 53 53 53 53 53 53 	53 53 
ENST00000574872 	ENST00000519266 ENST00000520221 	666 	194 34 	666 	194 34 	52 	53 53 
ENST00000389400 	ENST00000604922 	542 	241 	542 	241 	53 	51 
ENST00000546654 	ENST00000564755 	45 	191 	45 	191 	53 	52 
ENST00000564480 	ENST00000568126 ENST00000308214 ENST00000320394 	921 	535 535 535 	921 	550 550 550 	52 	38 38 38 
ENST00000484430 ENST00000398981 ENST00000398259 ENST00000389400 	ENST00000604922 	518 526 514 544 	208 	518 526 514 544 	208 	53 53 53 53 	51 
ENST00000347359 	ENST00000594963 	290 	34 	290 	34 	36 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	74 72 214 	4197 	74 72 214 	4197 	53 53 53 	53 
ENST00000475608 	ENST00000592379 	380 	7 	380 	7 	52 	53 
ENST00000434913 ENST00000517577 	ENST00000449131 	238 239 	4171 	238 239 	4171 	53 53 	52 
ENST00000439986 	ENST00000439290 ENST00000277475 	3591 	883 888 	3591 	883 888 	39 	32 32 
ENST00000428183 ENST00000323716 ENST00000441711 ENST00000454559 ENST00000425331 ENST00000541300 	ENST00000380615 ENST00000579422 ENST00000440097 ENST00000418132 ENST00000264645 ENST00000394072 ENST00000254051 ENST00000370629 ENST00000370628 ENST00000341901 	2358 2535 2430 2253 2358 2181 	4196 24 454 55 50 1571 3464 1531 1434 2324 	2358 2535 2430 2253 2358 2181 	4196 24 454 55 50 1571 3464 1531 1434 2324 	53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 
ENST00000498465 ENST00000467947 ENST00000487905 ENST00000466339 ENST00000474679 ENST00000495051 ENST00000483470 	ENST00000476438 ENST00000373816 	54 54 54 54 54 54 54 	23 4266 	62 62 62 62 62 62 62 	42 4285 	44 44 44 44 44 44 44 	34 34 
ENST00000529790 ENST00000529770 ENST00000524422 ENST00000529460 ENST00000534385 ENST00000527186 ENST00000598167 ENST00000595020 ENST00000596478 ENST00000601722 ENST00000599442 ENST00000600126 	ENST00000534438 ENST00000601832 	191 244 116 126 96 840 191 244 116 126 96 840 	236 236 	191 244 116 126 96 840 191 244 116 126 96 840 	236 236 	53 53 53 53 53 53 53 53 53 53 53 53 	53 53 
ENST00000479870 ENST00000355951 ENST00000392900 ENST00000414990 ENST00000440891 	ENST00000594104 	1931 1836 1164 1101 450 	222 	1931 1836 1164 1101 450 	222 	52 52 52 52 52 	33 
ENST00000504292 	ENST00000455611 	485 	2301 	485 	2301 	51 	53 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000493479 	ENST00000604922 	533 535 409 517 	329 	533 535 409 517 	329 	53 53 53 53 	53 
ENST00000434913 ENST00000517577 	ENST00000449131 	237 238 	4168 	237 238 	4168 	53 53 	53 
ENST00000323496 	ENST00000463943 	258 	338 	258 	359 	52 	31 
ENST00000434913 ENST00000517577 	ENST00000449131 	238 239 	4179 	238 239 	4179 	53 53 	50 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000490833 ENST00000480737 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000460469 	5065 5339 5066 5066 5443 3586 5066 5071 5338 5066 1221 179 240 5066 5066 5066 5066 	401 	5065 5339 5066 5066 5443 3586 5066 5071 5338 5066 1221 179 240 5066 5066 5066 5066 	401 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	33 
ENST00000484430 ENST00000398981 ENST00000389400 ENST00000411660 	ENST00000604922 	601 609 627 601 	248 	601 609 627 601 	248 	52 52 52 52 	52 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	98 96 238 	4213 	98 96 238 	4213 	53 53 53 	53 
ENST00000450676 	ENST00000449131 	239 	4142 	239 	4142 	53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	187 187 	407 	187 187 	407 	53 53 	53 
ENST00000496856 ENST00000491818 ENST00000326361 ENST00000466264 ENST00000484866 ENST00000466663 	ENST00000279873 	912 1108 974 781 611 577 	4597 	912 1108 974 781 611 577 	4598 	52 52 52 52 52 52 	31 
ENST00000429930 	ENST00000519128 	238 	3457 	252 	3457 	31 	52 
ENST00000360214 ENST00000360938 ENST00000432278 ENST00000456966 	ENST00000549554 	596 426 664 297 	283 	596 426 664 297 	283 	53 53 53 53 	53 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	453 404 	1145 1162 	453 404 	1147 1164 	53 53 	51 51 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	361 384 385 386 361 	3763 	361 384 385 386 361 	3763 	53 53 53 53 53 	44 
ENST00000225724 ENST00000403396 	ENST00000309955 	2588 3507 	3696 	2588 3507 	3703 	51 51 	46 
ENST00000579708 ENST00000579031 	ENST00000580295 	226 133 	90 	226 133 	90 	51 51 	53 
ENST00000574872 	ENST00000520221 	666 	60 	666 	60 	53 	53 
ENST00000548015 	ENST00000552551 ENST00000546826 ENST00000549198 ENST00000551318 	535 	317 228 177 259 	535 	317 228 177 259 	52 	52 52 52 52 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	159 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	159 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000556969 ENST00000557670 ENST00000555036 	ENST00000427606 	64 85 43 	949 	64 85 43 	949 	53 53 53 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	199 199 	417 	199 199 	417 	52 52 	51 
ENST00000502304 	ENST00000560444 ENST00000357578 ENST00000590197 	158 	1355 3747 1638 	158 	1356 3748 1639 	53 	34 34 34 
ENST00000484430 ENST00000398981 ENST00000389400 	ENST00000604922 	519 527 545 	255 	519 527 545 	255 	53 53 53 	53 
ENST00000261023 ENST00000374907 ENST00000433736 	ENST00000420788 	1884 1761 1602 	91 	1884 1761 1602 	108 	53 53 53 	32 
ENST00000587432 	ENST00000422015 ENST00000604452 ENST00000457191 ENST00000592994 ENST00000605013 	407 	1955 1854 1852 1894 1866 	407 	1955 1854 1852 1894 1866 	53 	53 53 53 53 53 
ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	ENST00000449131 	211 93 91 233 211 	4209 	211 93 91 233 211 	4209 	53 53 53 53 53 	53 
ENST00000416139 ENST00000475608 	ENST00000592379 	222 219 	81 	222 219 	81 	52 52 	52 
ENST00000574872 ENST00000442087 	ENST00000519266 ENST00000520221 	710 193 	199 39 	710 193 	199 39 	53 53 	53 53 
ENST00000463579 	ENST00000491969 	51 	162 	51 	162 	53 	52 
ENST00000498161 ENST00000425761 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	330 348 553 353 385 353 330 	4136 	330 348 553 353 385 353 330 	4136 	52 52 52 52 52 52 52 	53 
ENST00000487100 ENST00000382175 ENST00000474167 	ENST00000604922 	551 425 547 	241 	551 425 547 	241 	53 53 53 	52 
ENST00000586778 ENST00000589919 	ENST00000586622 	540 274 	225 	540 274 	225 	52 52 	53 
ENST00000434913 ENST00000517577 	ENST00000449131 	238 239 	4164 	238 239 	4164 	52 52 	53 
ENST00000379440 ENST00000430350 	ENST00000515262 	2395 2277 	157 	2395 2277 	157 	51 51 	51 
ENST00000451219 ENST00000389400 ENST00000555161 	ENST00000604922 	520 549 502 	238 	520 549 502 	238 	53 53 53 	49 
ENST00000434783 	ENST00000295269 ENST00000261200 ENST00000564458 ENST00000564795 	8495 	4069 6844 1093 1093 	8505 	4088 6863 1112 1112 	33 	33 33 33 33 
ENST00000567272 ENST00000403549 	ENST00000427908 	577 425 	1796 	595 443 	1796 	34 34 	50 
ENST00000471856 ENST00000579709 	ENST00000429276 	196 196 	411 	196 196 	411 	51 51 	53 
ENST00000589420 	ENST00000377957 ENST00000380167 ENST00000378387 ENST00000378395 ENST00000343259 ENST00000599056 ENST00000601421 ENST00000429604 ENST00000418871 ENST00000337530 ENST00000393978 	784 	2543 1077 3084 2858 2719 3869 4337 3984 3867 5003 642 	784 	2557 1091 3098 2872 2733 3883 4351 3998 3881 5017 656 	51 	39 39 39 39 39 39 39 39 39 39 39 
ENST00000588030 ENST00000588411 ENST00000592051 ENST00000589660 ENST00000589266 ENST00000588090 ENST00000592815 ENST00000591935 ENST00000586548 ENST00000585913 ENST00000593128 ENST00000589710 ENST00000588230 ENST00000591097 ENST00000590704 ENST00000413636 ENST00000586472 ENST00000589686 ENST00000593093 ENST00000590347 ENST00000593283 ENST00000587169 ENST00000593048 ENST00000587323 ENST00000320936 ENST00000592412 ENST00000586636 ENST00000591055 ENST00000591376 ENST00000587896 ENST00000589235 ENST00000591659 ENST00000585914 ENST00000590171 ENST00000588344 ENST00000585630 ENST00000586773 ENST00000444172 	ENST00000381661 	269 313 486 64 378 220 228 79 120 47 95 156 94 94 155 94 94 155 94 93 91 91 90 89 89 82 79 78 78 80 76 75 74 70 669 77 58 91 	2015 	269 313 486 64 378 220 228 79 120 47 95 156 94 94 155 94 94 155 94 93 91 91 90 89 89 82 79 78 78 80 76 75 74 70 669 77 58 91 	2015 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	98 96 238 	4192 	98 96 238 	4192 	53 53 53 	51 
ENST00000557060 ENST00000550977 ENST00000604604 ENST00000229465 ENST00000469718 ENST00000602666 	ENST00000309733 ENST00000478538 ENST00000483793 ENST00000489060 ENST00000518152 	2784 2192 1301 1097 460 2476 	6553 10 3753 1597 350 	2784 2192 1301 1097 460 2476 	6553 10 3753 1597 350 	53 53 53 53 53 53 	51 51 51 51 51 
ENST00000523752 ENST00000276431 	ENST00000521249 ENST00000370558 	1318 2136 	2596 4986 	1325 2143 	2598 4988 	46 46 	33 33 
ENST00000341165 ENST00000590996 ENST00000422280 ENST00000389312 	ENST00000463943 	3096 3054 3415 3039 	281 	3096 3054 3415 3039 	281 	53 53 53 53 	53 
ENST00000546654 	ENST00000564755 	93 	191 	93 	191 	53 	52 
ENST00000229238 ENST00000537701 ENST00000538814 ENST00000543959 ENST00000540949 	ENST00000315579 ENST00000536538 	564 148 97 68 68 	207 185 	564 148 97 68 68 	207 185 	53 53 53 53 53 	53 53 
ENST00000451157 ENST00000571528 	ENST00000460965 ENST00000463223 	1032 1032 	184 728 	1034 1034 	196 740 	51 51 	31 31 
ENST00000502803 ENST00000507193 	ENST00000514390 	190 190 	185 	190 190 	185 	50 50 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	182 182 	408 	188 188 	408 	47 47 	53 
ENST00000595520 	ENST00000476192 ENST00000539061 ENST00000497426 	55 	7114 2546 7114 	55 	7114 2546 7114 	53 	35 35 35 
ENST00000490998 	ENST00000479114 ENST00000381575 ENST00000334060 ENST00000499638 ENST00000397924 ENST00000595146 ENST00000575801 ENST00000336868 ENST00000473880 ENST00000540511 	202 	163 901 1501 905 277 2815 2057 2412 3453 4808 	218 	163 901 1501 905 277 2815 2057 2412 3453 4808 	31 	53 53 53 53 53 53 53 53 53 53 
ENST00000392975 ENST00000360793 ENST00000584031 ENST00000392976 ENST00000562249 ENST00000343325 	ENST00000264436 ENST00000399215 ENST00000471259 ENST00000498089 ENST00000475687 ENST00000593682 ENST00000311437 ENST00000375095 ENST00000531346 ENST00000529187 ENST00000237536 ENST00000372824 ENST00000463586 ENST00000482587 ENST00000607267 ENST00000348993 	2118 2112 2312 2265 1176 2372 	7069 735 167 2052 946 1586 2808 3175 2808 2959 10438 113 471 3330 7069 3192 	2118 2112 2312 2265 1176 2372 	7069 735 167 2052 946 1586 2808 3175 2808 2959 10438 113 471 3330 7069 3192 	53 53 53 53 53 53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000323496 	ENST00000463943 	258 	277 	258 	277 	52 	53 
ENST00000513328 ENST00000503455 ENST00000355842 ENST00000398123 ENST00000398129 ENST00000514940 ENST00000513762 ENST00000536424 ENST00000264758 ENST00000446856 ENST00000398125 	ENST00000483618 ENST00000486909 	2118 2197 2999 2156 2029 1219 1823 352 2290 2197 2324 	234 821 	2118 2197 2999 2156 2029 1219 1823 352 2290 2197 2324 	234 821 	48 48 48 48 48 48 48 48 48 48 48 	53 53 
ENST00000570308 ENST00000219070 ENST00000566564 	ENST00000301281 	3070 3122 276 	-14 	3070 3122 276 	1 	52 52 52 	32 
ENST00000310613 	ENST00000586722 ENST00000458297 ENST00000261200 	3204 	1574 1492 7103 	3204 	1574 1492 7103 	51 	52 52 52 
ENST00000510019 	ENST00000508814 ENST00000514253 	321 	262 193 	321 	262 193 	53 	35 35 
ENST00000229238 ENST00000538814 ENST00000543959 ENST00000540949 	ENST00000315579 ENST00000536538 	665 198 169 169 	352 330 	679 212 183 183 	352 330 	38 38 38 38 	53 53 
ENST00000595806 	ENST00000598758 	307 	489 	307 	489 	53 	52 
ENST00000545625 ENST00000537446 	ENST00000412425 	248 268 	13 	248 268 	13 	52 52 	52 
ENST00000416139 ENST00000446445 	ENST00000592379 	283 283 	33 	283 283 	33 	52 52 	53 
ENST00000498161 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	362 386 387 362 	3770 	362 386 387 362 	3770 	53 53 53 53 	51 
ENST00000429930 	ENST00000519128 	243 	3507 	252 	3507 	31 	52 
ENST00000353047 ENST00000434271 	ENST00000489426 ENST00000595821 	3596 3580 	1703 1703 	3596 3580 	1703 1703 	52 52 	47 47 
ENST00000368300 ENST00000368299 ENST00000448611 ENST00000473598 ENST00000506981 	ENST00000262477 ENST00000408982 	1881 1866 1377 1492 253 	5037 4938 	1881 1866 1377 1492 253 	5037 4938 	53 53 53 53 53 	53 53 
ENST00000432629 ENST00000393148 ENST00000431782 ENST00000433385 ENST00000588627 ENST00000471280 	ENST00000492999 ENST00000486695 ENST00000467671 	196 222 193 198 1972 188 	290 290 290 	196 222 193 198 1972 188 	290 290 290 	53 53 53 53 53 53 	51 51 51 
ENST00000446445 	ENST00000592379 	280 	75 	280 	75 	53 	53 
ENST00000443182 ENST00000419847 ENST00000436569 ENST00000428037 ENST00000442427 ENST00000439612 ENST00000417824 ENST00000436497 ENST00000437054 ENST00000434880 ENST00000433726 ENST00000437735 ENST00000426331 ENST00000462709 ENST00000437731 ENST00000471124 ENST00000552116 ENST00000442479 ENST00000417144 ENST00000425568 ENST00000421354 ENST00000429956 ENST00000422860 ENST00000421106 ENST00000440499 ENST00000425373 ENST00000453763 ENST00000444557 ENST00000416797 ENST00000438112 ENST00000459770 ENST00000447798 ENST00000482550 ENST00000551350 ENST00000383446 ENST00000383448 ENST00000418840 ENST00000432539 ENST00000451534 ENST00000415034 ENST00000431049 ENST00000412992 ENST00000446325 ENST00000414208 ENST00000421991 ENST00000455409 ENST00000424003 ENST00000483008 ENST00000442112 ENST00000474730 ENST00000552605 ENST00000422756 ENST00000434446 ENST00000415170 ENST00000449874 ENST00000432174 ENST00000420075 ENST00000438330 ENST00000456223 ENST00000431345 ENST00000436859 ENST00000446133 ENST00000431989 ENST00000416755 ENST00000483830 ENST00000420098 ENST00000466934 ENST00000552467 ENST00000415373 ENST00000415345 ENST00000451042 ENST00000447656 ENST00000416094 ENST00000428905 ENST00000427244 ENST00000415770 ENST00000441898 ENST00000432814 ENST00000424221 ENST00000454248 ENST00000427281 ENST00000462603 ENST00000419409 ENST00000461174 ENST00000550393 ENST00000413922 ENST00000412012 ENST00000438641 ENST00000442870 ENST00000416852 ENST00000453036 ENST00000453772 ENST00000438546 ENST00000453928 ENST00000456067 ENST00000448278 ENST00000430999 ENST00000435066 ENST00000480345 ENST00000433146 ENST00000497009 ENST00000546462 ENST00000375976 ENST00000211379 ENST00000437771 ENST00000435080 ENST00000434444 ENST00000452994 ENST00000456622 ENST00000428326 ENST00000433828 ENST00000424176 ENST00000441054 ENST00000456286 ENST00000454165 ENST00000404765 ENST00000439687 ENST00000362049 	ENST00000430238 ENST00000425177 ENST00000452949 ENST00000416324 ENST00000419996 ENST00000400157 ENST00000426401 ENST00000439902 ENST00000440956 ENST00000443975 ENST00000425856 ENST00000422771 ENST00000375918 ENST00000375920 	210 341 225 215 78 138 171 311 169 148 192 81 262 135 114 274 336 206 341 225 211 78 138 171 311 169 148 192 81 262 135 114 274 336 214 341 225 190 78 138 171 311 169 148 192 81 262 135 114 274 336 210 341 225 190 78 138 171 311 169 148 192 81 262 135 114 274 336 206 341 225 211 78 138 171 311 169 148 192 81 262 135 114 274 336 197 341 225 189 78 138 171 311 169 148 192 81 262 135 114 274 336 206 341 225 211 78 138 171 311 169 148 81 262 114 336 287 287 	7 7 7 6 7 6 7 6 7 6 7 6 7 6 	210 341 225 215 78 138 171 311 169 148 192 81 262 135 114 274 336 206 341 225 211 78 138 171 311 169 148 192 81 262 135 114 274 336 214 341 225 190 78 138 171 311 169 148 192 81 262 135 114 274 336 210 341 225 190 78 138 171 311 169 148 192 81 262 135 114 274 336 206 341 225 211 78 138 171 311 169 148 192 81 262 135 114 274 336 197 341 225 189 78 138 171 311 169 148 192 81 262 135 114 274 336 206 341 225 211 78 138 171 311 169 148 81 262 114 336 287 287 	7 7 7 6 7 6 7 6 7 6 7 6 7 6 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	ENST00000449131 	361 384 379 385 386 384 361 	3782 	361 384 379 385 386 384 361 	3782 	53 53 53 53 53 53 53 	53 
ENST00000598098 ENST00000599232 	ENST00000430252 ENST00000540275 	253 371 	439 439 	253 371 	439 439 	53 53 	51 51 
ENST00000429775 	ENST00000514253 	270 	457 	270 	457 	53 	53 
ENST00000433132 ENST00000520566 	ENST00000438370 	92 92 	3 	92 92 	3 	53 53 	52 
ENST00000434913 ENST00000517577 	ENST00000449131 	237 238 	4179 	237 238 	4179 	53 53 	53 
ENST00000586778 ENST00000589919 	ENST00000586622 ENST00000588460 	523 257 	314 29 	523 257 	314 29 	53 53 	53 53 
ENST00000405015 ENST00000405482 ENST00000431489 ENST00000263991 ENST00000405289 ENST00000354487 	ENST00000371697 	1362 1214 1440 1421 834 1316 	1740 	1362 1214 1440 1421 834 1316 	1755 	53 53 53 53 53 53 	31 
ENST00000471856 ENST00000579709 	ENST00000429276 	133 133 	401 	133 133 	401 	53 53 	53 
ENST00000585421 ENST00000536189 ENST00000262768 ENST00000586057 	ENST00000370353 	2428 2498 2735 2476 	3908 	2428 2498 2735 2476 	3908 	53 53 53 53 	39 
ENST00000515202 ENST00000506525 ENST00000515116 	ENST00000506838 	217 322 129 	686 	217 322 129 	686 	53 53 53 	53 
ENST00000204549 	ENST00000481810 ENST00000309955 ENST00000356495 ENST00000361686 ENST00000409382 ENST00000261267 ENST00000468371 ENST00000331006 ENST00000366304 	2542 	264 11351 3391 3757 4179 943 2225 1157 292 	2542 	269 11356 3396 3762 4184 948 2230 1162 297 	52 	48 48 48 48 48 48 48 48 48 
ENST00000519973 ENST00000417331 ENST00000290075 ENST00000518881 ENST00000520654 ENST00000523930 ENST00000523883 ENST00000517923 ENST00000520949 	ENST00000523257 	442 291 291 280 194 187 545 329 311 	362 	442 291 291 280 194 187 545 329 311 	362 	53 53 53 53 53 53 53 53 53 	53 
ENST00000487100 ENST00000382175 ENST00000484430 ENST00000398981 ENST00000461022 	ENST00000604922 	551 425 551 559 573 	286 	551 425 551 559 573 	286 	53 53 53 53 53 	53 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000599364 	ENST00000449131 	361 384 379 385 361 	4209 	361 384 379 385 361 	4209 	53 53 53 53 53 	53 
ENST00000411432 	ENST00000295240 ENST00000392663 ENST00000472667 ENST00000522663 ENST00000403396 	4049 	2012 1644 1407 2546 2546 	4067 	2012 1644 1407 2546 2546 	35 	53 53 53 53 53 
ENST00000590402 ENST00000330079 ENST00000309822 ENST00000553724 ENST00000593659 ENST00000599528 ENST00000607141 	ENST00000418464 ENST00000414450 	79 2022 2702 2564 191 191 2022 	2345 2349 	79 2022 2702 2564 191 191 2022 	2345 2349 	53 53 53 53 53 53 53 	53 53 
ENST00000555373 	ENST00000556125 	60 	242 	60 	242 	53 	53 
ENST00000237654 	ENST00000334567 	2010 	1035 	2010 	1035 	52 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	205 205 	419 	205 205 	419 	52 52 	51 
ENST00000434913 	ENST00000449131 	238 	4145 	238 	4145 	53 	53 
ENST00000594734 	ENST00000476192 ENST00000497426 	227 	6950 6950 	227 	6950 6950 	53 	52 52 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000461974 ENST00000485567 ENST00000460217 ENST00000438981 ENST00000359671 ENST00000346544 ENST00000357009 	ENST00000419932 	6178 6797 6524 5987 6994 7668 6449 6259 6259 6347 2502 391 441 669 633 6617 6257 6257 	203 	6178 6797 6524 5987 6994 7668 6449 6259 6259 6347 2502 391 441 669 633 6617 6257 6257 	220 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	36 
