ENST00000434913 	ENST00000449131 	239 	4148 	239 	4148 	52 	53 
ENST00000497322 ENST00000483598 ENST00000536368 ENST00000432629 ENST00000393148 ENST00000314394 ENST00000588627 ENST00000471280 	ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	1795 90 166 208 234 110 1984 200 	423 349 423 349 	1795 90 166 208 234 110 1984 200 	423 349 423 349 	53 53 53 53 53 53 53 53 	52 52 52 52 
ENST00000434913 	ENST00000449131 	236 	4144 	236 	4144 	53 	53 
ENST00000446420 	ENST00000375412 	67 	1221 	67 	1221 	51 	52 
ENST00000546654 	ENST00000564755 	103 	191 	103 	191 	53 	52 
ENST00000484430 ENST00000398981 ENST00000483907 ENST00000483613 ENST00000485355 ENST00000442655 	ENST00000604922 	520 528 518 518 518 518 	263 	520 528 518 518 518 518 	263 	53 53 53 53 53 53 	53 
ENST00000450566 	ENST00000374199 	69 	67 	69 	67 	53 	53 
ENST00000223095 ENST00000445463 	ENST00000589868 	2864 2810 	1725 	2864 2810 	1738 	52 52 	33 
ENST00000498161 ENST00000425761 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	330 348 385 353 330 	4164 	330 348 385 353 330 	4164 	52 52 52 52 52 	53 
ENST00000241261 ENST00000420541 	ENST00000372697 ENST00000372696 	1551 1371 	608 589 	1559 1379 	610 591 	37 37 	32 32 
ENST00000434913 ENST00000517577 	ENST00000449131 	237 238 	4180 	237 238 	4180 	53 53 	53 
ENST00000598366 ENST00000601845 ENST00000593601 ENST00000595537 ENST00000594960 ENST00000599415 ENST00000601143 ENST00000597869 ENST00000331925 ENST00000573283 ENST00000575842 ENST00000576917 ENST00000574671 ENST00000576209 ENST00000575087 ENST00000576544 	ENST00000373242 ENST00000373238 ENST00000373241 ENST00000431664 	1224 1249 1504 1209 936 962 1268 1141 1224 1249 1504 1209 936 962 1268 1141 	1963 2124 1893 1726 	1224 1249 1504 1209 936 962 1268 1141 1224 1249 1504 1209 936 962 1268 1141 	1983 2144 1913 1746 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	31 31 31 31 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	ENST00000449131 	348 371 366 372 373 571 371 371 348 	3788 	348 371 366 372 373 571 371 371 348 	3788 	53 53 53 53 53 53 53 53 53 	52 
ENST00000352251 ENST00000484434 ENST00000468017 ENST00000350125 	ENST00000402802 	3738 1007 281 3711 	1585 	3738 1007 281 3711 	1589 	53 53 53 53 	31 
ENST00000482506 ENST00000395517 ENST00000465295 ENST00000472975 ENST00000418441 ENST00000496412 ENST00000454675 ENST00000403842 ENST00000423231 ENST00000398929 ENST00000600955 ENST00000430225 ENST00000484462 ENST00000403916 ENST00000453468 ENST00000463605 ENST00000485945 ENST00000488289 ENST00000480465 ENST00000395291 	ENST00000515262 	100 100 100 100 100 98 99 100 100 13 99 100 100 123 100 100 100 100 100 109 	128 	100 100 100 100 100 98 99 100 100 13 99 100 100 123 100 100 100 100 100 109 	128 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	ENST00000449131 	362 385 380 386 387 385 362 	3775 	362 385 380 386 387 385 362 	3775 	53 53 53 53 53 53 53 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	181 181 	426 	181 181 	426 	53 53 	50 
ENST00000321521 	ENST00000493254 	7937 	2289 	7937 	2289 	45 	53 
ENST00000607388 	ENST00000306024 	1845 	3575 	1845 	3594 	53 	31 
ENST00000398259 	ENST00000604922 	701 	224 	701 	224 	53 	53 
ENST00000439369 ENST00000503215 ENST00000506368 	ENST00000281146 	63 65 30 	87 	63 65 30 	87 	52 52 52 	50 
ENST00000529460 ENST00000527186 ENST00000601722 ENST00000600126 	ENST00000534438 ENST00000601832 	306 1020 306 1020 	218 218 	306 1020 306 1020 	218 218 	52 52 52 52 	53 53 
ENST00000589282 	ENST00000455205 ENST00000570752 ENST00000596055 	1927 	1413 1216 1413 	1927 	1413 1216 1413 	52 	53 53 53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	73 71 213 	4213 	73 71 213 	4213 	53 53 53 	53 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	262 262 254 262 	43 	262 262 254 262 	43 	53 53 53 53 	53 
ENST00000574872 	ENST00000519266 ENST00000520221 	650 	199 39 	650 	199 39 	53 	53 53 
ENST00000521176 	ENST00000523959 	50 	528 	50 	528 	53 	53 
ENST00000556969 ENST00000557670 ENST00000555036 	ENST00000427606 	47 68 26 	949 	47 68 26 	949 	53 53 53 	52 
ENST00000372027 ENST00000360525 ENST00000429622 ENST00000461607 ENST00000445595 ENST00000562903 ENST00000564136 ENST00000601710 ENST00000594074 ENST00000440946 	ENST00000591790 ENST00000504904 ENST00000589652 	3998 6923 52 52 52 501 505 501 505 32 	1086 377 2092 	4006 6931 60 60 60 509 513 509 513 40 	1095 386 2101 	35 35 35 35 35 35 35 35 35 35 	31 31 31 
ENST00000406913 ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	299 269 269 261 269 	142 	299 269 269 261 269 	142 	53 53 53 53 53 	51 
ENST00000546654 	ENST00000564755 	76 	191 	76 	191 	53 	52 
ENST00000498161 ENST00000434913 ENST00000599364 	ENST00000449131 	210 231 210 	4133 	210 231 210 	4133 	52 52 52 	53 
ENST00000514057 	ENST00000373059 ENST00000401070 ENST00000401069 	578 	1951 2083 2530 	578 	1951 2083 2530 	53 	53 53 53 
ENST00000405486 ENST00000356244 ENST00000455915 ENST00000446258 ENST00000452543 ENST00000407260 	ENST00000419665 ENST00000330498 ENST00000568188 ENST00000568891 	995 586 1752 103 485 285 	1409 1729 1846 542 	995 586 1752 103 485 285 	1409 1729 1846 542 	53 53 53 53 53 53 	53 53 53 53 
ENST00000296585 	ENST00000547573 	6071 	345 	6071 	345 	51 	53 
ENST00000585421 ENST00000536189 ENST00000262768 ENST00000586057 ENST00000592761 	ENST00000307849 ENST00000451500 	334 404 641 382 429 	268 257 	334 404 641 382 429 	268 257 	53 53 53 53 53 	32 32 
ENST00000371206 ENST00000422161 	ENST00000589272 ENST00000393233 	1362 379 	1062 1062 	1362 379 	1064 1064 	53 53 	49 49 
ENST00000371083 ENST00000540265 	ENST00000478138 	690 358 	19 	690 358 	19 	53 53 	51 
ENST00000438169 	ENST00000266659 	721 	3975 	721 	3975 	53 	50 
ENST00000392385 ENST00000566753 	ENST00000392857 	409 1462 	4529 	409 1462 	4529 	53 53 	39 
ENST00000360003 ENST00000369077 ENST00000466047 ENST00000495407 	ENST00000356331 ENST00000442312 ENST00000503393 ENST00000563874 ENST00000566472 	692 787 624 993 	3957 3959 3906 867 277 	692 787 624 993 	3957 3959 3906 867 277 	53 53 53 53 	52 52 52 52 52 
ENST00000393909 ENST00000409374 ENST00000453233 	ENST00000471694 ENST00000355354 	825 805 161 	5626 3851 	825 805 161 	5635 3860 	52 52 52 	35 35 
ENST00000507623 ENST00000380638 	ENST00000463943 	194 194 	419 	194 194 	419 	53 53 	51 
ENST00000434913 ENST00000517577 	ENST00000449131 	239 240 	4158 	239 240 	4158 	53 53 	52 
ENST00000377069 ENST00000542973 ENST00000606773 ENST00000607408 	ENST00000392464 ENST00000606568 	4282 2640 4282 2640 	1272 1272 	4282 2640 4282 2640 	1272 1272 	53 53 53 53 	52 52 
ENST00000399012 ENST00000381657 	ENST00000319763 	3408 3625 	1974 	3408 3625 	1989 	51 51 	33 
ENST00000574872 	ENST00000519266 ENST00000520221 	693 	174 14 	693 	174 14 	52 	52 52 
ENST00000460103 ENST00000482296 ENST00000492749 ENST00000482403 ENST00000520987 ENST00000498349 ENST00000466239 ENST00000483183 	ENST00000341446 ENST00000534382 ENST00000541730 ENST00000570983 ENST00000458350 ENST00000272462 ENST00000328914 ENST00000583384 ENST00000498702 ENST00000469733 ENST00000483959 ENST00000216099 ENST00000593019 ENST00000596217 ENST00000381486 ENST00000396123 ENST00000234142 ENST00000361740 ENST00000396303 ENST00000607474 ENST00000608895 ENST00000578895 ENST00000496942 ENST00000482969 ENST00000497738 ENST00000510199 ENST00000549999 	182 182 182 182 2332 182 182 182 	3335 66 2021 1157 304 1880 8101 39 604 226 50 225 656 1201 7413 4225 7375 2454 2438 300 255 914 2105 1450 1435 104 456 	182 182 182 182 2332 182 182 182 	3335 66 2021 1157 304 1880 8101 39 604 226 50 225 656 1201 7413 4225 7375 2454 2438 300 255 914 2105 1450 1435 104 456 	53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000498161 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	348 366 372 373 348 	3770 	348 366 372 373 348 	3770 	53 53 53 53 53 	53 
ENST00000432629 ENST00000393148 ENST00000431782 ENST00000433385 ENST00000588627 ENST00000471280 	ENST00000492999 ENST00000486695 ENST00000467671 	201 227 198 203 1977 193 	285 285 285 	201 227 198 203 1977 193 	285 285 285 	53 53 53 53 53 53 	52 52 52 
ENST00000376887 ENST00000412704 ENST00000536256 ENST00000431522 ENST00000538287 	ENST00000438370 	1012 1016 791 1016 1184 	0 	1027 1031 806 1031 1199 	0 	34 34 34 34 34 	51 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	359 382 383 384 359 	3763 	359 382 383 384 359 	3763 	53 53 53 53 53 	53 
ENST00000514057 	ENST00000373059 ENST00000401070 ENST00000401069 	474 	1944 2076 2523 	474 	1944 2076 2523 	53 	53 53 53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000466550 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	149 339 174 71 59 59 82 59 59 82 59 59 59 68 	146 	149 339 174 71 59 59 82 59 59 82 59 59 59 68 	146 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	453 404 	1109 1126 	453 404 	1109 1126 	52 52 	52 52 
ENST00000421536 ENST00000544130 	ENST00000595956 	507 507 	60 	507 507 	60 	53 53 	52 
ENST00000475608 	ENST00000592379 	351 	33 	351 	33 	53 	53 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000472161 ENST00000484430 ENST00000398981 ENST00000474167 	ENST00000604922 	542 544 418 539 544 552 540 	248 	542 544 418 539 544 552 540 	248 	53 53 53 53 53 53 53 	52 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	348 371 366 373 571 371 403 371 348 	4146 	348 371 366 373 571 371 403 371 348 	4146 	50 50 50 50 50 50 50 50 50 	53 
ENST00000431161 ENST00000465169 ENST00000383216 ENST00000485267 ENST00000443603 ENST00000463338 ENST00000455462 ENST00000462174 ENST00000456244 ENST00000468440 ENST00000374685 ENST00000483281 	ENST00000414757 ENST00000414916 ENST00000429042 ENST00000454420 ENST00000425069 ENST00000444757 	126 149 126 149 126 149 126 149 126 149 126 149 	143 143 143 143 143 143 	126 149 126 149 126 149 126 149 126 149 126 149 	143 143 143 143 143 143 	50 50 50 50 50 50 50 50 50 50 50 50 	52 52 52 52 52 52 
ENST00000416139 ENST00000475608 	ENST00000592379 	227 224 	71 	227 224 	71 	52 52 	52 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	154 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000574872 	ENST00000519266 ENST00000520221 	651 	184 24 	651 	184 24 	53 	53 53 
ENST00000416139 ENST00000475608 	ENST00000592379 	222 219 	59 	222 219 	59 	52 52 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	162 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	162 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	51 
ENST00000321442 	ENST00000496912 	2766 	54 	2766 	71 	52 	35 
ENST00000432629 ENST00000393148 ENST00000481802 ENST00000431782 ENST00000588627 ENST00000471280 	ENST00000492999 ENST00000486695 ENST00000467671 	166 192 168 163 1942 158 	290 290 290 	166 192 168 163 1942 158 	290 290 290 	52 52 52 52 52 52 	51 51 51 
ENST00000257261 ENST00000522056 ENST00000518606 	ENST00000448607 	221 343 90 	236 	221 343 90 	236 	53 53 53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	183 183 	405 	183 183 	405 	52 52 	53 
ENST00000225724 	ENST00000599809 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000411432 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000594612 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	2459 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	2459 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	53 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000434913 ENST00000517577 	ENST00000449131 	239 240 	4161 	239 240 	4161 	50 50 	52 
ENST00000225724 	ENST00000599809 ENST00000601706 ENST00000594734 ENST00000598562 ENST00000553258 ENST00000569239 ENST00000411432 ENST00000557832 ENST00000442514 ENST00000551364 ENST00000597084 ENST00000594612 ENST00000398726 ENST00000548061 ENST00000412930 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	2459 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	2459 	44 50 50 50 137 1412 2123 140 137 44 50 44 83 137 44 44 44 44 44 	53 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000474167 	ENST00000604922 	675 	322 	675 	322 	52 	53 
ENST00000263277 	ENST00000494686 	3146 	914 	3146 	924 	53 	35 
ENST00000475900 	ENST00000601984 ENST00000504117 ENST00000329627 ENST00000372842 ENST00000454337 ENST00000591619 ENST00000601437 ENST00000479013 ENST00000249760 ENST00000535113 ENST00000561481 ENST00000531805 ENST00000554757 ENST00000543397 ENST00000570734 ENST00000560333 ENST00000331615 ENST00000330263 ENST00000005260 ENST00000481865 ENST00000295030 ENST00000483846 ENST00000401453 	4226 	2481 5632 4563 2684 5176 5758 184 2339 2739 5128 2364 90 55 1122 2160 28 2833 1328 2910 2518 2732 2207 2521 	4232 	2493 5644 4575 2696 5188 5770 196 2351 2751 5140 2376 102 67 1134 2172 40 2845 1340 2922 2530 2744 2219 2533 	34 	39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 
ENST00000527924 	ENST00000554411 ENST00000336557 ENST00000258807 ENST00000556756 	26 	1029 1927 1812 185 	26 	1029 1927 1812 185 	53 	53 53 53 53 
ENST00000425761 ENST00000406984 ENST00000434913 ENST00000394290 ENST00000450676 	ENST00000449131 	335 168 340 372 340 	4167 	335 168 340 372 340 	4167 	53 53 53 53 53 	51 
ENST00000552564 ENST00000293379 	ENST00000449131 	1597 2048 	3785 	1597 2048 	3785 	53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000477341 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000485147 ENST00000482905 ENST00000473808 ENST00000397467 ENST00000568122 	ENST00000515262 	121 311 146 103 43 31 31 32 31 54 31 54 31 31 54 31 31 31 31 31 31 	157 	121 311 146 103 43 31 31 32 31 54 31 54 31 31 54 31 31 31 31 31 31 	158 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	51 
ENST00000434913 	ENST00000449131 	239 	4151 	239 	4151 	51 	52 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	76 74 216 	4192 	76 74 216 	4192 	53 53 53 	51 
ENST00000270824 	ENST00000450908 	785 	213 	798 	213 	39 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	181 181 	419 	181 181 	419 	52 52 	51 
ENST00000457472 	ENST00000296805 	31 	45 	31 	45 	52 	51 
ENST00000300177 ENST00000322805 	ENST00000590045 	3088 2776 	1857 	3088 2776 	1857 	53 53 	53 
ENST00000440373 ENST00000310939 	ENST00000332397 ENST00000380765 ENST00000437326 ENST00000411562 ENST00000359797 ENST00000446266 ENST00000448019 ENST00000426970 ENST00000380411 ENST00000333385 ENST00000380425 ENST00000380417 ENST00000380407 ENST00000576332 ENST00000573748 ENST00000571071 ENST00000575125 	473 643 	1982 1762 1982 838 1521 1273 1451 838 667 1451 667 667 667 1273 1451 838 1521 	473 643 	1982 1762 1982 838 1521 1273 1451 838 667 1451 667 667 667 1273 1451 838 1521 	53 53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000510207 ENST00000358008 ENST00000394701 ENST00000442366 	ENST00000361866 	470 1026 465 404 	1821 	470 1026 465 404 	1821 	53 53 53 53 	53 
ENST00000543566 ENST00000392435 ENST00000413381 ENST00000426960 ENST00000453766 ENST00000536502 ENST00000439686 ENST00000456762 	ENST00000542678 	1021 890 523 458 788 743 433 327 	7 	1021 890 523 458 788 743 433 327 	7 	53 53 53 53 53 53 53 53 	53 
ENST00000527586 ENST00000530402 ENST00000525918 	ENST00000534227 ENST00000532445 	180 525 368 	209 209 	180 525 368 	209 209 	53 53 53 	53 53 
ENST00000425013 	ENST00000247295 ENST00000372269 ENST00000464831 ENST00000477641 ENST00000464942 ENST00000493745 ENST00000381431 ENST00000310611 ENST00000430195 	4558 	1168 314 160 80 905 80 3535 4012 4073 	4558 	1168 314 160 80 905 80 3535 4012 4073 	50 	53 53 53 53 53 53 53 53 53 
ENST00000432629 ENST00000393148 ENST00000481802 ENST00000429825 	ENST00000492999 ENST00000486695 ENST00000467671 	152 178 154 153 	277 277 277 	152 178 154 153 	277 277 277 	52 52 52 52 	52 52 52 
ENST00000498161 ENST00000425761 ENST00000406984 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	321 339 172 344 544 344 376 344 321 	4131 	321 339 172 344 544 344 376 344 321 	4131 	51 51 51 51 51 51 51 51 51 	51 
ENST00000475608 	ENST00000592379 	371 	33 	371 	33 	53 	53 
ENST00000333167 ENST00000301810 ENST00000411549 ENST00000450296 ENST00000421218 ENST00000484284 ENST00000444607 	ENST00000495303 	423 457 457 340 18 335 307 	333 	423 457 457 340 18 335 307 	333 	50 50 50 50 50 50 50 	42 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 78 101 78 78 87 	148 	168 358 193 150 90 78 78 78 101 78 78 101 78 78 87 	148 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	52 
ENST00000588673 ENST00000586054 ENST00000589361 ENST00000592727 	ENST00000593238 	555 1148 486 192 	50 	555 1148 486 192 	50 	53 53 53 53 	52 
