ENST00000409508 ENST00000328843 	ENST00000373934 	14046 14067 	1756 	14046 14067 	1756 	48 48 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000450676 ENST00000599364 	3379 	818 351 374 369 375 376 374 374 351 	3379 	818 351 374 369 375 376 374 374 351 	53 	53 53 53 53 53 53 53 53 53 
ENST00000332539 	ENST00000535217 	2781 	1289 	2784 	1289 	49 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3367 	811 344 367 362 228 226 368 367 399 367 344 	3367 	811 344 367 362 228 226 368 367 399 367 344 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000369878 	ENST00000421281 	15456 	192 	15456 	192 	53 	53 
ENST00000361681 ENST00000506002 	ENST00000361567 	421 421 	1749 	421 421 	1749 	42 42 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3417 	784 335 168 201 199 340 340 372 340 	3417 	784 335 168 201 199 340 340 372 340 	51 	53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	264 	1116 1133 	264 	53 53 	53 
ENST00000293648 ENST00000448622 	ENST00000479929 ENST00000404685 ENST00000405511 	4425 4630 	1874 1964 2153 	4441 4646 	1876 1966 2155 	33 33 	32 32 32 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	283 	186 196 241 	283 	186 196 241 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3072 2973 2727 	310 	3072 2973 2727 	310 	52 52 52 	53 
ENST00000484377 ENST00000468874 ENST00000573757 ENST00000573907 	ENST00000545369 ENST00000573887 	298 646 298 646 	815 815 	298 646 298 646 	815 815 	52 52 52 52 	53 53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1134 1151 	201 239 	1134 1151 	201 239 	52 52 	52 52 
ENST00000327158 	ENST00000257659 ENST00000222511 ENST00000417207 ENST00000380058 ENST00000474503 	3100 	641 867 629 691 430 	3100 	641 867 629 691 430 	52 	53 53 53 53 53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 ENST00000431591 ENST00000397651 	1274 	617 558 330 393 393 393 585 	1274 	617 558 330 393 393 393 585 	51 	53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3480 	808 341 364 359 225 223 365 564 364 396 364 341 	3481 	808 341 364 359 225 223 365 564 364 396 364 341 	52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000533979 	ENST00000408888 ENST00000447801 ENST00000474086 ENST00000476261 ENST00000468751 ENST00000429912 ENST00000366606 ENST00000474953 	494 	659 422 299 434 479 547 458 2519 	512 	659 422 299 434 479 547 458 2519 	34 	52 52 52 52 52 52 52 52 
ENST00000395127 	ENST00000532047 ENST00000530909 	350 	463 3243 	350 	463 3243 	53 	52 52 
ENST00000418655 	ENST00000331789 ENST00000425660 ENST00000462494 	859 	1321 1254 1654 	865 	1321 1254 1654 	36 	53 53 53 
ENST00000449131 	ENST00000437362 ENST00000464190 ENST00000528084 ENST00000527359 ENST00000530840 ENST00000531532 ENST00000529333 ENST00000527470 ENST00000525515 ENST00000453748 ENST00000528238 ENST00000534101 ENST00000350030 ENST00000470768 ENST00000372052 ENST00000537798 ENST00000402363 	3567 	74 22 21 21 18 18 18 18 18 18 5 3 3 2 0 18 18 	3568 	74 22 21 21 18 18 18 18 18 18 5 3 3 2 0 18 18 	51 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000394457 	ENST00000361866 	5904 	487 	5904 	487 	51 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4159 	107 109 	4159 	107 109 	52 	52 52 
ENST00000592379 	ENST00000582736 	40 	127 	40 	127 	53 	53 
ENST00000552461 ENST00000396556 ENST00000429492 	ENST00000480829 ENST00000277491 ENST00000342147 ENST00000596577 	721 4671 5816 	1953 1953 3298 1953 	729 4679 5824 	1953 1953 3298 1953 	45 45 45 	53 53 53 53 
ENST00000558924 	ENST00000412507 	1531 	1066 	1531 	1066 	34 	53 
ENST00000310850 ENST00000356180 ENST00000533969 	ENST00000323571 	984 899 201 	3490 	984 899 201 	3490 	53 53 53 	52 
ENST00000398004 	ENST00000587351 	2550 	207 	2550 	217 	46 	32 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	73 16 	364 	73 16 	53 	52 52 
ENST00000409508 ENST00000328843 	ENST00000373934 	14113 14134 	1326 	14115 14136 	1326 	50 50 	52 
ENST00000430252 ENST00000540275 	ENST00000599232 	427 427 	1 	427 427 	1 	53 53 	53 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000554541 ENST00000261479 ENST00000554843 ENST00000554620 ENST00000554961 ENST00000556167 ENST00000553809 ENST00000553688 ENST00000555764 	3478 3479 3479 3479 3583 3479 3484 3478 3479 3479 3479 3479 3479 	104 96 65 60 60 58 55 10 2 	3478 3479 3479 3479 3583 3479 3484 3478 3479 3479 3479 3479 3479 	104 96 65 60 60 58 55 10 2 	51 51 51 51 51 51 51 51 51 51 51 51 51 	52 52 52 52 52 52 52 52 52 
ENST00000529101 	ENST00000528823 	2493 	5703 	2493 	5703 	51 	53 
ENST00000478631 ENST00000371513 	ENST00000571310 ENST00000532950 	1211 1038 	773 773 	1211 1038 	773 773 	52 52 	51 51 
ENST00000608933 	ENST00000439904 ENST00000609923 	2383 	605 4370 	2391 	605 4370 	32 	51 51 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	134 	1091 1108 	134 	50 50 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1152 1169 	292 	1152 1169 	292 	53 53 	53 
ENST00000445820 ENST00000428199 	ENST00000468666 ENST00000478186 	206 206 	47 39 	206 206 	47 39 	53 53 	53 53 
ENST00000400815 ENST00000572705 ENST00000399759 ENST00000571088 ENST00000399756 ENST00000174621 ENST00000563731 	ENST00000357037 	3247 3318 3244 3257 3570 3327 3247 	2202 	3249 3320 3246 3259 3572 3329 3249 	2202 	51 51 51 51 51 51 51 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	107 105 247 	3747 	107 105 247 	53 	53 53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4152 	97 299 99 99 	4152 	97 299 99 99 	49 	52 52 52 52 
ENST00000335185 	ENST00000526267 ENST00000525054 	3697 	475 516 	3697 	475 516 	53 	53 53 
ENST00000564088 ENST00000382450 ENST00000569417 ENST00000568542 ENST00000568194 ENST00000301724 ENST00000566835 ENST00000397124 ENST00000562392 ENST00000301725 	ENST00000562360 	1795 1795 1788 1802 2049 1653 1479 1624 1600 1366 	713 	1796 1796 1789 1803 2050 1654 1480 1625 1601 1367 	713 	50 50 50 50 50 50 50 50 50 50 	53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4133 	113 111 313 113 113 	4133 	113 111 313 113 113 	53 	53 53 53 53 53 
ENST00000366582 	ENST00000323938 	8334 	1666 	8334 	1666 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000441206 	1100 1117 	158 	1100 1117 	158 	53 53 	51 
ENST00000307980 ENST00000535644 	ENST00000358239 	2001 1505 	910 	2002 1506 	910 	52 52 	46 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	98 96 238 	3759 	98 96 238 	52 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3487 	801 334 352 218 216 358 557 357 389 357 334 	3487 	801 334 352 218 216 358 557 357 389 357 334 	51 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000517577 	3743 	243 	3743 	243 	52 	52 
ENST00000514253 	ENST00000510019 ENST00000429775 	463 	217 42 	463 	217 42 	46 	53 53 
ENST00000565677 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000570037 ENST00000562111 	1392 1714 561 163 	773 726 	1392 1714 561 163 	773 726 	51 51 51 51 	53 53 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 	1978 577 319 	540 	1978 577 319 	540 	51 51 51 	52 
ENST00000439011 	ENST00000444840 	476 	293 	476 	293 	53 	53 
ENST00000361681 	ENST00000361567 	483 	1666 	483 	1666 	42 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	103 62 	482 	103 62 	53 	52 52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4151 	84 86 	4151 	84 86 	50 	53 53 
ENST00000380155 	ENST00000499676 ENST00000480768 ENST00000601678 ENST00000598179 	4235 	9011 1080 1424 21 	4248 	9011 1080 1424 21 	37 	34 34 34 34 
ENST00000463943 	ENST00000335179 ENST00000545072 	386 	73 16 	386 	73 16 	51 	52 52 
ENST00000448299 ENST00000343381 ENST00000358785 ENST00000301439 	ENST00000349139 	1453 1715 1654 1470 	6869 	1453 1715 1654 1470 	6886 	53 53 53 53 	34 
ENST00000399827 ENST00000399833 ENST00000399825 ENST00000399830 ENST00000474400 ENST00000399829 ENST00000383294 ENST00000457923 ENST00000446463 ENST00000449776 ENST00000427763 ENST00000474349 ENST00000446323 ENST00000425204 ENST00000452393 ENST00000433376 ENST00000415173 ENST00000455898 ENST00000479245 ENST00000451833 ENST00000417388 ENST00000433896 ENST00000416363 ENST00000424030 ENST00000439774 ENST00000496883 ENST00000440840 ENST00000430777 ENST00000414520 ENST00000414933 ENST00000444369 ENST00000456421 ENST00000488004 ENST00000454929 ENST00000456679 ENST00000395496 ENST00000375107 ENST00000395499 ENST00000375104 ENST00000490711 ENST00000395497 ENST00000336984 ENST00000434614 ENST00000452427 ENST00000430226 ENST00000425572 ENST00000490267 ENST00000436149 ENST00000448196 	ENST00000464460 ENST00000607581 ENST00000443511 ENST00000418252 ENST00000460103 ENST00000479403 ENST00000467760 ENST00000447331 ENST00000399648 ENST00000482296 ENST00000466627 ENST00000465052 ENST00000527704 ENST00000547558 ENST00000452189 ENST00000413733 ENST00000492749 ENST00000496701 ENST00000488579 ENST00000550232 ENST00000414111 ENST00000433364 ENST00000482403 ENST00000489013 ENST00000428388 ENST00000333845 ENST00000395512 ENST00000466239 ENST00000489721 ENST00000496937 ENST00000549741 ENST00000455889 ENST00000452290 ENST00000483183 ENST00000490907 	1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 	2724 1111 1156 1158 2287 301 2724 1156 1158 2287 301 2724 2724 1111 1156 1158 2288 301 2724 1111 1156 1158 2288 301 2724 1156 1158 2287 301 2724 1111 1156 1158 2287 301 	1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 1900 2031 2293 1814 2245 1965 1818 	2724 1111 1156 1158 2287 301 2724 1156 1158 2287 301 2724 2724 1111 1156 1158 2288 301 2724 1111 1156 1158 2288 301 2724 1156 1158 2287 301 2724 1111 1156 1158 2287 301 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 ENST00000466304 ENST00000435618 ENST00000481283 ENST00000489762 ENST00000421349 ENST00000498484 ENST00000463832 	195 	53 12 31 40 97 12 31 81 12 31 	195 	53 12 31 40 97 12 31 81 12 31 	52 	51 51 51 51 51 51 51 51 51 51 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4134 	113 111 313 113 113 	4134 	113 111 313 113 113 	53 	53 53 53 53 53 
ENST00000361681 	ENST00000361567 	488 	1661 	488 	1661 	37 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	173 132 	484 	173 132 	53 	53 53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1438 1605 1402 1426 1333 758 1528 1438 	456 	1438 1605 1402 1426 1333 758 1528 1438 	456 	53 53 53 53 53 53 53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3075 2976 2730 	300 	3075 2976 2730 	300 	53 53 53 	53 
ENST00000449131 	ENST00000530019 ENST00000492727 	3759 	319 111 	3759 	319 111 	52 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	107 66 	484 	107 66 	53 	52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3746 	97 95 237 	3746 	97 95 237 	53 	53 53 53 
ENST00000314675 	ENST00000319041 	2087 	549 	2087 	549 	53 	53 
ENST00000361567 	ENST00000361681 	1716 	452 	1716 	452 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1109 1126 	209 160 	1109 1126 	209 160 	53 53 	49 49 
ENST00000451608 	ENST00000483867 	4862 	721 	4865 	721 	50 	53 
ENST00000538183 ENST00000321521 ENST00000312675 ENST00000543006 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 	ENST00000392385 ENST00000551944 ENST00000392857 ENST00000295025 	7061 7949 13243 13186 4550 4550 2741 4549 	1115 3267 5459 8865 	7061 7949 13243 13186 4550 4550 2741 4549 	1115 3267 5459 8865 	53 53 53 53 53 53 53 53 	51 51 51 51 
ENST00000449131 	ENST00000517577 	3740 	212 	3740 	212 	53 	52 
ENST00000493260 ENST00000271375 	ENST00000567188 	2775 9210 	6731 	2795 9230 	6742 	33 33 	36 
ENST00000463943 	ENST00000335179 ENST00000545072 	366 	87 30 	366 	87 30 	53 	50 50 
ENST00000529146 ENST00000340537 ENST00000431227 ENST00000534187 ENST00000448228 ENST00000533852 ENST00000346333 ENST00000510443 ENST00000359244 ENST00000458008 ENST00000427587 ENST00000585436 ENST00000497543 ENST00000484945 ENST00000459803 ENST00000313946 	ENST00000340333 ENST00000450217 ENST00000515248 ENST00000533887 ENST00000482043 	1609 1498 1759 1619 1802 1854 1406 1486 1504 1665 1787 1463 1535 1629 1822 2058 	452 521 563 568 579 	1609 1498 1759 1619 1802 1854 1406 1486 1504 1665 1787 1463 1535 1629 1822 2058 	452 521 563 568 579 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 53 53 53 53 
ENST00000402302 	ENST00000282588 ENST00000504669 ENST00000506275 	346 	3366 5583 2789 	351 	3366 5583 2789 	43 	53 53 53 
ENST00000419932 	ENST00000379047 ENST00000320623 ENST00000379046 ENST00000439109 ENST00000564043 	253 	901 1286 805 679 827 	253 	901 1286 805 679 827 	39 	50 50 50 50 50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3494 	813 346 369 364 370 371 569 369 401 369 346 	3494 	813 346 369 364 370 371 569 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	256 	1946 2078 2525 	256 	53 53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3008 2909 2663 	181 310 	3008 2909 2663 	181 310 	53 53 53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3493 	781 332 165 198 196 337 537 337 369 337 	3493 	781 332 165 198 196 337 537 337 369 337 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	79 22 	381 	79 22 	53 	51 51 
ENST00000312675 ENST00000543006 ENST00000489060 	ENST00000508075 ENST00000261200 ENST00000295025 	13467 13410 1757 	881 7210 8657 	13467 13410 1757 	881 7210 8657 	53 53 53 	52 52 52 
ENST00000514253 	ENST00000510019 	483 	190 	483 	190 	53 	53 
ENST00000587309 	ENST00000333461 ENST00000584501 ENST00000249700 ENST00000375846 ENST00000381414 ENST00000542583 ENST00000219821 ENST00000396229 ENST00000292853 ENST00000509137 ENST00000554295 	3568 	2381 1975 7871 1757 4489 4606 3421 4651 1628 1557 3056 	3568 	2381 1975 7871 1757 4489 4606 3421 4651 1628 1557 3056 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	269 	1118 1135 	269 	53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	457 	173 132 	458 	173 132 	50 	53 53 
ENST00000332290 	ENST00000480008 	3493 	1010 	3493 	1010 	53 	51 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000469632 ENST00000409562 ENST00000493254 ENST00000566753 ENST00000604604 	ENST00000309733 	2494 2494 715 796 2486 1809 1768 839 	6867 	2494 2494 715 796 2486 1809 1768 839 	6867 	51 51 51 51 51 51 51 51 	52 
ENST00000469893 	ENST00000368699 	2115 	374 	2115 	374 	51 	53 
ENST00000601871 	ENST00000484412 ENST00000442730 	1445 	593 630 	1445 	593 630 	51 	53 53 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4133 	50 69 71 50 	4133 	50 69 71 50 	53 	53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1161 1178 	201 239 	1162 1179 	201 239 	52 52 	52 52 
ENST00000472525 ENST00000425063 ENST00000394163 ENST00000494357 ENST00000419215 ENST00000424881 	ENST00000415083 	401 3603 3493 4768 3311 3635 	2762 	401 3603 3493 4768 3311 3635 	2762 	52 52 52 52 52 52 	52 
ENST00000526743 	ENST00000528784 ENST00000526711 	1125 	821 688 	1125 	821 688 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1104 1121 	305 256 	1105 1122 	305 256 	52 52 	51 51 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	215 40 	443 	215 40 	53 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	283 	186 196 241 	283 	186 196 241 	53 	53 53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4143 	96 298 98 98 	4143 	96 298 98 98 	53 	50 50 50 50 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	83 26 	349 	83 26 	51 	50 50 
ENST00000314675 	ENST00000319041 	2091 	502 	2091 	502 	52 	51 
ENST00000449131 	ENST00000498161 ENST00000599364 	4143 	41 41 	4144 	41 41 	52 	53 53 
ENST00000557325 	ENST00000554153 	2838 	444 	2838 	444 	32 	53 
ENST00000355520 	ENST00000508075 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000261200 	7558 	730 1530 1448 1809 7059 	7558 	730 1530 1448 1809 7059 	53 	53 53 53 53 53 
ENST00000449131 	ENST00000517577 	3740 	236 	3740 	236 	53 	53 
ENST00000592379 	ENST00000582736 	33 	111 	33 	111 	53 	52 
ENST00000352732 ENST00000355100 	ENST00000585042 	7888 7841 	420 	7888 7841 	420 	53 53 	53 
ENST00000347053 	ENST00000485846 	4438 	2287 	4438 	2287 	52 	53 
ENST00000441159 	ENST00000550738 	5327 	1525 	5338 	1527 	39 	33 
ENST00000536084 	ENST00000400479 	2171 	919 	2171 	919 	53 	51 
ENST00000292174 	ENST00000526143 	4315 	5413 	4315 	5413 	53 	52 
ENST00000563588 	ENST00000402905 ENST00000320443 ENST00000504771 ENST00000519289 ENST00000521198 ENST00000522398 ENST00000520976 ENST00000345714 ENST00000396596 	2906 	3795 4517 5851 2795 2765 2584 2346 2351 2442 	2919 	3815 4537 5871 2815 2785 2604 2366 2371 2462 	40 	33 33 33 33 33 33 33 33 33 
ENST00000514253 	ENST00000511844 	498 	44 	498 	44 	53 	53 
ENST00000367048 ENST00000472052 ENST00000541436 	ENST00000544255 ENST00000420894 ENST00000392168 	3083 1553 1569 	1137 1426 1635 	3083 1553 1569 	1137 1426 1635 	35 35 35 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1152 1169 	253 	1152 1169 	253 	53 53 	51 
ENST00000463943 	ENST00000335179 ENST00000545072 	367 	82 25 	367 	82 25 	53 	51 51 
ENST00000529704 ENST00000341865 ENST00000479805 ENST00000339464 	ENST00000454762 	1180 4599 575 2199 	1019 	1200 4619 595 2219 	1019 	33 33 33 33 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3483 	789 322 340 173 206 204 345 545 345 377 345 322 	3483 	789 322 340 173 206 204 345 545 345 377 345 322 	51 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	279 210 	66 76 121 80 	279 210 	66 76 121 80 	53 53 	53 53 53 53 
ENST00000565677 ENST00000219548 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000562824 ENST00000563088 ENST00000564436 ENST00000570037 ENST00000562111 	1323 1182 1645 492 94 	724 791 389 709 662 	1323 1182 1645 492 94 	724 791 389 709 662 	53 53 53 53 53 	52 52 52 52 52 
ENST00000544193 	ENST00000541780 	188 	750 	189 	750 	52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3472 	788 321 339 172 205 203 344 544 344 376 344 321 	3472 	788 321 339 172 205 203 344 544 344 376 344 321 	49 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000590045 	ENST00000263239 ENST00000474694 	2411 	502 360 	2411 	502 360 	52 	50 50 
ENST00000419932 	ENST00000264977 	142 	5185 	152 	5185 	38 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1128 1145 	266 	1128 1145 	266 	52 52 	51 
ENST00000454671 	ENST00000507437 	471 	566 	471 	566 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	464 	170 129 	464 	170 129 	53 	53 53 
