ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	662 671 675 557 	391 	662 671 675 557 	53 	52 52 52 52 
ENST00000424491 ENST00000465095 	ENST00000434323 	1653 160 	659 	1653 160 	659 	53 53 	53 
ENST00000182096 ENST00000485253 ENST00000389622 	ENST00000296755 ENST00000513526 ENST00000504492 	3318 1057 875 	2255 2044 1951 	3318 1057 875 	2255 2044 1951 	53 53 53 	51 51 51 
ENST00000309733 	ENST00000361436 ENST00000497825 ENST00000497322 ENST00000483598 ENST00000460355 ENST00000432629 ENST00000393148 ENST00000481802 ENST00000431782 ENST00000431098 ENST00000429825 ENST00000588627 ENST00000471280 ENST00000495231 	2944 	245 476 1743 38 3196 156 182 158 153 157 157 1932 148 157 	2944 	245 476 1743 38 3196 156 182 158 153 157 157 1932 148 157 	34 	42 42 42 42 42 42 42 42 42 42 42 42 42 42 
ENST00000293780 	ENST00000572330 	2390 	5205 	2390 	5205 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	87 30 	376 	87 30 	53 	50 50 
ENST00000544838 	ENST00000552978 	1843 	759 	1843 	759 	53 	53 
ENST00000546474 	ENST00000264605 	10414 	3743 	10419 	3752 	41 	38 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	237 188 	1116 1133 	237 188 	53 53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3459 	820 353 376 371 377 378 376 353 	3459 	820 353 376 371 377 378 376 353 	53 	53 53 53 53 53 53 53 53 
ENST00000419932 	ENST00000252934 ENST00000498009 ENST00000470722 ENST00000381061 	226 	576 485 270 385 	229 	576 485 270 385 	38 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	166 125 	443 	166 125 	53 	53 53 
ENST00000449131 	ENST00000401609 ENST00000216146 ENST00000465618 ENST00000467105 ENST00000402527 ENST00000481985 ENST00000471290 ENST00000453303 	3369 	747 902 1568 159 959 158 101 809 	3369 	747 902 1568 159 959 158 101 809 	53 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3470 	824 357 380 375 381 382 380 357 	3470 	824 357 380 375 381 382 380 357 	51 	51 51 51 51 51 51 51 51 
ENST00000361681 	ENST00000361567 	279 	1557 	282 	1557 	50 	53 
ENST00000361681 	ENST00000361567 	392 	1749 	392 	1749 	53 	53 
ENST00000449131 	ENST00000350498 ENST00000426447 	3549 	565 346 	3549 	565 346 	53 	51 51 
ENST00000600057 	ENST00000474485 	7 	381 	11 	381 	47 	52 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4149 	50 69 71 50 	4149 	50 69 71 50 	52 	53 53 53 53 
ENST00000592379 	ENST00000582736 	40 	113 	40 	113 	53 	50 
ENST00000514253 	ENST00000511844 	497 	134 	497 	134 	53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1943 2075 2522 	292 	1943 2075 2522 	292 	53 53 53 	52 
ENST00000504897 	ENST00000438307 	2735 	1520 	2735 	1520 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3005 2906 2660 	200 	3005 2906 2660 	200 	53 53 53 	52 
ENST00000261783 ENST00000557319 	ENST00000381908 ENST00000336164 ENST00000350274 	946 440 	3162 3159 3066 	948 442 	3165 3162 3069 	51 51 	39 39 39 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3448 	780 331 164 197 195 336 536 336 368 336 	3448 	780 331 164 197 195 336 536 336 368 336 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 	483 	222 	483 	222 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	367 	87 30 	367 	87 30 	53 	50 50 
ENST00000561177 ENST00000560921 ENST00000561109 ENST00000559678 ENST00000560271 ENST00000558716 ENST00000561444 ENST00000348070 ENST00000358417 ENST00000344273 ENST00000398181 	ENST00000223095 ENST00000445463 	245 150 150 150 103 103 245 76 76 76 390 	2250 2196 	245 150 150 150 103 103 245 76 76 76 390 	2250 2196 	31 31 31 31 31 31 31 31 31 31 31 	52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	293 224 	178 137 	293 224 	178 137 	53 53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4152 	50 69 71 50 	4152 	67 86 88 67 	49 	36 36 36 36 
ENST00000361681 	ENST00000361567 	490 	1687 	490 	1687 	35 	52 
ENST00000394511 ENST00000483793 ENST00000223073 ENST00000463753 ENST00000310613 	ENST00000551944 ENST00000550977 ENST00000469718 	6 3609 15451 2915 2661 	3317 2180 448 	6 3609 15451 2915 2661 	3317 2180 448 	35 35 35 35 35 	51 51 51 
ENST00000556074 ENST00000417560 	ENST00000525598 	175 543 	3815 	175 543 	3833 	53 53 	35 
ENST00000603027 	ENST00000603309 	4353 	763 	4353 	763 	53 	53 
ENST00000514253 	ENST00000511844 	497 	36 	497 	36 	53 	53 
ENST00000361567 	ENST00000361681 	1640 	479 	1640 	479 	52 	46 
ENST00000570780 ENST00000391950 	ENST00000520547 	1154 1171 	292 	1154 1171 	292 	52 52 	53 
ENST00000455611 	ENST00000502586 	2275 	734 	2275 	734 	53 	51 
ENST00000482974 	ENST00000493878 	449 	1805 	449 	1805 	53 	53 
ENST00000592379 	ENST00000475608 	56 	36 	56 	36 	53 	52 
ENST00000449131 	ENST00000492727 	4177 	92 	4177 	92 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3032 2933 2687 	325 	3033 2934 2688 	325 	52 52 52 	51 
ENST00000570780 ENST00000391950 	ENST00000324225 ENST00000525478 ENST00000532062 ENST00000431081 	1091 1108 	3032 404 932 2562 	1091 1108 	3032 404 932 2562 	50 50 	52 52 52 52 
ENST00000449131 	ENST00000406984 	3535 	133 	3535 	149 	53 	36 
ENST00000309955 ENST00000544076 	ENST00000584196 ENST00000582966 ENST00000476192 ENST00000497426 	3730 1431 	1835 1835 6990 6990 	3730 1431 	1847 1847 7002 7002 	53 53 	40 40 40 40 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2297 2198 1952 	181 310 	2297 2198 1952 	181 310 	53 53 53 	53 53 
ENST00000417980 	ENST00000587113 ENST00000426548 	244 	2288 6702 	244 	2288 6702 	31 	53 53 
ENST00000361681 	ENST00000361567 	446 	1695 	446 	1695 	53 	53 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	281 1901 	3096 3080 	281 1901 	3096 3080 	36 36 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1107 1124 	276 	1107 1124 	276 	52 52 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3005 2906 2660 	196 325 	3005 2906 2660 	196 325 	53 53 53 	51 51 
ENST00000431149 ENST00000414755 	ENST00000482983 	471 112 	341 	471 112 	341 	52 52 	53 
ENST00000473038 ENST00000334528 ENST00000296506 ENST00000555392 	ENST00000261622 ENST00000522841 ENST00000437413 ENST00000435197 ENST00000553010 	175 6701 2865 552 	513 526 261 92 447 	175 6701 2865 552 	513 526 261 92 447 	41 41 41 41 	53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3470 	819 352 375 370 376 377 575 375 375 352 	3470 	819 352 375 370 376 377 575 375 375 352 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2072 	529 	2072 	529 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1108 1125 	294 	1109 1126 	294 	52 52 	53 
ENST00000308059 ENST00000478428 	ENST00000469600 ENST00000421218 	5742 1681 	596 801 	5742 1681 	596 801 	53 53 	51 51 
ENST00000380821 ENST00000357992 ENST00000380155 ENST00000422989 ENST00000393067 ENST00000468196 ENST00000399011 ENST00000340625 ENST00000356980 ENST00000459648 ENST00000591563 ENST00000468673 ENST00000579905 ENST00000592582 ENST00000338758 ENST00000463586 ENST00000426195 	ENST00000595753 ENST00000409648 	2094 2931 5312 2346 2753 4150 4004 1082 2257 984 3862 781 220 1895 2343 450 100 	2903 2514 	2094 2931 5312 2346 2753 4150 4004 1082 2257 984 3862 781 220 1895 2343 450 100 	2903 2514 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	36 36 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	79 22 	363 	81 24 	53 	49 49 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2232 2133 1887 	238 	2232 2133 1887 	238 	53 53 53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	461 	154 113 	461 	154 113 	53 	53 53 
ENST00000514253 	ENST00000510019 	443 	199 	443 	199 	53 	52 
ENST00000557933 ENST00000535915 	ENST00000585567 	2873 2687 	580 	2873 2687 	580 	53 53 	53 
ENST00000248104 ENST00000389221 ENST00000403703 ENST00000391893 	ENST00000204679 ENST00000529957 ENST00000527168 ENST00000527076 	3952 4748 3791 3395 	812 868 936 1992 	3952 4748 3791 3395 	812 868 936 1992 	53 53 53 53 	52 52 52 52 
ENST00000285116 ENST00000489786 ENST00000571751 ENST00000464196 	ENST00000438882 	1607 4370 1607 717 	1270 	1607 4370 1607 717 	1270 	52 52 52 52 	53 
ENST00000590045 	ENST00000367976 	2015 	1023 	2015 	1023 	52 	53 
ENST00000334116 ENST00000591340 	ENST00000489268 	3417 3280 	2020 	3436 3299 	2038 	31 31 	34 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	278 209 	54 64 109 68 	278 209 	54 64 109 68 	53 53 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	173 132 	484 	173 132 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3471 	779 330 163 196 194 335 535 335 367 335 	3471 	779 330 163 196 194 335 535 335 367 335 	50 	53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	286 	72 15 	286 	72 15 	53 	52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	366 	80 23 	366 	80 23 	53 	50 50 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	77 36 	484 	77 36 	53 	53 53 
ENST00000419932 	ENST00000491291 ENST00000373316 ENST00000537456 ENST00000596897 ENST00000597340 ENST00000593893 	230 	426 601 679 426 601 679 	230 	426 601 679 426 601 679 	52 	52 52 52 52 52 52 
ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	ENST00000361436 ENST00000497825 ENST00000497322 ENST00000536368 	413 339 413 339 	50 50 50 18 	417 343 417 343 	50 50 50 18 	48 48 48 48 	53 53 53 53 
ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	ENST00000361436 ENST00000497825 ENST00000497322 ENST00000536368 	413 339 413 339 	50 50 50 18 	417 343 417 343 	50 50 50 18 	48 48 48 48 	53 53 53 53 
ENST00000475922 	ENST00000530818 	799 	423 	800 	439 	40 	31 
ENST00000476618 ENST00000464497 ENST00000523111 ENST00000594854 	ENST00000589328 ENST00000409746 	1362 1303 2082 818 	2261 2361 	1362 1303 2082 818 	2261 2361 	39 39 39 39 	52 52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	372 	593 602 606 488 	372 	593 602 606 488 	51 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	350 	77 20 	350 	77 20 	53 	52 52 
ENST00000549262 	ENST00000597777 ENST00000333407 ENST00000581660 ENST00000585026 ENST00000581655 	1067 	517 4814 182 172 392 	1086 	532 4829 197 187 407 	33 	31 31 31 31 31 
ENST00000514253 	ENST00000510019 ENST00000429775 	462 	213 38 	463 	213 38 	51 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	72 70 212 	3744 	72 70 212 	53 	52 52 52 
ENST00000366559 ENST00000366557 	ENST00000478849 	4210 3837 	768 	4210 3837 	768 	53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3054 2955 2709 	286 	3054 2955 2709 	286 	53 53 53 	52 
ENST00000592379 	ENST00000582736 	38 	57 	38 	57 	53 	53 
ENST00000309733 	ENST00000557060 ENST00000550977 ENST00000604604 ENST00000479145 ENST00000392857 	6235 	2974 2382 1491 9 5711 	6238 	2974 2382 1491 9 5711 	49 	53 53 53 53 53 
ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000354232 ENST00000282074 ENST00000564458 ENST00000564795 	ENST00000392385 ENST00000550977 ENST00000392857 	6543 4016 6348 329 5112 3548 1359 1235 1040 1040 	1125 2140 5469 	6543 4016 6348 329 5112 3548 1359 1235 1040 1040 	1139 2154 5483 	53 53 53 53 53 53 53 53 53 53 	38 38 38 
ENST00000593682 ENST00000311437 	ENST00000499676 	1608 2830 	8908 	1608 2830 	8922 	43 43 	38 
ENST00000258873 	ENST00000559803 	4803 	924 	4803 	924 	53 	50 
ENST00000584729 ENST00000583295 ENST00000440501 ENST00000321666 ENST00000576273 ENST00000592419 	ENST00000379061 ENST00000578128 ENST00000577870 ENST00000580711 ENST00000591907 ENST00000591663 ENST00000585482 ENST00000585569 ENST00000591407 	4689 4596 4688 4601 4691 4598 	1565 472 354 411 1565 1773 472 354 411 	4689 4596 4688 4601 4691 4598 	1565 472 354 411 1565 1773 472 354 411 	51 51 51 51 51 51 	49 49 49 49 49 49 49 49 49 
ENST00000502378 	ENST00000234590 ENST00000464920 ENST00000497492 	347 	330 816 272 	347 	330 816 272 	52 	50 50 50 
ENST00000420470 	ENST00000460470 ENST00000466265 	4468 	394 76 	4468 	394 76 	53 	50 50 
ENST00000314675 	ENST00000220772 ENST00000379845 	2118 	2552 1939 	2118 	2552 1939 	53 	42 42 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000461526 	ENST00000422447 ENST00000543445 ENST00000545467 ENST00000396222 ENST00000227157 ENST00000478970 ENST00000495052 ENST00000379412 ENST00000542179 ENST00000537296 ENST00000460405 ENST00000540430 ENST00000398295 	513 	474 307 491 300 276 500 539 558 490 876 198 570 176 	524 	474 307 491 300 276 500 539 558 490 876 198 570 176 	34 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3008 2909 2663 	202 	3008 2909 2663 	202 	53 53 53 	50 
ENST00000263997 ENST00000561933 	ENST00000498378 	3025 3147 	470 	3025 3147 	470 	53 53 	52 
ENST00000449131 	ENST00000434913 ENST00000492727 	4175 	113 111 	4176 	113 111 	51 	53 53 
ENST00000470153 ENST00000361138 ENST00000553632 ENST00000592790 ENST00000249344 ENST00000553159 	ENST00000466764 ENST00000595280 	498 5333 119 1139 3804 39 	1260 1260 	498 5333 119 1139 3804 39 	1260 1260 	51 51 51 51 51 51 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	103 101 243 	3760 	103 101 243 	52 	52 52 52 
ENST00000540511 	ENST00000513146 	5065 	580 	5065 	580 	53 	50 
ENST00000310823 ENST00000369936 	ENST00000233057 	3532 3047 	5307 	3534 3049 	5326 	32 32 	34 
ENST00000560723 	ENST00000559556 	427 	860 	427 	860 	52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3068 2969 2723 	318 	3068 2969 2723 	318 	53 53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3471 	818 351 374 369 375 376 574 374 374 351 	3471 	818 351 374 369 375 376 574 374 374 351 	50 	53 53 53 53 53 53 53 53 53 53 
ENST00000558583 	ENST00000392385 ENST00000508075 ENST00000409562 ENST00000531169 ENST00000502413 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000481617 ENST00000295025 	6047 	491 465 2262 2439 812 1265 1183 1544 3735 8245 	6047 	491 465 2262 2439 812 1265 1183 1544 3735 8245 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000439660 ENST00000578573 	ENST00000451311 ENST00000380636 ENST00000380635 ENST00000380633 	1288 1517 	312 1387 451 325 	1288 1517 	312 1387 451 325 	53 53 	53 53 53 53 
ENST00000340291 ENST00000475644 ENST00000489063 	ENST00000469249 	1416 2140 393 	525 	1416 2140 393 	525 	51 51 51 	52 
ENST00000492956 ENST00000373510 	ENST00000540582 	2280 6251 	151 	2280 6251 	157 	33 33 	46 
ENST00000606080 	ENST00000610020 	7298 	4940 	7298 	4950 	53 	39 
ENST00000525443 ENST00000465340 ENST00000600503 ENST00000589195 	ENST00000264896 	3089 1427 1427 1279 	3561 	3108 1446 1446 1298 	3567 	32 32 32 32 	46 
ENST00000444246 	ENST00000412938 ENST00000504931 	55 	3299 7498 	55 	3299 7498 	53 	53 53 
ENST00000470165 	ENST00000463515 ENST00000370168 ENST00000370169 ENST00000339310 ENST00000299206 ENST00000370172 ENST00000415897 ENST00000485369 ENST00000429502 ENST00000470140 ENST00000370162 ENST00000370158 ENST00000456836 	271 	1858 480 1304 1233 1614 1252 1013 513 542 672 1738 1233 571 	271 	1858 480 1304 1233 1614 1252 1013 513 542 672 1738 1233 571 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	657 666 670 552 	359 	657 666 670 552 	44 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3490 	816 349 372 367 373 374 572 372 372 349 	3490 	821 354 377 372 378 379 577 377 377 354 	53 	47 47 47 47 47 47 47 47 47 47 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4147 	56 75 77 56 	4147 	56 75 77 56 	53 	53 53 53 53 
ENST00000361681 	ENST00000361567 	490 	1706 	490 	1706 	35 	53 
ENST00000514253 	ENST00000511844 	494 	48 	495 	48 	52 	53 
ENST00000514253 	ENST00000511844 	491 	137 	492 	137 	52 	52 
ENST00000473185 ENST00000581966 ENST00000582797 ENST00000344063 ENST00000426763 ENST00000492328 ENST00000540348 ENST00000257575 ENST00000283875 ENST00000338040 ENST00000577369 ENST00000416614 ENST00000377939 ENST00000496676 ENST00000377948 ENST00000357503 ENST00000473559 ENST00000506484 ENST00000370647 ENST00000370646 ENST00000466201 ENST00000426548 ENST00000568935 	ENST00000564180 	586 360 801 3005 3814 338 306 2053 1748 3900 801 3023 2207 1797 2087 3797 439 385 1286 1775 691 4876 338 	1418 	586 360 801 3005 3814 338 306 2053 1748 3900 801 3023 2207 1797 2087 3797 439 385 1286 1775 691 4876 338 	1418 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	39 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3470 	829 362 385 380 386 387 385 362 	3470 	829 362 385 380 386 387 385 362 	51 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4151 	49 68 70 49 	4151 	49 68 70 49 	50 	53 53 53 53 
ENST00000546087 	ENST00000580874 	1575 	4968 	1575 	4980 	52 	40 
ENST00000604922 	ENST00000374789 ENST00000374788 ENST00000346874 ENST00000374794 ENST00000350537 ENST00000374790 ENST00000374776 ENST00000374773 ENST00000545693 ENST00000545260 ENST00000340077 	259 	593 593 593 593 593 593 593 593 597 597 597 	259 	593 593 593 593 593 593 593 593 597 597 597 	49 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000361681 	ENST00000361567 	469 	1551 	469 	1551 	53 	51 
ENST00000442281 	ENST00000383605 ENST00000383619 ENST00000478740 ENST00000376822 ENST00000462536 ENST00000461996 ENST00000492107 ENST00000549224 	242 	349 317 14 13 10 8 8 61 	242 	349 317 14 13 10 8 8 61 	45 	53 53 53 53 53 53 53 53 
ENST00000547992 	ENST00000552713 ENST00000549606 ENST00000553237 ENST00000540325 	1615 	458 346 834 834 	1615 	458 346 834 834 	51 	53 53 53 53 
ENST00000304004 ENST00000215730 ENST00000557255 	ENST00000537927 ENST00000318304 ENST00000228425 	1218 3797 3406 	5123 5404 5336 	1219 3798 3407 	5123 5404 5336 	44 44 44 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1109 1126 	243 194 	1109 1126 	243 194 	53 53 	52 52 
ENST00000419932 	ENST00000229270 ENST00000396705 ENST00000488464 ENST00000493987 ENST00000462761 ENST00000495834 ENST00000535434 ENST00000601074 ENST00000595390 ENST00000599583 ENST00000598287 ENST00000597066 ENST00000594265 ENST00000595602 	218 	684 272 277 490 248 516 517 684 272 277 517 490 248 516 	220 	702 290 295 508 266 534 535 702 290 295 535 508 266 534 	51 	35 35 35 35 35 35 35 35 35 35 35 35 35 35 
ENST00000491053 	ENST00000461349 ENST00000492991 	13 	9 36 	13 	9 36 	31 	53 53 
ENST00000309733 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	ENST00000502413 	7040 5101 5101 3291 5100 801 789 	856 	7040 5101 5101 3291 5100 801 789 	856 	35 35 35 35 35 35 35 	53 
ENST00000314675 	ENST00000319041 	2105 	588 	2105 	588 	51 	53 
ENST00000314675 	ENST00000319041 	2116 	563 	2116 	563 	51 	53 
ENST00000463943 	ENST00000507623 ENST00000380638 	424 	59 59 	424 	59 59 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	103 305 105 105 	4149 	103 305 105 105 	52 	53 53 53 53 
ENST00000538914 	ENST00000271883 	1972 	7036 	1972 	7036 	52 	51 
ENST00000565677 ENST00000219548 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000570037 ENST00000562111 ENST00000565258 	1411 1270 1733 580 182 	684 637 425 	1411 1270 1733 580 182 	684 637 425 	53 53 53 53 53 	52 52 52 
ENST00000340957 ENST00000310585 	ENST00000430397 	2358 3612 	1628 	2358 3612 	1628 	53 53 	53 
ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	410 410 	1766 1766 	410 410 	1766 1766 	51 51 	46 46 
ENST00000427908 	ENST00000567272 ENST00000403549 	1285 	580 428 	1285 	595 443 	51 	38 38 
